"Plot Title: Injection_Temp_xn10_2022-07-06"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)","Coupler Detached (LGR S/N: 11016513)","End Of File (LGR S/N: 11016513)"
113,07/06/22 09:46:20 AM,64.866,6.166,,
114,07/06/22 09:46:30 AM,64.856,6.166,,
115,07/06/22 09:46:40 AM,64.856,6.166,,
116,07/06/22 09:46:50 AM,64.833,6.064,,
117,07/06/22 09:47:00 AM,64.833,6.064,,
118,07/06/22 09:47:10 AM,64.864,6.064,,
119,07/06/22 09:47:20 AM,64.854,6.064,,
120,07/06/22 09:47:30 AM,64.811,5.962,,
121,07/06/22 09:47:40 AM,64.841,5.962,,
122,07/06/22 09:47:50 AM,64.841,5.962,,
123,07/06/22 09:48:00 AM,64.851,5.962,,
124,07/06/22 09:48:10 AM,64.831,5.962,,
125,07/06/22 09:48:20 AM,64.838,5.860,,
126,07/06/22 09:48:30 AM,64.818,5.860,,
127,07/06/22 09:48:40 AM,64.858,5.860,,
128,07/06/22 09:48:50 AM,64.828,5.860,,
129,07/06/22 09:49:00 AM,64.868,5.860,,
130,07/06/22 09:49:10 AM,64.848,5.860,,
131,07/06/22 09:49:20 AM,64.858,5.860,,
132,07/06/22 09:49:30 AM,64.856,5.757,,
133,07/06/22 09:49:40 AM,64.856,5.757,,
134,07/06/22 09:49:50 AM,64.825,5.757,,
135,07/06/22 09:50:00 AM,64.835,5.757,,
136,07/06/22 09:50:10 AM,64.815,5.757,,
137,07/06/22 09:50:20 AM,64.825,5.757,,
138,07/06/22 09:50:30 AM,64.825,5.757,,
139,07/06/22 09:50:40 AM,64.846,5.757,,
140,07/06/22 09:50:50 AM,64.846,5.757,,
141,07/06/22 09:51:00 AM,64.835,5.757,,
142,07/06/22 09:51:10 AM,64.846,5.757,,
143,07/06/22 09:51:20 AM,64.833,5.655,,
144,07/06/22 09:51:30 AM,64.853,5.655,,
145,07/06/22 09:51:40 AM,64.843,5.655,,
146,07/06/22 09:51:50 AM,64.843,5.655,,
147,07/06/22 09:52:00 AM,64.833,5.655,,
148,07/06/22 09:52:10 AM,64.833,5.655,,
149,07/06/22 09:52:20 AM,64.863,5.655,,
150,07/06/22 09:52:30 AM,64.843,5.655,,
151,07/06/22 09:52:40 AM,64.843,5.655,,
152,07/06/22 09:52:50 AM,64.833,5.655,,
153,07/06/22 09:53:00 AM,64.843,5.655,,
154,07/06/22 09:53:10 AM,64.843,5.655,,
155,07/06/22 09:53:20 AM,64.843,5.655,,
156,07/06/22 09:53:30 AM,64.823,5.655,,
157,07/06/22 09:53:40 AM,64.823,5.655,,
158,07/06/22 09:53:50 AM,64.833,5.655,,
159,07/06/22 09:54:00 AM,64.833,5.655,,
160,07/06/22 09:54:10 AM,64.833,5.655,,
161,07/06/22 09:54:20 AM,64.833,5.655,,
162,07/06/22 09:54:30 AM,64.843,5.655,,
163,07/06/22 09:54:40 AM,64.833,5.655,,
164,07/06/22 09:54:50 AM,64.823,5.655,,
165,07/06/22 09:55:00 AM,64.833,5.655,,
166,07/06/22 09:55:10 AM,64.833,5.655,,
167,07/06/22 09:55:20 AM,64.833,5.655,,
168,07/06/22 09:55:30 AM,64.843,5.655,,
169,07/06/22 09:55:40 AM,64.823,5.655,,
170,07/06/22 09:55:50 AM,64.853,5.655,,
171,07/06/22 09:56:00 AM,64.843,5.655,,
172,07/06/22 09:56:10 AM,64.833,5.655,,
173,07/06/22 09:56:20 AM,64.853,5.655,,
174,07/06/22 09:56:30 AM,64.813,5.655,,
175,07/06/22 09:56:40 AM,64.813,5.655,,
176,07/06/22 09:56:50 AM,64.833,5.655,,
177,07/06/22 09:57:00 AM,64.823,5.655,,
178,07/06/22 09:57:10 AM,64.843,5.655,,
179,07/06/22 09:57:20 AM,64.843,5.655,,
180,07/06/22 09:57:30 AM,64.823,5.655,,
181,07/06/22 09:57:40 AM,64.843,5.655,,
182,07/06/22 09:57:50 AM,64.843,5.655,,
183,07/06/22 09:58:00 AM,64.833,5.655,,
184,07/06/22 09:58:10 AM,64.843,5.655,,
185,07/06/22 09:58:20 AM,64.823,5.655,,
186,07/06/22 09:58:30 AM,64.843,5.655,,
187,07/06/22 09:58:40 AM,64.813,5.655,,
188,07/06/22 09:58:50 AM,64.833,5.655,,
189,07/06/22 09:59:00 AM,64.823,5.655,,
190,07/06/22 09:59:10 AM,64.823,5.655,,
191,07/06/22 09:59:20 AM,64.823,5.655,,
192,07/06/22 09:59:30 AM,64.823,5.655,,
193,07/06/22 09:59:40 AM,64.823,5.655,,
194,07/06/22 09:59:50 AM,64.823,5.655,,
195,07/06/22 10:00:00 AM,64.813,5.655,,
196,07/06/22 10:00:10 AM,64.803,5.655,,
197,07/06/22 10:00:20 AM,64.833,5.655,,
198,07/06/22 10:00:30 AM,64.843,5.655,,
199,07/06/22 10:00:40 AM,64.823,5.655,,
200,07/06/22 10:00:50 AM,64.833,5.655,,
201,07/06/22 10:01:00 AM,64.813,5.655,,
202,07/06/22 10:01:10 AM,64.833,5.655,,
203,07/06/22 10:01:20 AM,64.853,5.655,,
204,07/06/22 10:01:30 AM,64.833,5.655,,
205,07/06/22 10:01:40 AM,64.823,5.655,,
206,07/06/22 10:01:50 AM,64.823,5.655,,
