Wetland 12 reformated for r script,,,
no.,DateTime,Level_20220442,TEMPERATURE
138,6/8/2022 22:45,65.63577226,7.763
139,6/8/2022 23:00,65.65341971,7.769
140,6/8/2022 23:15,65.67204757,7.775
141,6/8/2022 23:30,65.67989088,7.78
142,6/8/2022 23:45,65.69067544,7.785
143,6/9/2022 0:00,65.68773419,7.789
144,6/9/2022 0:15,65.67989088,7.793
145,6/9/2022 0:30,65.67498881,7.796
146,6/9/2022 0:45,65.69165585,7.797
147,6/9/2022 1:00,65.69361668,7.8
148,6/9/2022 1:15,65.70145999,7.8
149,6/9/2022 1:30,65.70440123,7.801
150,6/9/2022 1:45,65.70734247,7.801
151,6/9/2022 2:00,65.70734247,7.799
152,6/9/2022 2:15,65.70538165,7.798
153,6/9/2022 2:30,65.69557751,7.795
154,6/9/2022 2:45,65.69851875,7.792
155,6/9/2022 3:00,65.70047958,7.789
156,6/9/2022 3:15,65.69263626,7.785
157,6/9/2022 3:30,65.70047958,7.78
158,6/9/2022 3:45,65.7093033,7.776
159,6/9/2022 4:00,65.71322496,7.77
160,6/9/2022 4:15,65.71420537,7.765
161,6/9/2022 4:30,65.7093033,7.759
162,6/9/2022 4:45,65.70734247,7.752
163,6/9/2022 5:00,65.72106827,7.746
164,6/9/2022 5:15,65.7230291,7.739
165,6/9/2022 5:30,65.72793117,7.731
166,6/9/2022 5:45,65.72695075,7.723
167,6/9/2022 6:00,65.73283324,7.715
168,6/9/2022 6:15,65.73675489,7.706
169,6/9/2022 6:30,65.74263738,7.698
170,6/9/2022 6:45,65.74067655,7.688
171,6/9/2022 7:00,65.7514611,7.679
172,6/9/2022 7:15,65.758324,7.669
173,6/9/2022 7:30,65.77008897,7.659
174,6/9/2022 7:45,65.79656014,7.649
175,6/9/2022 8:00,65.81028594,7.638
176,6/9/2022 8:15,65.83381587,7.627
177,6/9/2022 8:30,65.83773753,7.616
178,6/9/2022 8:45,65.84165918,7.604
179,6/9/2022 9:00,65.83969836,7.593
180,6/9/2022 9:15,65.8426396,7.582
181,6/9/2022 9:30,65.84362001,7.57
182,6/9/2022 9:45,65.84558084,7.558
183,6/9/2022 10:00,65.8357767,7.546
184,6/9/2022 10:15,65.83185504,7.533
185,6/9/2022 10:30,65.83185504,7.522
186,6/9/2022 10:45,65.82401173,7.509
187,6/9/2022 11:00,65.80538387,7.498
188,6/9/2022 11:15,65.79950138,7.485
189,6/9/2022 11:30,65.77891269,7.473
190,6/9/2022 11:45,65.77499104,7.462
