Date,Time,WaterAir,Temp,Press,ppm,Vaisala,VaisalaType
6/9/22,18:00,Water,20,78.6,8625.2,Box1,new
6/9/22,20:15,Water,20,78.6,4333.9,Box1,new
6/9/22,21:00,Water,20,78.6,2661.8,Box1,new
6/9/22,22:10,Water,20,78.6,1985.6,Box1,new
6/3/22,22:45,Water,22,78.9,1191.9,Box1,new
6/3/22,21:01,Air,20.33,77.09,379.9,Box1,new
6/3/22,23:20,Air,20.33,77.09,401.8,Box1,new
6/9/22,18:00,Water,20,78.6,8147.1,Box3,new
6/9/22,20:15,Water,20,78.6,4307.7,Box3,new
6/9/22,21:00,Water,20,78.6,2679.1,Box3,new
6/9/22,22:10,Water,20,78.6,2135.7,Box3,new
6/3/22,22:45,Water,22,78.9,1058.3,Box3,new
6/3/22,21:01,Air,20.33,77.09,358,Box3,new
6/3/22,23:20,Air,20.33,77.09,321.6,Box3,new
6/9/22,18:00,Water,20,78.6,8968.2,Box6,old
6/9/22,20:15,Water,20,78.6,,Box6,old
6/9/22,21:00,Water,20,78.6,,Box6,old
6/9/22,22:10,Water,20,78.6,,Box6,old
6/3/22,22:45,Water,22,78.9,1612.8,Box6,old
6/3/22,21:01,Air,20.33,77.09,472.4,Box6,old
6/3/22,23:20,Air,20.33,77.09,520.5,Box6,old
6/9/22,18:00,Water,20,78.6,8141.8,K600,old
6/9/22,20:15,Water,20,78.6,4399.4,K600,old
6/9/22,21:00,Water,20,78.6,2793.2,K600,old
6/9/22,22:10,Water,20,78.6,2236.3,K600,old
6/3/22,22:45,Water,22,78.9,1208.8,K600,old
6/3/22,21:01,Air,20.33,77.09,330,K600,old
6/3/22,23:20,Air,20.33,77.09,330,K600,old
6/9/22,18:00,Water,20,78.6,8257.8,Riveros4,old
6/9/22,20:15,Water,20,78.6,4304,Riveros4,old
6/9/22,21:00,Water,20,78.6,2763.9,Riveros4,old
6/9/22,22:10,Water,20,78.6,2167,Riveros4,old
6/3/22,22:45,Water,22,78.9,,Riveros4,old
6/3/22,21:01,Air,20.33,77.09,,Riveros4,old
6/3/22,23:20,Air,20.33,77.09,,Riveros4,old
6/9/22,18:00,Water,20,78.6,9370.6,stn01,old
6/9/22,20:15,Water,20,78.6,5348.8,stn01,old
6/9/22,21:00,Water,20,78.6,3732.5,stn01,old
6/9/22,22:10,Water,20,78.6,2847.1,stn01,old
6/3/22,22:45,Water,22,78.9,2477,stn01,old
6/3/22,21:01,Air,20.33,77.09,409.1,stn01,old
6/3/22,23:20,Air,20.33,77.09,449.8,stn01,old
6/9/22,18:00,Water,20,78.6,8674,stn04,old
6/9/22,20:15,Water,20,78.6,5069.9,stn04,old
6/9/22,21:00,Water,20,78.6,3712.1,stn04,old
6/9/22,22:10,Water,20,78.6,2850.3,stn04,old
6/3/22,22:45,Water,22,78.9,2745.6,stn04,old
6/3/22,21:01,Air,20.33,77.09,392.8,stn04,old
6/3/22,23:20,Air,20.33,77.09,449.8,stn04,old
6/9/22,18:00,Water,20,78.6,9092.5,stn3,new
6/9/22,20:15,Water,20,78.6,4688.8,stn3,new
6/9/22,21:00,Water,20,78.6,2886.5,stn3,new
6/9/22,22:10,Water,20,78.6,2315.9,stn3,new
6/3/22,22:45,Water,22,78.9,1339.3,stn3,new
6/3/22,21:01,Air,20.33,77.09,361,stn3,new
6/3/22,23:20,Air,20.33,77.09,400.9,stn3,new
6/9/22,18:00,Water,20,78.6,9652.6,Unnamed,old
6/9/22,20:15,Water,20,78.6,5365,Unnamed,old
6/9/22,21:00,Water,20,78.6,3399,Unnamed,old
6/9/22,22:10,Water,20,78.6,2706.8,Unnamed,old
6/3/22,22:45,Water,22,78.9,,Unnamed,old
6/3/22,21:01,Air,20.33,77.09,,Unnamed,old
6/3/22,23:20,Air,20.33,77.09,,Unnamed,old
6/9/22,18:00,Water,20,78.6,,stn2,
6/9/22,20:15,Water,20,78.6,,stn2,
6/9/22,21:00,Water,20,78.6,,stn2,
6/9/22,22:10,Water,20,78.6,,stn2,
6/3/22,22:45,Water,22,78.9,1339.3,stn2,new
6/3/22,21:01,Air,20.33,77.09,361,stn2,new
6/3/22,23:20,Air,20.33,77.09,400.9,stn2,new
