Serial_number:
2020435
Project ID:

Location:
BelowLake_Downstream
BelowLake_Downstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_Downstream,TEMPERATURE
11/19/2022,04:15:00 pm,0,67.0898,12.290
11/19/2022,04:30:00 pm,0,66.9272,11.259
11/19/2022,04:45:00 pm,0,66.8739,10.728
11/19/2022,05:00:00 pm,0,66.8519,10.384
11/19/2022,05:15:00 pm,0,66.8545,10.140
11/19/2022,05:30:00 pm,0,66.8596,9.957
11/19/2022,05:45:00 pm,0,66.8503,9.814
11/19/2022,06:00:00 pm,0,66.8565,9.698
11/19/2022,06:15:00 pm,0,66.8475,9.603
11/19/2022,06:30:00 pm,0,66.8454,9.524
11/19/2022,06:45:00 pm,0,66.8399,9.456
11/19/2022,07:00:00 pm,0,66.8487,9.398
11/19/2022,07:15:00 pm,0,66.8587,9.349
11/19/2022,07:30:00 pm,0,66.8627,9.305
11/19/2022,07:45:00 pm,0,66.8647,9.266
11/19/2022,08:00:00 pm,0,66.8652,9.232
11/19/2022,08:15:00 pm,0,66.8758,9.202
11/19/2022,08:30:00 pm,0,66.8884,9.174
11/19/2022,08:45:00 pm,0,66.8957,9.150
11/19/2022,09:00:00 pm,0,66.9064,9.128
11/19/2022,09:15:00 pm,0,66.9151,9.108
11/19/2022,09:30:00 pm,0,66.9240,9.090
11/19/2022,09:45:00 pm,0,66.9350,9.074
11/19/2022,10:00:00 pm,0,66.9210,9.059
11/19/2022,10:15:00 pm,0,66.9100,9.046
11/19/2022,10:30:00 pm,0,66.9126,9.033
11/19/2022,10:45:00 pm,0,66.9113,9.023
11/19/2022,11:00:00 pm,0,66.9031,9.012
11/19/2022,11:15:00 pm,0,66.8938,9.004
11/19/2022,11:30:00 pm,0,66.8777,8.996
11/19/2022,11:45:00 pm,0,66.8711,8.989
11/20/2022,12:00:00 am,0,66.8558,8.982
11/20/2022,12:15:00 am,0,66.8278,8.976
11/20/2022,12:30:00 am,0,66.8111,8.971
11/20/2022,12:45:00 am,0,66.8011,8.967
11/20/2022,01:00:00 am,0,66.8073,8.962
11/20/2022,01:15:00 am,0,66.7817,8.959
11/20/2022,01:30:00 am,0,66.7698,8.956
11/20/2022,01:45:00 am,0,66.7532,8.953
11/20/2022,02:00:00 am,0,66.7381,8.951
11/20/2022,02:15:00 am,0,66.7170,8.949
11/20/2022,02:30:00 am,0,66.6818,8.948
11/20/2022,02:45:00 am,0,66.6843,8.946
11/20/2022,03:00:00 am,0,66.6755,8.945
11/20/2022,03:15:00 am,0,66.6600,8.945
11/20/2022,03:30:00 am,0,66.6777,8.945
11/20/2022,03:45:00 am,0,66.6427,8.945
11/20/2022,04:00:00 am,0,66.6391,8.944
11/20/2022,04:15:00 am,0,66.6569,8.945
11/20/2022,04:30:00 am,0,66.6664,8.945
11/20/2022,04:45:00 am,0,66.6840,8.946
11/20/2022,05:00:00 am,0,66.6973,8.947
11/20/2022,05:15:00 am,0,66.7046,8.948
11/20/2022,05:30:00 am,0,66.7040,8.948
11/20/2022,05:45:00 am,0,66.7314,8.950
11/20/2022,06:00:00 am,0,66.7292,8.951
11/20/2022,06:15:00 am,0,66.7338,8.952
11/20/2022,06:30:00 am,0,66.7566,8.954
11/20/2022,06:45:00 am,0,66.7712,8.955
11/20/2022,07:00:00 am,0,66.7927,8.956
11/20/2022,07:15:00 am,0,66.8134,8.958
11/20/2022,07:30:00 am,0,66.8294,8.959
11/20/2022,07:45:00 am,0,66.8441,8.960
11/20/2022,08:00:00 am,0,66.8555,8.962
11/20/2022,08:15:00 am,0,66.8454,8.963
11/20/2022,08:30:00 am,0,66.8575,8.964
11/20/2022,08:45:00 am,0,66.8631,8.966
11/20/2022,09:00:00 am,0,66.8828,8.966
11/20/2022,09:15:00 am,0,66.8824,8.968
11/20/2022,09:30:00 am,0,66.8884,8.970
11/20/2022,09:45:00 am,0,66.8985,8.970
11/20/2022,10:00:00 am,0,66.8820,8.971
11/20/2022,10:15:00 am,0,66.8873,8.972
11/20/2022,10:30:00 am,0,66.8786,8.972
11/20/2022,10:45:00 am,0,66.8751,8.973
11/20/2022,11:00:00 am,0,66.8556,8.973
11/20/2022,11:15:00 am,0,66.8672,8.975
11/20/2022,11:30:00 am,0,66.8492,8.974
11/20/2022,11:45:00 am,0,66.8296,8.975
11/20/2022,12:00:00 pm,0,66.8091,8.976
11/20/2022,12:15:00 pm,0,66.8054,8.976
11/20/2022,12:30:00 pm,0,66.7838,8.976
11/20/2022,12:45:00 pm,0,66.7987,8.977
11/20/2022,01:00:00 pm,0,66.7313,8.976
11/20/2022,01:15:00 pm,0,66.7054,8.976
11/20/2022,01:30:00 pm,0,66.6991,8.977
11/20/2022,01:45:00 pm,0,66.6718,8.977
11/20/2022,02:00:00 pm,0,66.6949,8.977
11/20/2022,02:15:00 pm,0,66.6594,8.977
11/20/2022,02:30:00 pm,0,66.6604,8.977
11/20/2022,02:45:00 pm,0,66.6599,8.976
11/20/2022,03:00:00 pm,0,66.6408,8.976
11/20/2022,03:15:00 pm,0,66.6334,8.975
11/20/2022,03:30:00 pm,0,66.6494,8.975
11/20/2022,03:45:00 pm,0,66.6904,8.975
11/20/2022,04:00:00 pm,0,66.7270,8.975
11/20/2022,04:15:00 pm,0,66.8067,8.975
11/20/2022,04:30:00 pm,0,66.8215,8.974
11/20/2022,04:45:00 pm,0,66.8505,8.973
11/20/2022,05:00:00 pm,0,66.8664,8.973
11/20/2022,05:15:00 pm,0,66.8804,8.973
11/20/2022,05:30:00 pm,0,66.9104,8.974
11/20/2022,05:45:00 pm,0,66.9369,8.973
11/20/2022,06:00:00 pm,0,66.9590,8.973
11/20/2022,06:15:00 pm,0,66.9951,8.973
11/20/2022,06:30:00 pm,0,67.0334,8.973
11/20/2022,06:45:00 pm,0,67.0660,8.972
11/20/2022,07:00:00 pm,0,67.1106,8.972
11/20/2022,07:15:00 pm,0,67.1486,8.973
11/20/2022,07:30:00 pm,0,67.1748,8.973
11/20/2022,07:45:00 pm,0,67.2096,8.973
11/20/2022,08:00:00 pm,0,67.2393,8.974
11/20/2022,08:15:00 pm,0,67.2700,8.973
11/20/2022,08:30:00 pm,0,67.2935,8.974
11/20/2022,08:45:00 pm,0,67.2990,8.975
11/20/2022,09:00:00 pm,0,67.3116,8.975
11/20/2022,09:15:00 pm,0,67.3205,8.977
11/20/2022,09:30:00 pm,0,67.3283,8.977
11/20/2022,09:45:00 pm,0,67.3340,8.977
11/20/2022,10:00:00 pm,0,67.3368,8.978
11/20/2022,10:15:00 pm,0,67.3359,8.980
11/20/2022,10:30:00 pm,0,67.3308,8.981
11/20/2022,10:45:00 pm,0,67.3156,8.982
11/20/2022,11:00:00 pm,0,67.3117,8.984
11/20/2022,11:15:00 pm,0,67.3187,8.986
11/20/2022,11:30:00 pm,0,67.3168,8.987
11/20/2022,11:45:00 pm,0,67.3196,8.988
11/21/2022,12:00:00 am,0,67.3175,8.990
11/21/2022,12:15:00 am,0,67.3115,8.992
11/21/2022,12:30:00 am,0,67.2977,8.993
11/21/2022,12:45:00 am,0,67.2765,8.995
11/21/2022,01:00:00 am,0,67.2595,8.997
11/21/2022,01:15:00 am,0,67.2501,8.999
11/21/2022,01:30:00 am,0,67.2485,9.000
11/21/2022,01:45:00 am,0,67.2300,9.002
11/21/2022,02:00:00 am,0,67.2330,9.004
11/21/2022,02:15:00 am,0,67.2356,9.005
11/21/2022,02:30:00 am,0,67.2170,9.007
11/21/2022,02:45:00 am,0,67.2027,9.008
11/21/2022,03:00:00 am,0,67.2022,9.010
11/21/2022,03:15:00 am,0,67.1926,9.012
11/21/2022,03:30:00 am,0,67.1888,9.013
11/21/2022,03:45:00 am,0,67.1835,9.015
11/21/2022,04:00:00 am,0,67.2053,9.016
11/21/2022,04:15:00 am,0,67.2038,9.017
11/21/2022,04:30:00 am,0,67.2186,9.019
11/21/2022,04:45:00 am,0,67.2287,9.021
11/21/2022,05:00:00 am,0,67.2385,9.022
11/21/2022,05:15:00 am,0,67.2266,9.023
11/21/2022,05:30:00 am,0,67.2361,9.024
11/21/2022,05:45:00 am,0,67.2501,9.025
11/21/2022,06:00:00 am,0,67.2575,9.027
11/21/2022,06:15:00 am,0,67.2762,9.027
11/21/2022,06:30:00 am,0,67.3006,9.028
11/21/2022,06:45:00 am,0,67.3189,9.029
11/21/2022,07:00:00 am,0,67.3328,9.030
11/21/2022,07:15:00 am,0,67.3413,9.031
11/21/2022,07:30:00 am,0,67.3667,9.031
11/21/2022,07:45:00 am,0,67.3890,9.032
11/21/2022,08:00:00 am,0,67.4036,9.033
11/21/2022,08:15:00 am,0,67.4200,9.033
11/21/2022,08:30:00 am,0,67.4358,9.033
11/21/2022,08:45:00 am,0,67.4358,9.034
11/21/2022,09:00:00 am,0,67.4394,9.034
11/21/2022,09:15:00 am,0,67.4418,9.034
11/21/2022,09:30:00 am,0,67.4399,9.034
11/21/2022,09:45:00 am,0,67.4418,9.034
11/21/2022,10:00:00 am,0,67.4437,9.034
11/21/2022,10:15:00 am,0,67.4376,9.033
11/21/2022,10:30:00 am,0,67.4418,9.033
11/21/2022,10:45:00 am,0,67.4332,9.033
11/21/2022,11:00:00 am,0,67.4220,9.033
11/21/2022,11:15:00 am,0,67.4118,9.032
11/21/2022,11:30:00 am,0,67.4066,9.032
11/21/2022,11:45:00 am,0,67.4062,9.031
11/21/2022,12:00:00 pm,0,67.3963,9.030
11/21/2022,12:15:00 pm,0,67.4103,9.029
11/21/2022,12:30:00 pm,0,67.4013,9.028
11/21/2022,12:45:00 pm,0,67.4046,9.029
11/21/2022,01:00:00 pm,0,67.4073,9.027
11/21/2022,01:15:00 pm,0,67.4102,9.027
11/21/2022,01:30:00 pm,0,67.3852,9.026
11/21/2022,01:45:00 pm,0,67.3708,9.024
11/21/2022,02:00:00 pm,0,67.3590,9.023
11/21/2022,02:15:00 pm,0,67.3396,9.022
11/21/2022,02:30:00 pm,0,67.3330,9.022
11/21/2022,02:45:00 pm,0,67.2858,9.020
11/21/2022,03:00:00 pm,0,67.3241,9.019
11/21/2022,03:15:00 pm,0,67.3076,9.018
11/21/2022,03:30:00 pm,0,67.3042,9.017
11/21/2022,03:45:00 pm,0,67.3071,9.016
11/21/2022,04:00:00 pm,0,67.3156,9.014
11/21/2022,04:15:00 pm,0,67.3158,9.013
11/21/2022,04:30:00 pm,0,67.3308,9.012
11/21/2022,04:45:00 pm,0,67.3396,9.011
11/21/2022,05:00:00 pm,0,67.3459,9.009
11/21/2022,05:15:00 pm,0,67.3344,9.009
11/21/2022,05:30:00 pm,0,67.3445,9.007
11/21/2022,05:45:00 pm,0,67.3508,9.005
11/21/2022,06:00:00 pm,0,67.3692,9.004
11/21/2022,06:15:00 pm,0,67.3897,9.003
11/21/2022,06:30:00 pm,0,67.4045,9.001
11/21/2022,06:45:00 pm,0,67.4101,9.000
11/21/2022,07:00:00 pm,0,67.4295,8.998
11/21/2022,07:15:00 pm,0,67.4448,8.997
11/21/2022,07:30:00 pm,0,67.4705,8.995
11/21/2022,07:45:00 pm,0,67.4982,8.995
11/21/2022,08:00:00 pm,0,67.5085,8.993
11/21/2022,08:15:00 pm,0,67.5243,8.992
11/21/2022,08:30:00 pm,0,67.5470,8.990
11/21/2022,08:45:00 pm,0,67.5672,8.989
11/21/2022,09:00:00 pm,0,67.5867,8.988
11/21/2022,09:15:00 pm,0,67.5900,8.986
11/21/2022,09:30:00 pm,0,67.6014,8.985
11/21/2022,09:45:00 pm,0,67.6112,8.984
11/21/2022,10:00:00 pm,0,67.6140,8.982
11/21/2022,10:15:00 pm,0,67.6237,8.980
11/21/2022,10:30:00 pm,0,67.6257,8.979
11/21/2022,10:45:00 pm,0,67.6197,8.979
11/21/2022,11:00:00 pm,0,67.6246,8.977
11/21/2022,11:15:00 pm,0,67.6222,8.976
11/21/2022,11:30:00 pm,0,67.6232,8.974
11/21/2022,11:45:00 pm,0,67.6247,8.973
11/22/2022,12:00:00 am,0,67.6106,8.972
11/22/2022,12:15:00 am,0,67.6132,8.970
11/22/2022,12:30:00 am,0,67.6058,8.969
11/22/2022,12:45:00 am,0,67.5963,8.967
11/22/2022,01:00:00 am,0,67.5870,8.966
11/22/2022,01:15:00 am,0,67.5687,8.964
11/22/2022,01:30:00 am,0,67.5598,8.963
11/22/2022,01:45:00 am,0,67.5547,8.962
11/22/2022,02:00:00 am,0,67.5570,8.960
11/22/2022,02:15:00 am,0,67.5484,8.959
11/22/2022,02:30:00 am,0,67.5402,8.957
11/22/2022,02:45:00 am,0,67.5308,8.956
11/22/2022,03:00:00 am,0,67.5355,8.954
11/22/2022,03:15:00 am,0,67.5307,8.953
11/22/2022,03:30:00 am,0,67.5422,8.952
