Serial_number:
2020433
Project ID:

Location:

Well02
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well02,TEMPERATURE
1/12/2023,04:15:00 pm,0,68.3776,8.244
1/12/2023,04:30:00 pm,0,68.4019,8.251
1/12/2023,04:45:00 pm,0,68.4037,8.256
1/12/2023,05:00:00 pm,0,68.4105,8.261
1/12/2023,05:15:00 pm,0,68.4129,8.266
1/12/2023,05:30:00 pm,0,68.4331,8.271
1/12/2023,05:45:00 pm,0,68.4402,8.275
1/12/2023,06:00:00 pm,0,68.4441,8.279
1/12/2023,06:15:00 pm,0,68.4530,8.284
1/12/2023,06:30:00 pm,0,68.4695,8.287
1/12/2023,06:45:00 pm,0,68.4849,8.292
1/12/2023,07:00:00 pm,0,68.5080,8.295
1/12/2023,07:15:00 pm,0,68.5243,8.298
1/12/2023,07:30:00 pm,0,68.5266,8.303
1/12/2023,07:45:00 pm,0,68.5420,8.305
1/12/2023,08:00:00 pm,0,68.5583,8.308
1/12/2023,08:15:00 pm,0,68.5654,8.312
1/12/2023,08:30:00 pm,0,68.5777,8.314
1/12/2023,08:45:00 pm,0,68.5959,8.317
1/12/2023,09:00:00 pm,0,68.6120,8.320
1/12/2023,09:15:00 pm,0,68.6235,8.322
1/12/2023,09:30:00 pm,0,68.6234,8.324
1/12/2023,09:45:00 pm,0,68.6357,8.327
1/12/2023,10:00:00 pm,0,68.6392,8.329
1/12/2023,10:15:00 pm,0,68.6386,8.331
1/12/2023,10:30:00 pm,0,68.6283,8.334
1/12/2023,10:45:00 pm,0,68.6218,8.335
1/12/2023,11:00:00 pm,0,68.6149,8.337
1/12/2023,11:15:00 pm,0,68.6026,8.339
1/12/2023,11:30:00 pm,0,68.5964,8.342
1/12/2023,11:45:00 pm,0,68.5978,8.344
1/13/2023,12:00:00 am,0,68.5846,8.345
1/13/2023,12:15:00 am,0,68.5652,8.345
1/13/2023,12:30:00 am,0,68.5568,8.343
1/13/2023,12:45:00 am,0,68.5401,8.340
1/13/2023,01:00:00 am,0,68.5298,8.335
1/13/2023,01:15:00 am,0,68.5042,8.328
1/13/2023,01:30:00 am,0,68.4960,8.319
1/13/2023,01:45:00 am,0,68.4778,8.310
1/13/2023,02:00:00 am,0,68.4605,8.295
1/13/2023,02:15:00 am,0,68.4531,8.279
1/13/2023,02:30:00 am,0,68.4410,8.257
1/13/2023,02:45:00 am,0,68.4318,8.237
1/13/2023,03:00:00 am,0,68.4268,8.218
