"Plot Title: Conductivity_-50m"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Full Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Temp, °C (LGR S/N: 20954781, SEN S/N: 20954781)","Coupler Detached (LGR S/N: 20954781)","Coupler Attached (LGR S/N: 20954781)","Host Connected (LGR S/N: 20954781)","Stopped (LGR S/N: 20954781)","End Of File (LGR S/N: 20954781)"
1,06/06/22 12:32:40 PM,2.3,5.4,21.57,Logged,,,,
2,06/06/22 12:32:50 PM,2.1,2.7,21.72,,,,,
3,06/06/22 12:33:00 PM,3.4,18.4,21.84,,,,,
4,06/06/22 12:33:10 PM,2.3,5.4,21.94,,,,,
5,06/06/22 12:33:20 PM,3.5,5.4,22.05,,,,,
6,06/06/22 12:33:30 PM,2.1,5.4,22.22,,,,,
7,06/06/22 12:33:40 PM,2.1,5.4,22.45,,,,,
8,06/06/22 12:33:50 PM,2.1,5.4,22.38,,,,,
9,06/06/22 12:34:00 PM,2.1,5.4,22.40,,,,,
10,06/06/22 12:34:10 PM,3.4,5.4,22.41,,,,,
11,06/06/22 12:34:20 PM,2.1,5.4,22.43,,,,,
12,06/06/22 12:34:30 PM,2.1,5.4,22.47,,,,,
13,06/06/22 12:34:40 PM,3.4,5.4,22.41,,,,,
14,06/06/22 12:34:50 PM,3.4,5.4,22.33,,,,,
15,06/06/22 12:35:00 PM,2.1,5.4,22.35,,,,,
16,06/06/22 12:35:10 PM,3.4,5.4,22.29,,,,,
17,06/06/22 12:35:20 PM,3.4,5.4,22.26,,,,,
18,06/06/22 12:35:30 PM,3.4,5.4,22.31,,,,,
19,06/06/22 12:35:40 PM,2.3,5.4,22.31,,,,,
20,06/06/22 12:35:50 PM,3.4,5.4,22.36,,,,,
21,06/06/22 12:36:00 PM,3.4,2.7,22.40,,,,,
22,06/06/22 12:36:10 PM,2.1,5.4,22.42,,,,,
23,06/06/22 12:36:20 PM,3.4,5.4,22.46,,,,,
