"Plot Title: Injection_Conductivity_x25m_2022-07-06"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Temp, °C (LGR S/N: 20954781, SEN S/N: 20954781)","Coupler Detached (LGR S/N: 20954781)","Coupler Attached (LGR S/N: 20954781)","Host Connected (LGR S/N: 20954781)","Stopped (LGR S/N: 20954781)","End Of File (LGR S/N: 20954781)"
1,07/06/22 11:16:43 AM,1.4,6.31,,,,,
2,07/06/22 11:16:44 AM,1.4,6.32,,,,,
3,07/06/22 11:16:45 AM,1.4,6.32,,,,,
4,07/06/22 11:16:46 AM,1.4,6.32,,,,,
5,07/06/22 11:16:47 AM,1.2,6.32,,,,,
6,07/06/22 11:16:48 AM,1.4,6.34,,,,,
7,07/06/22 11:16:49 AM,1.4,6.33,,,,,
8,07/06/22 11:16:50 AM,1.4,6.32,,,,,
9,07/06/22 11:16:51 AM,1.2,6.34,,,,,
10,07/06/22 11:16:52 AM,1.0,6.37,,,,,
11,07/06/22 11:16:53 AM,1.4,6.36,,,,,
12,07/06/22 11:16:54 AM,1.4,6.36,,,,,
13,07/06/22 11:16:55 AM,1.2,6.37,Logged,,,,
14,07/06/22 11:16:56 AM,1.2,6.38,,,,,
15,07/06/22 11:16:57 AM,1.2,6.39,,,,,
16,07/06/22 11:16:58 AM,1.4,6.37,,,,,
17,07/06/22 11:16:59 AM,1.4,6.37,,,,,
18,07/06/22 11:17:00 AM,1.2,6.37,,,,,
19,07/06/22 11:17:01 AM,1.2,6.38,,,,,
20,07/06/22 11:17:02 AM,1.4,6.38,,,,,
21,07/06/22 11:17:03 AM,1.2,6.39,,,,,
22,07/06/22 11:17:04 AM,1.2,6.42,,,,,
23,07/06/22 11:17:05 AM,1.2,6.45,,,,,
24,07/06/22 11:17:06 AM,1.2,6.40,,,,,
25,07/06/22 11:17:07 AM,1.2,6.39,,,,,
26,07/06/22 11:17:08 AM,1.2,6.39,,,,,
27,07/06/22 11:17:09 AM,1.4,6.38,,,,,
28,07/06/22 11:17:10 AM,1.2,6.38,,,,,
29,07/06/22 11:17:11 AM,1.4,6.38,,,,,
30,07/06/22 11:17:12 AM,1.2,6.37,,,,,
31,07/06/22 11:17:13 AM,1.4,6.38,,,,,
32,07/06/22 11:17:14 AM,1.2,6.38,,,,,
33,07/06/22 11:17:15 AM,1.4,6.39,,,,,
34,07/06/22 11:17:16 AM,1.4,6.39,,,,,
35,07/06/22 11:17:17 AM,1.2,6.38,,,,,
36,07/06/22 11:17:18 AM,1.2,6.38,,,,,
37,07/06/22 11:17:19 AM,1.2,6.38,,,,,
38,07/06/22 11:17:20 AM,1.4,6.39,,,,,
39,07/06/22 11:17:21 AM,1.4,6.40,,,,,
40,07/06/22 11:17:22 AM,1.2,6.39,,,,,
41,07/06/22 11:17:23 AM,1.2,6.38,,,,,
42,07/06/22 11:17:24 AM,1.4,6.37,,,,,
43,07/06/22 11:17:25 AM,1.2,6.37,,,,,
44,07/06/22 11:17:26 AM,1.2,6.36,,,,,
45,07/06/22 11:17:27 AM,1.2,6.37,,,,,
46,07/06/22 11:17:28 AM,1.4,6.36,,,,,
47,07/06/22 11:17:29 AM,1.2,6.36,,,,,
48,07/06/22 11:17:30 AM,1.2,6.34,,,,,
49,07/06/22 11:17:31 AM,1.4,6.36,,,,,
50,07/06/22 11:17:32 AM,1.2,6.36,,,,,
51,07/06/22 11:17:33 AM,1.4,6.37,,,,,
52,07/06/22 11:17:34 AM,1.2,6.37,,,,,
53,07/06/22 11:17:35 AM,1.2,6.37,,,,,
54,07/06/22 11:17:36 AM,1.4,6.37,,,,,
55,07/06/22 11:17:37 AM,1.4,6.37,,,,,
56,07/06/22 11:17:38 AM,1.2,6.37,,,,,
57,07/06/22 11:17:39 AM,1.4,6.37,,,,,
58,07/06/22 11:17:40 AM,1.4,6.38,,,,,
59,07/06/22 11:17:41 AM,1.2,6.38,,,,,
60,07/06/22 11:17:42 AM,1.4,6.39,,,,,
61,07/06/22 11:17:43 AM,1.4,6.40,,,,,
62,07/06/22 11:17:44 AM,1.2,6.42,,,,,
63,07/06/22 11:17:45 AM,1.2,6.40,,,,,
64,07/06/22 11:17:46 AM,1.4,6.42,,,,,
65,07/06/22 11:17:47 AM,1.2,6.40,,,,,
66,07/06/22 11:17:48 AM,1.4,6.40,,,,,
67,07/06/22 11:17:49 AM,1.2,6.42,,,,,
68,07/06/22 11:17:50 AM,1.2,6.43,,,,,
69,07/06/22 11:17:51 AM,1.4,6.43,,,,,
70,07/06/22 11:17:52 AM,1.2,6.43,,,,,
