Bottle_Number,Exsist,Sample_Collected
1,YES,
2,YES,YES
3,YES,YES
4,YES,YES
5,YES,YES
6,YES,
7,YES,YES
8,YES,YES
9,YES,YES
10,YES,YES
11,YES,YES
12,YES,YES
13,YES,YES
14,YES,YES
15,YES,YES
16,YES,YES
17,YES,YES
18,YES,YES
19,YES,YES
20,YES,YES
21,YES,YES
22,YES,
23,YES,
24,YES,YES
25,YES,YES
26,YES,YES
27,YES,YES
28,YES,YES
29,YES,
30,YES,YES
31,YES,YES
32,YES,YES
33,YES,
34,YES,
35,YES,YES
36,YES,YES
37,YES,YES
38,YES,YES
39,YES,
40,YES,YES
41,YES,
42,YES,YES
43,YES,
44,YES,
45,YES,YES
46,YES,YES
47,YES,YES
48,YES,YES
49,YES,YES
50,YES,YES
51,YES,YES
52,YES,YES
53,YES,YES
54,YES,YES
55,YES,YES
56,YES,YES
57,YES,YES
58,YES,YES
59,YES,YES
60,YES,YES
61,YES,YES
62,YES,YES
63,YES,YES
64,YES,YES
65,YES,YES
66,YES,YES
67,YES,YES
68,YES,YES
69,YES,YES
70,YES,YES
71,YES,YES
72,YES,YES
73,YES,YES
74,YES,YES
75,YES,YES
76,YES,YES
77,YES,YES
78,YES,YES
79,YES,YES
80,YES,YES
81,YES,YES
82,YES,YES
83,YES,YES
84,YES,YES
85,YES,YES
86,YES,YES
87,YES,YES
88,YES,YES
89,YES,YES
90,YES,YES
91,YES,YES
92,YES,YES
93,YES,YES
94,YES,YES
95,YES,YES
96,YES,YES
97,YES,YES
98,YES,YES
99,YES,YES
100,YES,YES
101,YES,YES
102,YES,YES
103,YES,YES
104,YES,YES
105,YES,YES
106,YES,YES
107,YES,YES
108,YES,YES
109,YES,YES
110,YES,YES
111,YES,YES
112,YES,YES
113,YES,YES
114,YES,YES
115,YES,YES
116,YES,YES
117,YES,YES
118,YES,YES
119,YES,YES
120,YES,YES
121,YES,YES
122,YES,YES
123,YES,YES
124,YES,YES
125,YES,YES
126,YES,YES
127,YES,YES
128,YES,YES
129,YES,YES
130,YES,YES
131,YES,YES
132,YES,YES
133,YES,YES
134,YES,YES
135,YES,YES
136,YES,YES
137,YES,YES
138,YES,YES
139,YES,YES
140,YES,YES
141,YES,YES
142,YES,YES
144,YES,YES
145,YES,YES
154,YES,YES
155,YES,
161,YES,
170,YES,
171,YES,
177,YES,
181,YES,
218,YES,YES
221,YES,YES
223,YES,YES
226,YES,YES
228,YES,
232,YES,
234,YES,YES
235,YES,YES
240,YES,YES
242,YES,YES
244,YES,YES
247,YES,YES
254,YES,YES
255,YES,YES
263,YES,YES
267,YES,YES
270,YES,
271,YES,YES
277,YES,YES
278,YES,YES
279,YES,YES
289,YES,
291,YES,
293,YES,
294,YES,
