Title,batch,Sample,Bottle_Number,area,CH4 ppm NOT CORRECTED
Ecuador2022_pt1_18_1.gcd,pt1,18,18,1365,1.5277
Ecuador2022_pt1_113_1.gcd,pt1,113,113,1467,1.6603
Ecuador2022_pt1_88_1.gcd,pt1,88,88,1505,1.7097
Ecuador2022_pt1_36_1.gcd,pt1,36,36,30136,36.6823
Ecuador2022_pt1_30_1.gcd,pt1,30,30,40553,49.1827
Ecuador2022_pt1_32_1.gcd,pt1,32,32,44584,54.0199
Ecuador2022_pt1_3_1.gcd,pt1,3,3,7042,8.9078
Ecuador2022_pt1_85_1.gcd,pt1,85,85,19012,23.3335
Ecuador2022_pt1_254_1.gcd,pt1,254,254,19517,23.9395
Ecuador2022_pt1_278_1.gcd,pt1,278,278,71625,86.4691
Ecuador2022_pt1_93_1.gcd,pt1,93,93,67590,81.6271
Ecuador2022_pt1_317_1.gcd,pt1,317,317,747,0.7243
Ecuador2022_pt1_54_1.gcd,pt1,54,54,155864,187.5559
Ecuador2022_pt1_302_1.gcd,pt1,302,302,1010,1.0662
Ecuador2022_pt1_305_1.gcd,pt1,305,305,27535,33.5611
Ecuador2022_pt1_295_1.gcd,pt1,295,295,1171,1.2755
Ecuador2022_pt1_299_1.gcd,pt1,299,299,1138,1.2326
Ecuador2022_pt1_31_1.gcd,pt1,31,31,71980,86.8951
Ecuador2022_pt1_33_1.gcd,pt1,33,33,31096,37.8343
Ecuador2022_pt1_34_1.gcd,pt1,34,34,30197,36.7555
Ecuador2022_pt1_35_1.gcd,pt1,35,35,36522,44.3455
Ecuador2022_pt1_29_1.gcd,pt1,29,29,2648,3.1956
Ecuador2022_pt1_37_1.gcd,pt1,37,37,30581,37.2163
Ecuador2022_pt1_39_1.gcd,pt1,39,39,13084,16.2199
Ecuador2022_pt1_38_1.gcd,pt1,38,38,33198,40.3567
Ecuador2022_pt1_40_1.gcd,pt1,40,40,213305,256.4851
Ecuador2022_pt1_41_1.gcd,pt1,41,41,17312,21.2935
Ecuador2022_pt1_42_1.gcd,pt1,42,42,310376,372.9703
Ecuador2022_pt1_43_1.gcd,pt1,43,43,10342,12.9295
Ecuador2022_pt1_44_1.gcd,pt1,44,44,19062,23.3935
Ecuador2022_pt1_45_1.gcd,pt1,45,45,86054,103.7839
Ecuador2022_pt1_46_1.gcd,pt1,46,46,1555,1.7747
Ecuador2022_pt1_47_1.gcd,pt1,47,47,70752,85.4215
Ecuador2022_pt1_48_1.gcd,pt1,48,48,23784,29.0599
Ecuador2022_pt1_323_1.gcd,pt1,323,323,910,0.9362
Ecuador2022_pt1_322_1.gcd,pt1,322,322,847,0.8543
Ecuador2022_pt1_4_1.gcd,pt1,4,4,2132,2.5248
Ecuador2022_pt1_12_1.gcd,pt1,12,12,6922,8.7518
Ecuador2022_pt1_294_1.gcd,pt1,294,294,100960,121.6711
Ecuador2022_pt1_314_1.gcd,pt1,314,314,809,0.8049
Ecuador2022_pt1_289_1.gcd,pt1,289,289,78102,94.2415
Ecuador2022_pt1_291_1.gcd,pt1,291,291,77126,93.0703
Ecuador2022_pt1_306_1.gcd,pt1,306,306,906,0.931
Ecuador2022_pt1_303_1.gcd,pt1,303,303,895,0.9167
Ecuador2022_pt1_293_1.gcd,pt1,293,293,101207,121.9675
Ecuador2022_pt1_17_1.gcd,pt1,17,17,2816,3.414
Ecuador2022_pt1_19_1.gcd,pt1,19,19,26416,32.2183
Ecuador2022_pt1_13_1.gcd,pt1,13,13,403708,484.9687
Ecuador2022_pt1_7_1.gcd,pt1,7,7,2757,3.3373
Ecuador2022_pt1_5_1.gcd,pt1,5,5,14605,18.0451
Ecuador2022_pt2_c1_1.gcd,pt2,c1,NA,406,0.281
Ecuador2022_pt2_c2_1.gcd,pt2,c2,NA,908,0.9336
Ecuador2022_pt2_c3_1.gcd,pt2,c3,NA,3799,4.6919
Ecuador2022_pt2_c4_1.gcd,pt2,c4,NA,23387,28.5835
Ecuador2022_pt2_c5_1.gcd,pt2,c5,NA,164969,198.4819
Ecuador2022_pt2_11_1.gcd,pt2,11,11,31655,38.5051
Ecuador2022_pt2_14_1.gcd,pt2,14,14,69831,84.3163
Ecuador2022_pt2_15_1.gcd,pt2,15,15,11959,14.8699
Ecuador2022_pt2_16_1.gcd,pt2,16,16,28645,34.8931
Ecuador2022_pt2_300_1.gcd,pt2,300,300,34586,42.0223
Ecuador2022_pt2_21_1.gcd,pt2,21,21,72249,87.2179
Ecuador2022_pt2_301_1.gcd,pt2,301,301,39530,47.9551
Ecuador2022_pt2_304_1.gcd,pt2,304,304,34442,41.8495
Ecuador2022_pt2_24_1.gcd,pt2,24,24,1505,1.7097
Ecuador2022_pt2_25_1.gcd,pt2,25,25,17468,21.4807
Ecuador2022_pt2_26_1.gcd,pt2,26,26,276520,332.3431
Ecuador2022_pt2_27_1.gcd,pt2,27,27,393419,472.6219
Ecuador2022_pt2_28_1.gcd,pt2,28,28,21733,26.5987
Ecuador2022_pt2_49_1.gcd,pt2,49,49,1517,1.7253
Ecuador2022_pt2_50_1.gcd,pt2,50,50,14005,17.3251
Ecuador2022_pt2_51_1.gcd,pt2,51,51,1499,1.7019
Ecuador2022_pt2_52_1.gcd,pt2,52,52,30414,37.0159
Ecuador2022_pt2_53_1.gcd,pt2,53,53,33527,40.7515
Ecuador2022_pt2_55_1.gcd,pt2,55,55,14159,17.5099
Ecuador2022_pt2_56_1.gcd,pt2,56,56,1444,1.6304
Ecuador2022_pt2_57_1.gcd,pt2,57,57,21613,26.4547
Ecuador2022_pt2_58_1.gcd,pt2,58,58,19627,24.0715
Ecuador2022_pt2_59_1.gcd,pt2,59,59,15273,18.8467
Ecuador2022_pt2_60_1.gcd,pt2,60,60,242113,291.0547
Ecuador2022_pt2_61_1.gcd,pt2,61,61,6804,8.5984
Ecuador2022_pt2_62_1.gcd,pt2,62,62,6115,7.7027
Ecuador2022_pt2_63_1.gcd,pt2,63,63,36650,44.4991
Ecuador2022_pt2_64_1.gcd,pt2,64,64,122431,147.4363
Ecuador2022_pt2_65_1.gcd,pt2,65,65,8152,10.3015
Ecuador2022_pt2_66_1.gcd,pt2,66,66,114058,137.3887
Ecuador2022_pt2_67_1.gcd,pt2,67,67,69499,83.9179
Ecuador2022_pt2_68_1.gcd,pt2,68,68,9036,11.3623
