Site,Location,Rep,Date_collected,Watertemp_c,AirPress_Field_kPa,CH4_umol_L-1,CH4_%sat,CH4_Gcoutput
Colmillo,0m,A,7/26/22,7.054,64.56,1.144079522,46937.71136,48.2659
Wetland_11,3,B,7/19/22,6.166,62.74875,7.705967088,319423.807,321.1159
Wetland_06,2,C,7/19/22,5.5728,62.60229,0.212081711,8704.895489,8.9078
Wetland_03,1,A,7/7/22,4.2688,61.66913,0.060451631,2451.727637,2.5248
Wetland_06,3,C,7/19/22,5.5728,62.60229,0.436107263,17900.026,18.0451
Colmillo,0m,A,7/26/22,7.054,64.56,0.854059288,35039.16255,36.0415
Wetland_03,2,B,7/14/22,6.0436,61.90788,0.079181544,3318.42949,3.3373
Wetland_03,3,A,7/7/22,4.2688,61.66913,0.045727262,1854.553629,1.8904
Wetland_11,1,C,7/22/22,6.37,62.68232,0.885825998,36911.71241,37.1335
Wetland_11,3,C,7/22/22,6.37,62.68232,0.465653314,19403.42829,19.5907
Wetland_08,1,B,7/8/22,7.079,63.84128,0.924349764,38369.41738,38.5051
Wetland_11,2,C,7/22/22,6.37,62.68232,0.208838751,8702.155893,8.7518
Wetland_09,1,C,7/18/22,7.582,63.80909,11.4182688,479083.3473,484.9687
Wetland_08,3,B,7/8/22,7.079,63.84128,2.017299446,83737.35509,84.3163
Wetland_11,3,A,7/11/22,8.4016,62.78498,0.352078471,15264.49508,14.8699
Wetland_08,2,B,7/8/22,7.079,63.84128,0.831286516,34506.39632,34.8931
Wetland_03,1,B,7/14/22,6.0436,61.90788,0.081403305,3411.541572,3.414
Wetland_01,3,A,7/7/22,5.037,61.64864,0.036452283,1502.623135,1.5277
Wetland_11,1,C,7/22/22,6.37,62.68232,0.768225129,32011.37145,32.2183
Wetland_01,2,A,7/7/22,5.037,61.64864,0.043190125,1780.368056,1.8163
Wetland_04,1,B,7/15/22,7.5214,62.4924,2.065007329,88359.51674,87.2179
Wetland_02,2,C,7/25/22,7.1794,61.90392,0.074755931,3206.756975,3.1436
Wetland_02,1,C,7/25/22,7.1794,61.90392,0.065174892,2795.765325,2.7523
Wetland_02,2,A,7/7/22,4.5814,61.7099,0.040746938,1662.231071,1.7097
Wetland_10,2,B,7/8/22,7.381,63.79533,0.512673962,21427.53687,21.4807
Gavi-main,50m,B,7/6/22,6.396,62.77,0.51424841,21409.81306,21.4807
Wetland_10,2,B,7/8/22,7.381,63.79533,7.872112372,329019.9826,332.3431
Wetland_10,2,C,7/18/22,8.282,63.77594,11.16735215,475492.0388,472.6219
Gavi-trib,50m,B,7/15/22,7.33,63.28,0.631944676,26600.02678,26.5987
Wetland_02,2,C,7/25/22,7.1794,61.90392,0.076269528,3271.684784,3.1956
Wetland_05,1,B,7/19/22,6.8972,62.8534,1.178994649,49524.91987,49.1827
Wetland_04,3,B,7/15/22,7.5214,62.4924,2.060470903,88165.40778,86.8951
Wetland_05,2,B,7/19/22,6.8972,62.8534,1.290817091,54222.14008,54.0199
Colmillo,50m ,A,7/26/22,7.054,64.56,0.897893042,36837.51316,37.8343
Colmillo,50m,A,7/26/22,7.054,64.56,0.878386829,36037.23924,36.7555
Wetland_04,1,C,7/22/22,5.9416,62.41354,1.058833092,43923.16726,44.3455
Wetland_04,3,C,7/22/22,5.9416,62.41354,0.874410742,36272.84563,36.6823
Wetland_04,2,C,7/22/22,5.9416,62.41354,0.892377829,37018.16742,37.2163
Wetland_04,1,C,7/22/22,5.9416,62.41354,0.957111184,39703.47637,40.3567
Wetland_12,1,C,7/27/22,7.2852,62.96565,0.38459983,16254.7056,16.2199
Wetland_10,3,B,7/8/22,7.381,63.79533,6.121459379,255850.3186,256.4851
Wetland_12,3,C,7/27/22,7.2852,62.96565,0.502405727,21233.64738,21.2935
Wetland_10,3,C,7/18/22,8.282,63.77594,8.75983462,372982.9208,372.9703
Wetland_12,2,C,7/27/22,7.2852,62.96565,0.306348276,12947.48629,12.9295
Wetland_12,2,C,7/27/22,7.2852,62.96565,0.556207506,23507.52273,23.3935
Wetland_08,2,C,7/18/22,7.079,63.78435,2.448824759,101740.5379,103.7839
Wetland_01,1,A,7/7/22,5.037,61.64864,0.042684639,1759.531085,1.7747
Wetland_04,2,B,7/15/22,7.5214,62.4924,2.045019509,87504.25873,85.4215
Gavi-trib,0m,A,7/21/22,4.836,62.4,0.694061296,28148.54653,29.0599
Wetland_02,2,A,7/7/22,4.5814,61.7099,0.041520851,1693.802109,1.7253
Wetland_11,1,B,7/19/22,6.166,62.74875,0.412441171,17096.30052,17.3251
Wetland_02,1,A,7/7/22,4.5814,61.7099,0.040951537,1670.577507,1.7019
Gavi-trib,0m,B,7/15/22,7.33,63.28,0.882378722,37141.38047,37.0159
Wetland_08,1,B,7/8/22,7.079,63.84128,0.972329424,40361.03538,40.7515
Wetland_10,1,B,7/8/22,7.381,63.79533,4.456014332,186241.9753,187.5559
Gavi-trib,30m,A,7/21/22,4.836,62.4,0.421420159,17091.23535,17.5099
Wetland_03,2,A,7/7/22,4.2688,61.66913,0.038886051,1577.095661,1.6304
Gavi-trib,0m,A,7/21/22,4.836,62.4,0.62920808,25518.34113,26.4547
Wetland_11,2,B,7/19/22,6.166,62.74875,0.572357748,23725.08066,24.0715
Gavi-trib,30m,A,7/21/22,4.836,62.4,0.448923982,18206.68818,18.8467
Wetland_09,1,B,7/8/22,7.28,63.80642,6.921320699,288637.2372,291.0547
Wetland_11,2,A,7/11/22,8.4016,62.78498,0.203216771,8810.539881,8.5984
Wetland_07,3,C,7/19/22,5.5318,62.74971,0.183031111,7488.536897,7.7027
Wetland_05,3,B,7/19/22,6.8972,62.8534,1.059135058,44490.09069,44.4991
Wetland_05,1,A,6/28/22,6.9982,62.6334,3.462123676,146241.9157,147.4363
Wetland_07,3,A,6/30/22,6.7146,62.57962,0.243638661,10240.82828,10.3015
Wetland_05,2,A,6/28/22,6.9982,62.6334,3.251319805,137337.4498,137.3887
Wetland_10,3,A,7/5/22,7.179,63.70984,1.986892636,82813.83438,83.9179
Wetland_11,1,A,7/11/22,8.4016,62.78498,0.26608753,11536.32535,11.3623
Wetland_07,2,A,6/30/22,6.7146,62.57962,0.223668568,9401.428275,9.4642
Wetland_09,1,A,7/5/22,7.36585,63.72989,4.012099854,167808.7749,170.1643
Wetland_04,3,A,6/29/22,6.3494,62.18753,1.467992991,61630.86825,61.9327
Wetland_06,2,A,6/30/22,7.0788,62.31554,0.356326757,15153.0745,15.0043
Wetland_06,3,B,7/11/22,6.2272,62.67683,0.15935246,6621.279571,6.7303
Wetland_06,1,A,6/30/22,7.0788,62.31554,0.854322815,36330.74704,36.0283
Wetland_07,2,B,7/11/22,6.451,62.76471,0.132146169,5508.331377,5.6019
Wetland_07,1,A,6/30/22,6.7146,62.57962,0.346597116,14568.46599,14.6131
Gavi-trib,15m,A,6/20/22,7.005,63.1,0.540898938,22682.04725,22.9939
Gavi-trib,30m,A,6/20/22,7.005,63.1,0.393505303,16501.24495,16.6783
Wetland_04,2,A,6/29/22,6.3494,62.18753,1.333774655,55995.96901,56.1607
Wetland_10,2,A,7/5/22,7.179,63.70984,5.612420549,233926.1102,238.0063
Wetland_11,1,A,7/11/22,8.4016,62.78498,0.285448641,12375.73365,12.1015
Wetland_07,1,B,7/11/22,6.451,62.76471,0.158998115,6627.617827,6.7121
Wetland_05,3,A,6/28/22,6.9982,62.6334,2.773119369,117138.0132,117.5683
Gavi-trib,30m,A,6/20/22,7.005,63.1,0.425234671,17831.78374,17.9827
Gavi-main,50m,B,7/6/22,6.396,62.77,0.555907506,23144.21502,23.3335
Gavi-main,0m,C,7/1/22,8.125815,64.48,1.017942604,42734.3565,43.6447
Wetland_09,3,C,7/8/22,7.28,63.80642,5.259196857,219322.311,222.9307
Wetland_03,1,C,7/7/22,4.2688,61.66913,0.040518979,1643.322081,1.7097
Wetland_06,2,A,7/11/22,6.2272,62.67683,0.390457685,16223.96974,16.4911
Gavi-main,0m,A,7/6/22,6.396,62.77,0.818633033,34082.32261,34.7539
Wetland_06,1,A,7/11/22,6.2272,62.67683,0.36211923,15046.47405,15.2371
Wetland_06,1,A,7/19/22,5.5728,62.60229,0.182929795,7508.354866,7.6546
Wetland_04,2,B,7/15/22,7.5214,62.4924,1.917915322,82065.60269,81.6271
Wetland_08,2,B,7/5/22,6.978,63.75624,1.390533426,57678.65891,58.7815
Wetland_07,3,B,7/11/22,6.451,62.76471,0.193289787,8057.019019,8.1304
Wetland_01,3,B,7/14/22,6.268,61.89142,0.054566973,2298.014512,2.296
Wetland_09,1,B,7/8/22,7.28,63.80642,7.643855965,318768.854,325.0315
Wetland_03,3,B,7/14/22,6.0436,61.90788,0.070307585,2946.529641,2.9655
Wetland_08,1,B,7/5/22,6.978,63.75624,1.53730658,63766.73887,65.0347
Gavi-main,0m,B,7/1/22,8.125815,64.48,1.028384683,43172.72652,43.6075
Wetland_05,4,B,6/28/22,6.9982,62.6334,2.3056205,97390.61634,97.0027
Wetland_10,2,B,7/5/22,7.179,63.70984,5.853614407,243979.0883,248.0119
Gavi-trib,0m,B,6/20/22,7.005,63.1,0.516458219,21657.15052,21.7651
Wetland_08,1,C,7/5/22,6.978,63.75624,1.868070096,77486.65071,79.7011
Wetland_01,1,C,7/7/22,5.037,61.64864,0.052162776,2150.235498,2.192
