"","Site","Date","AirPress_kpa","Watertemp_c","pCO2_ppm","CH4_umol.L","CO2_umol.L","pCO2_w_uatm","pCH4_w_uatm","Location","Site2","Lat","Lon"
"1","Wetland12",2022-10-16,62.4405,7.589333,4162.06829006665,0.23695,150.120180268168,2569.49342335574,119.779189543325,"center",NA,-0.328064,-78.200203
"2","Gavilan",2022-11-30,62.3872,7.538,5612.8523199435,8.9358,202.59195153032,3462.19582594453,4512.37760638537,"margins","waypt12",-0.328265587,-78.20016811
"3","Gavilan",2022-11-30,62.3582,7.507,12609.123844602,2.53505,455.336054011312,7774.12136174421,1279.33735905534,"margins","waypt13",-0.328201926,-78.19985798
"4","Gavilan",2022-11-30,62.3242,7.486,6867.700234585,0.1841,248.027524234692,4231.95703890442,92.8682093167265,"margins","waypt14",-0.328201926,-78.19985798
"5","Gavilan",2022-11-29,62.3653,7.334,13732.6248426205,0.30045,498.586709027344,8467.77538134333,151.092763578361,"margins","waypt10",-0.328094093,-78.20023206
"6","Gavilan",2022-11-29,62.3881,7.356,10449.169322947,3.7487,379.259047614911,6445.49142310416,1886.02065384315,"margins","Waypt01",-0.327926748,-78.20042241
"7","Gavilan",2022-12-01,62.1925,8.182,18036.825547609,1.67585,636.418724413462,11091.0527602193,857.38140533733,"margins","waypt09",-0.327248527,-78.19988463
"8","Gavilan",2022-11-30,62.2761,7.464,1883.213367212,1.3959,68.0055692271965,1159.56385523323,703.839228422264,"margins","waypt08",-0.327188387,-78.19932849
"9","Gavilan",2022-11-30,62.227,7.451,2225.4627145415,3.73865,80.3332530093454,1369.22070884463,1884.60026785421,"margins","waypt07",-0.327040656,-78.19938566
"10","Gavilan",2022-11-30,62.1573,7.454,4322.4861976595,0.89765,155.841448654748,2656.44479559089,452.520177991483,"margins","waypt06",-0.326784505,-78.19940108
"11","Gavilan",2022-11-29,62.2956,7.304,12020.6293064534,0.8421,436.341956845308,7403.85829306231,423.223834540566,"margins","waypt11",-0.326712588,-78.19979796
"12","Gavilan",2022-12-01,62.3281,8.234,12031.5508524861,18.3964,424.780109549093,7414.44526679538,9421.67689199762,"margins","waypt05",-0.326476721,-78.19944416
"13","Gavilan",2022-11-29,62.1824,7.278,1467.3411644377,0,53.2092083814107,902.138763241321,0,"margins","waypy04",-0.326323835,-78.19988681
"14","Gavilan",2022-11-29,62.2576,7.291,7671.2700035195,0.2853,278.403530143785,4722.08260883301,143.348571165417,"margins","Waypt03",-0.326281381,-78.20010507
