"","Station","DateTime","ppm","WL_Pressure","Temp","adjusted_ppm"
"68","xn10m",2022-06-06 13:11:20,3654,645.91,12.497,5734.2380709566
"69","xn10m",2022-06-06 13:11:30,3651.5,645.91,12.497,5730.35939009935
"70","xn10m",2022-06-06 13:11:40,3651.5,645.81,12.497,5730.90741087085
"71","xn10m",2022-06-06 13:11:50,3654.5,645.91,12.497,5735.01380712805
"72","xn10m",2022-06-06 13:12:00,3654.5,645.91,12.497,5735.01380712805
"73","xn10m",2022-06-06 13:12:10,3654.5,645.91,12.497,5735.01380712805
"74","xn10m",2022-06-06 13:12:20,3654.5,645.91,12.497,5735.01380712805
"75","xn10m",2022-06-06 13:12:30,3651.5,645.81,12.497,5730.90741087085
"76","xn10m",2022-06-06 13:12:40,3654,645.91,12.497,5734.2380709566
"77","xn10m",2022-06-06 13:12:50,3654,645.91,12.497,5734.2380709566
"78","xn10m",2022-06-06 13:13:00,3654,645.81,12.497,5734.7864669306
"79","xn10m",2022-06-06 13:13:10,3651.5,645.81,12.497,5730.90741087085
"80","xn10m",2022-06-06 13:13:20,3651,645.91,12.497,5729.5836539279
"81","xn10m",2022-06-06 13:13:30,3651,645.91,12.497,5729.5836539279
"82","xn10m",2022-06-06 13:13:40,3651,646.01,12.497,5729.0357081969
"83","xn10m",2022-06-06 13:13:50,3651,645.88,12.401,5729.7480376472
"84","xn10m",2022-06-06 13:14:00,3649,645.88,12.401,5726.6450029128
"85","xn10m",2022-06-06 13:14:10,3651.5,645.98,12.401,5729.9757755593
"86","xn10m",2022-06-06 13:14:20,3651.5,645.88,12.401,5730.5237963308
"87","xn10m",2022-06-06 13:14:30,3651.5,645.78,12.401,5731.0718171023
"88","xn10m",2022-06-06 13:14:40,3651.5,645.98,12.401,5729.9757755593
"89","xn10m",2022-06-06 13:14:50,3654.5,645.78,12.401,5735.7268194469
"90","xn10m",2022-06-06 13:15:00,3654.5,645.78,12.401,5735.7268194469
"91","xn10m",2022-06-06 13:15:10,3654.5,645.78,12.401,5735.7268194469
"92","xn10m",2022-06-06 13:15:20,3652,645.88,12.401,5731.2995550144
"93","xn10m",2022-06-06 13:15:30,3651.5,645.78,12.401,5731.0718171023
"94","xn10m",2022-06-06 13:15:40,3651.5,645.88,12.401,5730.5237963308
"95","xn10m",2022-06-06 13:15:50,3651.5,645.88,12.401,5730.5237963308
"96","xn10m",2022-06-06 13:16:00,3649,645.88,12.401,5726.6450029128
"97","xn10m",2022-06-06 13:16:10,3649,645.88,12.401,5726.6450029128
"98","xn10m",2022-06-06 13:16:20,3648.5,645.98,12.401,5725.3216737007
"99","xn10m",2022-06-06 13:16:30,3645.5,645.88,12.401,5721.2146921276
"100","xn10m",2022-06-06 13:16:40,3643.5,645.88,12.401,5718.1116573932
"101","xn10m",2022-06-06 13:16:50,3643.5,645.88,12.401,5718.1116573932
"102","xn10m",2022-06-06 13:17:00,3643.5,645.88,12.401,5718.1116573932
"103","xn10m",2022-06-06 13:17:10,3643.5,645.76,12.304,5718.7678415414
"104","xn10m",2022-06-06 13:17:20,3641.5,645.86,12.304,5715.1179266511
"105","xn10m",2022-06-06 13:17:30,3641.5,645.96,12.304,5714.5714066896
"106","xn10m",2022-06-06 13:17:40,3636.4,645.76,12.304,5707.75078954416
"107","xn10m",2022-06-06 13:17:50,3636.4,645.86,12.304,5707.20503499576
"108","xn10m",2022-06-06 13:18:00,3636.9,645.86,12.304,5707.98080868746
"109","xn10m",2022-06-06 13:18:10,3636.9,645.96,12.304,5707.43497909856
"110","xn10m",2022-06-06 13:18:20,3639,645.86,12.304,5711.2390581926
"111","xn10m",2022-06-06 13:18:30,3641.5,645.96,12.304,5714.5714066896
"112","xn10m",2022-06-06 13:18:40,3644,645.96,12.304,5718.4498999456
"113","xn10m",2022-06-06 13:18:50,3644,645.96,12.304,5718.4498999456
"114","xn10m",2022-06-06 13:19:00,3644,645.96,12.304,5718.4498999456
"115","xn10m",2022-06-06 13:19:10,3643.5,646.06,12.304,5717.1273811709
"116","xn10m",2022-06-06 13:19:20,3643.5,645.96,12.304,5717.6742012944
"117","xn10m",2022-06-06 13:19:30,3643,646.06,12.304,5716.3517575602
"118","xn10m",2022-06-06 13:19:40,3643,645.86,12.304,5717.4452477262
"119","xn10m",2022-06-06 13:19:50,3643.5,645.96,12.304,5717.6742012944
"120","xn10m",2022-06-06 13:20:00,3643.5,645.96,12.304,5717.6742012944
"121","xn10m",2022-06-06 13:20:10,3644,645.93,12.207,5718.6139684948
"122","xn10m",2022-06-06 13:20:20,3644,646.03,12.207,5718.0670733308
"123","xn10m",2022-06-06 13:20:30,3644,645.93,12.207,5718.6139684948
"124","xn10m",2022-06-06 13:20:40,3644,645.83,12.207,5719.1608636588
"125","xn10m",2022-06-06 13:20:50,3644.5,645.93,12.207,5719.38968965815
"126","xn10m",2022-06-06 13:21:00,3644.5,645.83,12.207,5719.93665986265
"127","xn10m",2022-06-06 13:21:10,3642,645.83,12.207,5716.0576788434
"128","xn10m",2022-06-06 13:21:20,3639,645.83,12.207,5711.4029016203
"129","xn10m",2022-06-06 13:21:30,3639,645.83,12.207,5711.4029016203
"130","xn10m",2022-06-06 13:21:40,3641.5,645.83,12.207,5715.28188263955
"131","xn10m",2022-06-06 13:21:50,3644,645.93,12.207,5718.6139684948
"132","xn10m",2022-06-06 13:22:00,3649,645.93,12.207,5726.3711801283
"133","xn10m",2022-06-06 13:22:10,3651.5,645.83,12.207,5730.79780671655
"134","xn10m",2022-06-06 13:22:20,3646,645.93,12.207,5721.7168531482
"135","xn10m",2022-06-06 13:22:30,3640.5,645.83,12.207,5713.73029023185
"136","xn10m",2022-06-06 13:22:40,3638,645.93,12.207,5709.3053145346
"137","xn10m",2022-06-06 13:22:50,3638,645.93,12.207,5709.3053145346
"138","xn10m",2022-06-06 13:23:00,3641,645.93,12.207,5713.9596415147
"139","xn10m",2022-06-06 13:23:10,3641,645.83,12.207,5714.5060864357
"140","xn10m",2022-06-06 13:23:20,3638.5,645.81,12.11,5710.73631936015
"141","xn10m",2022-06-06 13:23:30,3638.5,645.91,12.11,5710.19024964165
