"","Site","Site2","Lat","Lon","DateTime","Watertemp_c","AirPress_kpa","air_pressure_atm","AirTemp_C","CO2_ppm","CO2_umol.L","CO2_sat","CH4_umol.L","CH4_pSat","KH_CH4_mol.L.atm","CH4_air_atm","CH4_sat_umol.L","pCH4_ppm"
"1","Gavilan","Waypt01",-0.327926748,-78.20042241,"2022-11-29 10:30:00",7.356,62.3881,0.615874629812438,6.743,10449.169322947,379.259047614911,2500.55912146471,5.2388,223950.168528906,0.00198762404449881,1.17691794133267e-06,0.00233927039859486,2635.70971306146
"2","Gavilan","Waypt01",-0.327926748,-78.20042241,"2022-11-29 10:30:00",7.356,62.3881,0.615874629812438,6.743,10449.169322947,379.259047614911,2500.55912146471,2.2586,96551.4718331273,0.00198762404449881,1.17691794133267e-06,0.00233927039859486,1136.33159462484
"3","Gavilan","waypt10",-0.328094093,-78.20023206,"2022-11-29 11:15:00",7.334,62.3653,0.615649555774926,6.741,13732.6248426205,498.586709027344,3286.31482064405,0.2985,12759.3441709529,0.00198851349915365,1.17648783159921e-06,0.00233946193472503,150.112131563124
"4","Gavilan","waypt10",-0.328094093,-78.20023206,"2022-11-29 11:15:00",7.334,62.3653,0.615649555774926,6.741,13732.6248426205,498.586709027344,3286.31482064405,0.3024,12926.0491701714,0.00198851349915365,1.17648783159921e-06,0.00233946193472503,152.073395593597
"5","Gavilan","waypt11",-0.326712588,-78.19979796,"2022-11-29 12:30:00",7.304,62.2956,0.614961500493583,6.737,12020.6293064534,436.341956845308,2876.62716126832,0.8299,35491.9955199569,0.00198972725842378,1.17517297859822e-06,0.00233827370887994,417.092340915825
"6","Gavilan","waypt11",-0.326712588,-78.19979796,"2022-11-29 12:30:00",7.304,62.2956,0.614961500493583,6.737,12020.6293064534,436.341956845308,2876.62716126832,0.8543,36535.500388841,0.00198972725842378,1.17517297859822e-06,0.00233827370887994,429.355328165308
"7","Gavilan","Waypt03",-0.326281381,-78.20010507,"2022-11-29 13:15:00",7.291,62.2576,0.614586377097729,6.73,7671.2700035195,278.403530143785,1835.79447097248,0.3492,14939.2581926382,0.00199025353151778,1.17445612904245e-06,0.00233746545843943,175.455033476915
"8","Gavilan","Waypt03",-0.326281381,-78.20010507,"2022-11-29 13:15:00",7.291,62.2576,0.614586377097729,6.73,7671.2700035195,278.403530143785,1835.79447097248,0.2214,9471.79772007473,0.00199025353151778,1.17445612904245e-06,0.00233746545843943,111.24210885392
"9","Gavilan","waypy04",-0.326323835,-78.19988681,"2022-11-29 14:30:00",7.278,62.1824,0.613844027640671,6.725,1467.3411644377,53.2092083814107,351.146800661719,0,0,0.00199077999262141,1.17303752150049e-06,0.0023352596283974,0
"10","Gavilan","waypy04",-0.326323835,-78.19988681,"2022-11-29 14:30:00",7.278,62.1824,0.613844027640671,6.725,1467.3411644377,53.2092083814107,351.146800661719,0,0,0.00199077999262141,1.17303752150049e-06,0.0023352596283974,0
