"","New.Name","Location","Date","Watertemp_c","AirPress_kpa","ppm_Corrected","pCO2_w_uatm","CO2_umol.L","CO2_sat_precent","pCO2_air_ppm","pCO2_air_uatm","KH_mol.l.atm"
"1","S1","edge",2022-07-07,5.037,61.64864,NA,NA,NA,NA,418.53,254.70686376308,0.0631910167487104
"2","S1","middle",2022-07-07,5.037,61.64864,366.641371444974,223.483596033491,14.1221556600143,87.7414894642838,418.53,254.70686376308,0.0631910167487104
"3","S1","edge",2022-07-07,5.037,61.64864,365.144876051321,222.571418090497,14.0645142083408,87.3833609358582,418.53,254.70686376308,0.0631910167487104
"4","S1","edge",2022-07-14,6.268,61.89142,564.904823652683,345.687524828443,21.0296608627655,135.187367751372,418.53,255.709931022705,0.0608343065697903
"5","S1","middle",2022-07-14,6.268,61.89142,467.668333056856,286.184684084881,17.4098468071982,111.917704150282,418.53,255.709931022705,0.0608343065697903
"6","S1","edge",2022-07-14,6.268,61.89142,473.664080916559,289.853718496225,17.6330499713931,113.352546511183,418.53,255.709931022705,0.0608343065697903
"7","S1","edge",2022-07-25,6.877,61.83665,693.979196056524,424.298005584526,25.3341875029899,166.076387180675,418.53,255.48364387463,0.0597084765177927
"8","S1","middle",2022-07-25,6.877,61.83665,573.005878877765,350.335071969855,20.9179734180713,137.126223290353,418.53,255.48364387463,0.0597084765177927
"9","S1","edge",2022-07-25,6.877,61.83665,574.432011215771,351.207007483418,20.9700353592079,137.467511484125,418.53,255.48364387463,0.0597084765177927
"10","S2","edge",2022-07-07,4.5814,61.7099,339.318524181551,207.034351052922,13.2691805975605,81.2026904353562,418.53,254.959964925962,0.0640916858969392
"11","S2","middle",2022-07-07,4.5814,61.7099,334.888781164611,204.331554401736,13.0959538035494,80.1426037460711,418.53,254.959964925962,0.0640916858969392
"12","S2","edge",2022-07-07,4.5814,61.7099,NA,NA,NA,NA,418.53,254.959964925962,0.0640916858969392
"13","S2","edge",2022-07-14,7.0384,61.92754,392.581384553069,240.376001721757,14.2818010050519,93.9485605815294,418.53,255.859164029615,0.059414421168314
"14","S2","middle",2022-07-14,7.0384,61.92754,475.807660514909,291.335115528628,17.3095072551373,113.865421484339,418.53,255.859164029615,0.059414421168314
"15","S2","edge",2022-07-14,7.0384,61.92754,513.741867478593,314.562077776971,18.6895237726209,122.94344780262,418.53,255.859164029615,0.059414421168314
"16","S2","edge",2022-07-25,7.1794,61.90392,436.511015496241,267.172157190602,15.8056358673232,104.461413432211,418.53,255.761575889437,0.0591589933379447
"17","S2","middle",2022-07-25,7.1794,61.90392,497.399419181104,304.439684430169,18.0103452630104,119.032612061233,418.53,255.761575889437,0.0591589933379447
"18","S2","edge",2022-07-25,7.1794,61.90392,439.185935653679,268.809376329191,15.9024921034357,105.101548344148,418.53,255.761575889437,0.0591589933379447
"19","S3","edge",2022-07-07,4.2688,61.66913,412.016483149856,251.22500594666,16.2589847669572,98.6002226127594,418.53,254.791520028628,0.0647188153332527
"20","S3","middle",2022-07-07,4.2688,61.66913,392.866466243351,239.548378170908,15.5032872502232,94.0174061303112,418.53,254.791520028628,0.0647188153332527
"21","S3","edge",2022-07-07,4.2688,61.66913,411.207079450203,250.731476057506,16.2270440971996,98.4065231171488,418.53,254.791520028628,0.0647188153332527
"22","S3","edge",2022-07-14,6.0436,61.90788,513.556243261963,314.348751361701,19.2556634885347,122.899087806125,418.53,255.777936983218,0.0612557339742013
"23","S3","middle",2022-07-14,6.0436,61.90788,601.693856562941,368.297951770955,22.5603613569248,143.991290302384,418.53,255.777936983218,0.0612557339742013
"24","S3","edge",2022-07-14,6.0436,61.90788,601.440007440841,368.142570241447,22.5508433472888,143.930541697035,418.53,255.777936983218,0.0612557339742013
"25","S3","edge",2022-07-25,6.8564,61.81431,732.797248117968,447.869707650942,26.7584848196772,175.366048175428,418.53,255.391344168806,0.059746136795061
"26","S3","middle",2022-07-25,6.8564,61.81431,806.028551614267,492.627084363285,29.4325651713209,192.891065265577,418.53,255.391344168806,0.059746136795061
"27","S3","edge",2022-07-25,6.8564,61.81431,809.357780050743,494.661836227293,29.5541337345319,193.687784461613,418.53,255.391344168806,0.059746136795061
"28","S4","edge",2022-06-29,6.3494,62.18753,880.581867742683,541.436777724146,32.8556396815025,210.730451048548,418.53,256.933335941757,0.0606823197707525
"29","S4",NA,2022-06-29,6.3494,62.18753,1006.90778510598,619.109848389979,37.5690217932228,240.961277414902,418.53,256.933335941757,0.0606823197707525
"30","S4","edge",2022-07-15,7.5214,62.4924,888.28391820146,548.845837337166,32.1322072239332,212.571982400846,418.53,258.192933583416,0.058545050427692
"31","S4","middle",2022-07-15,7.5214,62.4924,994.678145599071,614.583860538256,35.9808431072578,238.032796641082,418.53,258.192933583416,0.058545050427692
"32","S4","edge",2022-07-15,7.5214,62.4924,978.319563838632,604.47634950492,35.3890983641127,234.118084145641,418.53,258.192933583416,0.058545050427692
"33","S4","edge",2022-07-22,5.9416,62.41354,589.786573078684,363.953523183529,22.3643912565441,141.139951536503,418.53,257.867116448174,0.061448481281129
"34","S4","middle",2022-07-22,5.9416,62.41354,733.98811289581,452.939371387862,27.8324364842134,175.648364020425,418.53,257.867116448174,0.061448481281129
"35","S4","edge",2022-07-22,5.9416,62.41354,733.609206455973,452.705550646546,27.8180685547675,175.557689123782,418.53,257.867116448174,0.061448481281129
"36","S8","edge",2022-06-28,6.9982,62.6334,1128.17570312436,698.638588521708,41.5602590980358,269.978657864695,418.53,258.775487680158,0.0594874943652564
