"Plot Title: Inj_DO_xn10_2022-07-01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °C (LGR S/N: 20645539, SEN S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","Stopped (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
1,07/01/22 09:15:00 AM,6.28,14.54,,,,
2,07/01/22 09:20:00 AM,6.45,13.94,,,,
3,07/01/22 09:25:00 AM,6.60,13.32,,,,
4,07/01/22 09:30:00 AM,6.66,13.26,,,,
5,07/01/22 09:35:00 AM,6.42,15.40,,,,
6,07/01/22 09:40:00 AM,5.95,19.22,,,,
7,07/01/22 09:45:00 AM,5.93,19.58,,,,
8,07/01/22 09:50:00 AM,4.94,18.90,,,,
9,07/01/22 09:55:00 AM,6.62,10.80,,,,
10,07/01/22 10:00:00 AM,7.23,8.50,,,,
11,07/01/22 10:05:00 AM,7.47,7.66,,,,
12,07/01/22 10:10:00 AM,7.56,7.30,,,,
13,07/01/22 10:15:00 AM,7.62,7.14,,,,
14,07/01/22 10:20:00 AM,7.65,7.08,,,,
15,07/01/22 10:25:00 AM,7.67,7.08,,,,
16,07/01/22 10:30:00 AM,7.67,7.12,,,,
17,07/01/22 10:35:00 AM,7.67,7.16,,,,
18,07/01/22 10:40:00 AM,7.66,7.24,,,,
19,07/01/22 10:45:00 AM,7.64,7.34,,,,
20,07/01/22 10:50:00 AM,7.63,7.40,,,,
21,07/01/22 10:55:00 AM,7.61,7.46,,,,
22,07/01/22 11:00:00 AM,7.60,7.48,,,,
23,07/01/22 11:05:00 AM,7.59,7.52,,,,
24,07/01/22 11:10:00 AM,7.57,7.52,,,,
25,07/01/22 11:15:00 AM,7.57,7.52,,,,
26,07/01/22 11:20:00 AM,7.59,7.54,,,,
27,07/01/22 11:25:00 AM,7.59,7.56,,,,
28,07/01/22 11:30:00 AM,7.59,7.58,,,,
29,07/01/22 11:35:00 AM,7.58,7.62,,,,
30,07/01/22 11:40:00 AM,7.59,7.66,,,,
31,07/01/22 11:45:00 AM,7.58,7.72,,,,
32,07/01/22 11:50:00 AM,7.56,7.76,,,,
33,07/01/22 11:55:00 AM,7.55,7.80,,,,
34,07/01/22 12:00:00 PM,7.55,7.82,,,,
35,07/01/22 12:05:00 PM,7.55,7.86,,,,
36,07/01/22 12:10:00 PM,7.54,7.90,,,,
37,07/01/22 12:15:00 PM,7.53,7.94,,,,
38,07/01/22 12:20:00 PM,7.52,8.00,,,,
39,07/01/22 12:25:00 PM,7.52,8.04,,,,
40,07/01/22 12:30:00 PM,7.50,8.06,,,,
41,07/01/22 12:35:00 PM,7.50,8.08,,,,
42,07/01/22 12:40:00 PM,7.51,8.12,,,,
43,07/01/22 12:45:00 PM,7.49,8.18,,,,
