Plot Title: Injection_Temp_xn10_2022-07-01,,,,
#,"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)",Coupler Detached (LGR S/N: 11016513)
140,7/1/2022 9:38,64.279,13.269,
141,7/1/2022 9:38,64.269,13.269,
142,7/1/2022 9:38,64.272,13.365,
143,7/1/2022 9:38,64.272,13.365,
144,7/1/2022 9:38,64.282,13.365,
145,7/1/2022 9:39,64.282,13.365,
146,7/1/2022 9:39,64.282,13.365,
147,7/1/2022 9:39,64.282,13.365,
148,7/1/2022 9:39,64.272,13.365,
149,7/1/2022 9:39,64.272,13.365,
150,7/1/2022 9:39,64.282,13.365,
151,7/1/2022 9:40,64.272,13.365,
152,7/1/2022 9:40,64.272,13.365,
153,7/1/2022 9:40,64.274,13.461,
154,7/1/2022 9:40,64.284,13.461,
155,7/1/2022 9:40,64.284,13.461,
156,7/1/2022 9:40,64.274,13.461,
157,7/1/2022 9:41,64.284,13.461,
158,7/1/2022 9:41,64.274,13.461,
159,7/1/2022 9:41,64.274,13.461,
160,7/1/2022 9:41,64.274,13.461,
161,7/1/2022 9:41,64.274,13.461,
162,7/1/2022 9:41,64.277,13.558,
163,7/1/2022 9:42,64.277,13.558,
164,7/1/2022 9:42,64.287,13.558,
165,7/1/2022 9:42,64.277,13.558,
166,7/1/2022 9:42,64.269,13.654,
167,7/1/2022 9:42,64.269,13.654,
168,7/1/2022 9:42,64.272,13.75,
169,7/1/2022 9:43,64.282,13.75,
170,7/1/2022 9:43,64.282,13.75,
171,7/1/2022 9:43,64.284,13.846,
172,7/1/2022 9:43,64.274,13.846,
173,7/1/2022 9:43,64.277,13.942,
174,7/1/2022 9:43,64.277,13.942,
175,7/1/2022 9:44,64.277,13.942,
176,7/1/2022 9:44,64.279,14.038,
177,7/1/2022 9:44,64.279,14.038,
178,7/1/2022 9:44,64.289,14.038,
179,7/1/2022 9:44,64.289,14.038,
180,7/1/2022 9:44,64.282,14.134,
181,7/1/2022 9:45,64.282,14.134,
182,7/1/2022 9:45,64.272,14.134,
183,7/1/2022 9:45,64.282,14.134,
184,7/1/2022 9:45,64.284,14.23,
185,7/1/2022 9:45,64.284,14.23,
186,7/1/2022 9:45,64.277,14.325,
187,7/1/2022 9:46,64.289,14.421,
188,7/1/2022 9:46,64.297,14.709,
189,7/1/2022 9:46,64.305,14.996,
190,7/1/2022 9:46,64.327,15.473,
191,7/1/2022 9:46,64.307,15.855,
192,7/1/2022 9:46,68.919,16.046,
193,7/1/2022 9:47,68.734,15.569,
194,7/1/2022 9:47,68.796,14.9,
195,7/1/2022 9:47,68.888,14.23,
196,7/1/2022 9:47,69.004,13.654,
197,7/1/2022 9:47,69.088,13.076,
198,7/1/2022 9:47,69.135,12.594,
199,7/1/2022 9:48,69.182,12.11,
200,7/1/2022 9:48,69.219,11.625,
201,7/1/2022 9:48,69.242,11.334,
202,7/1/2022 9:48,69.261,10.944,
203,7/1/2022 9:48,69.283,10.651,
204,7/1/2022 9:48,69.285,10.357,
205,7/1/2022 9:49,69.29,10.161,
206,7/1/2022 9:49,69.294,9.965,
207,7/1/2022 9:49,69.296,9.669,
208,7/1/2022 9:49,69.293,9.571,
209,7/1/2022 9:49,69.298,9.373,
210,7/1/2022 9:49,69.285,9.275,
211,7/1/2022 9:50,69.3,9.077,
212,7/1/2022 9:50,69.287,8.978,
213,7/1/2022 9:50,69.294,8.879,
214,7/1/2022 9:50,69.291,8.779,
215,7/1/2022 9:50,69.279,8.68,
216,7/1/2022 9:50,69.286,8.581,
217,7/1/2022 9:51,69.293,8.481,
218,7/1/2022 9:51,69.29,8.382,
219,7/1/2022 9:51,69.288,8.282,
220,7/1/2022 9:51,69.278,8.282,
221,7/1/2022 9:51,69.275,8.182,
222,7/1/2022 9:51,69.282,8.082,
223,7/1/2022 9:52,69.282,8.082,
224,7/1/2022 9:52,69.279,7.983,
225,7/1/2022 9:52,69.279,7.983,
226,7/1/2022 9:52,69.287,7.882,
227,7/1/2022 9:52,69.277,7.882,
228,7/1/2022 9:52,69.277,7.882,
229,7/1/2022 9:53,69.284,7.782,
230,7/1/2022 9:53,69.284,7.782,
231,7/1/2022 9:53,69.271,7.682,
232,7/1/2022 9:53,69.281,7.682,
233,7/1/2022 9:53,69.281,7.682,
234,7/1/2022 9:53,69.288,7.582,
235,7/1/2022 9:54,69.278,7.582,
236,7/1/2022 9:54,69.278,7.582,
237,7/1/2022 9:54,69.288,7.582,
238,7/1/2022 9:54,69.276,7.481,
239,7/1/2022 9:54,69.286,7.481,
240,7/1/2022 9:54,69.276,7.481,
241,7/1/2022 9:55,69.276,7.481,
242,7/1/2022 9:55,69.273,7.381,
243,7/1/2022 9:55,69.263,7.381,
244,7/1/2022 9:55,69.273,7.381,
245,7/1/2022 9:55,69.273,7.381,
246,7/1/2022 9:55,69.283,7.381,
247,7/1/2022 9:56,69.293,7.381,
248,7/1/2022 9:56,69.27,7.28,
249,7/1/2022 9:56,69.27,7.28,
250,7/1/2022 9:56,69.26,7.28,
251,7/1/2022 9:56,69.27,7.28,
252,7/1/2022 9:56,69.27,7.28,
253,7/1/2022 9:57,69.28,7.28,
254,7/1/2022 9:57,69.267,7.179,
255,7/1/2022 9:57,69.257,7.179,
256,7/1/2022 9:57,69.267,7.179,
257,7/1/2022 9:57,69.257,7.179,
258,7/1/2022 9:57,69.267,7.179,
259,7/1/2022 9:58,69.267,7.179,
260,7/1/2022 9:58,69.267,7.179,
261,7/1/2022 9:58,69.267,7.179,
262,7/1/2022 9:58,69.267,7.179,
263,7/1/2022 9:58,69.267,7.179,
264,7/1/2022 9:58,69.257,7.179,
265,7/1/2022 9:59,69.264,7.079,
266,7/1/2022 9:59,69.264,7.079,
267,7/1/2022 9:59,69.264,7.079,
268,7/1/2022 9:59,69.264,7.079,
269,7/1/2022 9:59,69.264,7.079,
270,7/1/2022 9:59,69.264,7.079,
271,7/1/2022 10:00,69.264,7.079,
