Peatland Pools,Latitude,Longitude,Area (m2),Depth (cm),Elevation (m),Trees (%),Shrubs (%),Herbs (%),Mosses (%),MAT (°C),MAP (mm),pH,TN (mgL-1),TP (μgL-1),DOC (mgL-1),SUVA (LmgC-1m-1),E4:E6 ,C1 (RU),C2 (RU),C3 (RU),%C1,%C2,%C3,CO2-C (mgL-1),CH4 (μgL-1),CO2:CH4
GPB1,46.7808,-71.0547,393,205,94.9,13.9275766,26.74094708,23.35190344,35.97957289,3.94,1329,4.28,0.4795,12.4636,18.36,2.516339869,3.222222222,2.658380426,1.69117191,2.656404259,37.94457459,24.13905777,37.91636763,0.719327149,18.22200635,39.47573806
GPB2,46.78189,-71.05245,277,186,93.9,9.44924406,32.39740821,16.30669546,41.84665227,3.94,1329,4.41,0.4097,14.6873,17.09,1.679344646,3.4,2.066050342,1.094100859,0.82354007,51.86271227,27.46449924,20.67278849,0.364860738,37.60215367,9.703187251
GPB3,46.78033,-71.05291,390,219,94.9,5.779392338,29.72258917,18.26287979,46.23513871,3.94,1329,4.19,0.3836,10.7053,17,3.741176471,3.636363636,3.419472884,2.190434667,0.766135522,53.63001544,34.35413848,12.01584609,0.506407796,7.382298003,68.59758249
GPB4,46.7817,-71.0538,72,77,94.9,4.242928453,22.96173045,45.75707155,27.03826955,3.94,1329,3.98,0.95525,18.694,29.695,3.313689173,4.454545455,7.180870094,3.803023776,2.843728166,51.93134492,27.5030932,20.56556188,1.485432122,383.9753259,3.868561393
GPB5,46.78203,-71.05124,179,73,94.7,14.93094438,34.60246361,21.53788727,28.92870474,3.94,1329,3.82,1.2225,21.2729,48.405,4.076025204,7.714285714,8.862818503,7.332028749,2.007834118,48.68963161,40.27993789,11.0304305,1.388106304,229.1695143,6.057115876
GPB6,46.7798,-71.0532,95,79,94.9,13.42732461,34.4075193,21.11446794,31.05068815,3.94,1329,4.03,0.6988,19.50855,22.595,3.748616951,5.111111111,4.540651349,2.90972749,0.966645008,53.94604354,34.56955264,11.48440382,0.574917088,12.13027237,47.39523322
GPB7,46.7829,-71.0505,1411,90,94.9,9.993337775,34.97668221,8.361092605,46.66888741,3.94,1329,4.05,0.6142,12.2546,27.86,4.368269921,4.933333333,5.73759049,4.18400463,2.356239044,46.73129164,34.07770926,19.1909991,0.880823999,29.5571943,29.80066342
GPB8,46.781,-71.0506,1253,113,93.9,14.88095238,43.22562358,5.753968254,36.13945578,3.94,1329,3.81,0.85845,15.44655,37.5,4.536,5.555555556,7.676760169,6.020046431,1.522703841,50.44025692,39.55479682,10.00494626,0.98543356,29.18342068,33.76689701
GPB9,46.7804,-71.0515,1897,119,94.9,6.41260535,29.35141077,12.93514108,51.3008428,3.94,1329,4.09,0.5085,17.0648,19.18,3.686131387,4.3,4.111145095,2.424814586,1.143394812,53.53503473,31.57576054,14.88920473,0.727325281,61.71300351,11.78560822
MG1-1,50.3151667, -64.9277167,358,64.5,81,0,21.10173256,28.92047979,33.3185251,1.47,962,4.41,1.2125,33.12845,15.25,2.649180328,1.4,2.87381462,1.75480693,1.040884924,50.68897325,30.95166992,18.35935682,0.609933604,17.27622764,35.30479085
MG1-2,50.3151167, -64.9279667,132,62,81.1,2.173913043,21.73913043,27.17391304,32.60869565,1.47,962,4.3,0.67515,9.3749,16.965,2.923666372,1.459459459,3.517549592,2.044920089,0.902469532,54.40963134,31.63092523,13.95944343,0.96731775,100.4221504,9.632513808
MG1-3,50.31515, -64.9282000,123,63.75,81.3,2.083333333,19.79166667,30.20833333,32.29166667,1.47,962,4.13,0.64625,11.3378,20.1,4.019900498,1.820512821,4.779063715,2.99164461,0.870801746,55.30357166,34.61946564,10.0769627,0.562545554,54.43648213,10.33398067
MG1-4,50.3149, -64.9277500,679,45,81,6.05815832,29.28109855,19.22455574,30.2907916,1.47,962,4.41,0.652,11.3796,18.485,3.467676494,1.634146341,4.444573906,3.263032835,1.081687293,50.56804209,37.12508447,12.30687344,0.353772946,43.7628039,8.083872939
MG1-5,50.3144667, -64.9273667,336,35.6,81.5,1.550387597,22.48062016,33.33333333,23.25581395,1.47,962,4.46,0.8204,12.7579,18.795,3.532854483,1.682926829,4.569103221,3.453591146,0.969065502,50.81433765,38.40840054,10.77726181,0.426266032,30.82185222,13.82999402
MG1-6,50.31455, -64.9264333,42,18.33333333,81,1.515151515,18.18181818,37.87878788,23.48484848,1.47,962,4.21,1.225,34.64735,27.845,3.318369546,1.592592593,8.529284348,4.777246144,1.7464656,56.66170572,31.73618139,11.60211289,0.608044066,97.20522196,6.255261334
MG1-7,50.3143, -64.9252333,814,62.5,81,1.388888889,19.44444444,40.97222222,20.83333333,1.47,962,4.23,0.37635,12.14755,13.75,3.84,1.5,2.967334339,2.027023259,0.920049603,50.17128915,34.27263613,15.55607472,0.766965121,37.7387965,20.32298832
MG1-8,50.31395, -64.9237833,107,29.6,80,8.955223881,13.43283582,35.82089552,23.13432836,1.47,962,3.91,0.65865,12.0392,28.925,3.633535004,2,5.865250409,3.804196617,1.095029543,54.48709346,35.34028424,10.17262229,0.285468683,103.2266885,2.765454232
MG2-1,50.19285, -61.5568667,7714,57.5,31.1,0,23.46938776,29.59183673,31.63265306,1.36,1022,4.04,0.5969,12.04385,20.945,4.702793029,2.040816327,5.184815972,3.649981185,0.717879911,54.27605199,38.20898748,7.514960524,0.300779358,12.90429826,23.30846297
MG2-2,50.1948667, -61.5577833,2760,77,33,6.796116505,29.12621359,28.15533981,21.3592233,1.36,1022,4.05,0.4646,11.0594,19.315,4.317887652,1.953488372,4.717730807,3.205487096,0.715626552,54.61066965,37.10550771,8.283822635,0.381116825,15.19311306,25.08484099
