Wetland,Watershed_m2,Elevation_m
Wetland01,14058.55,4274.088379
Wetland02,21888.05,4263.513184
Wetland03,26087.33,4263.466797
Wetland04,3116.48,4187.8125
Wetland05,30266.94,4135.197754
Wetland06,963.33,4166.241211
Wetland07,35836.84,4145.449219
Wetland08,,3998.477295
Wetland09,,3999.155518
Wetland10,,3998.755371
Wetland11,26355.05,4145.759277
Wetland12,747759.15,4124.501465
