Min of_Band_1,Max of_Band_1,Label,Count,area_per_square,Area_m2,Total_Surface_aream2,Depth_m,WaterLevel_m
"4,249.70","4,249.80","4,249.7-4,249.8","72,596",0.001420536,103.1252387,103.1252387,0.1000000,0.1000000
"4,249.80","4,250","4,249.8-4,250","85,646",0.001420536,121.6632348,224.7884735,0.3000000,0.3000000
"4,250","4,250.10","4,250-4,250.1","86,471",0.001420536,122.8351771,347.6236506,0.4000000,0.4000000
"4,250.10","4,250.20","4,250.1-4,250.2","78,156",0.001420536,111.0234194,458.6470701,0.5000000,0.5000000
"4,250.20","4,250.30","4,250.2-4,250.3","132,033",0.001420536,187.5576429,646.204713,0.6000000,0.6000000
"4,250.30","4,250.40","4,250.3-4,250.4","159,692",0.001420536,226.8482509,873.0529638,0.7000000,0.7000000
"4,250.40","4,250.50","4,250.4-4,250.5","157,786",0.001420536,224.1407091,1097.193673,0.8000000,0.8000000
"4,250.50","4,250.60","4,250.5-4,250.6","167,049",0.001420536,237.299135,1334.492808,0.9000000,0.9000000
"4,250.60","4,250.70","4,250.6-4,250.7","165,766",0.001420536,235.4765872,1569.969395,1.0000000,1.0000000
"4,250.70","4,250.90","4,250.7-4,250.9","159,372",0.001420536,226.3936793,1796.363074,1.2000000,1.2000000
"4,250.90","4,251","4,250.9-4,251","153,027",0.001420536,217.3803778,2013.743452,1.3000000,1.3000000
"4,251","4,251.10","4,251-4,251.1","151,108",0.001420536,214.654369,2228.397821,1.4000000,1.4000000
"4,251.10","4,251.20","4,251.1-4,251.2","147,472",0.001420536,209.4892997,2437.887121,1.5000000,1.5000000
"4,251.20","4,251.30","4,251.2-4,251.3","137,675",0.001420536,195.5723076,2633.459428,1.6000000,1.6000000
"4,251.30","4,251.40","4,251.3-4,251.4","136,716",0.001420536,194.2100134,2827.669442,1.7000000,1.7000000
"4,251.40","4,251.50","4,251.4-4,251.5","128,957",0.001420536,183.1880738,3010.857516,1.8000000,1.8000000
"4,251.50","4,251.70","4,251.5-4,251.7","124,104",0.001420536,176.2942122,3187.151728,2.0000000,2.0000000
"4,251.70","4,251.80","4,251.7-4,251.8","120,276",0.001420536,170.8564,3358.008128,2.1000000,2.1000000
"4,251.80","4,251.90","4,251.8-4,251.9","112,222",0.001420536,159.4154022,3517.42353,2.2000000,2.2000000
"4,251.90","4,252","4,251.9-4,252","101,123",0.001420536,143.648872,3661.072402,2.3000000,2.3000000
"4,252","4,252.10","4,252-4,252.1","98,464",0.001420536,139.8716665,3800.944069,2.4000000,2.4000000
