Min of_Band_1,Max of_Band_1,Label,Count,Area_per_count,Total_Surface_aream2,WaterLevel_m
"4,136.41","4,136.45","4,136.41-4,136.45",86,0.001742228,0.149831574,0.00
"4,136.45","4,136.48","4,136.45-4,136.48",462,0.001742228,0.954740725,0.04
"4,136.48","4,136.52","4,136.48-4,136.52","2,743",0.001742228,5.733671032,0.07
"4,136.52","4,136.56","4,136.52-4,136.56","6,947",0.001742228,17.83692617,0.11
"4,136.56","4,136.60","4,136.56-4,136.6","18,344",0.001742228,49.79634926,0.15
"4,136.60","4,136.64","4,136.6-4,136.64","39,519",0.001742228,118.6474418,0.19
"4,136.64","4,136.68","4,136.64-4,136.68","37,622",0.001742228,184.1935286,0.23
"4,136.68","4,136.72","4,136.68-4,136.72","72,799",0.001742228,311.0259556,0.27
"4,136.72","4,136.76","4,136.72-4,136.76","79,576",0.001742228,449.6654591,0.31
"4,136.76","4,136.79","4,136.76-4,136.79","47,833",0.001742228,533.0014319,0.35
"4,136.79","4,136.83","4,136.79-4,136.83","23,403",0.001742228,573.7747844,0.38
"4,136.83","4,136.87","4,136.83-4,136.87","26,151",0.001742228,619.3357784,0.42
"4,136.87","4,136.91","4,136.87-4,136.91","41,622",0.001742228,691.8507756,0.46
"4,136.91","4,136.95","4,136.91-4,136.95","56,955",0.001742228,791.0793485,0.50
"4,136.95","4,136.99","4,136.95-4,136.99","63,608",0.001742228,901.8989617,0.54
"4,136.99","4,137.03","4,136.99-4,137.03","47,606",0.001742228,984.8394488,0.58
"4,137.03","4,137.06","4,137.03-4,137.06","41,389",0.001742228,1056.948507,0.62
"4,137.06","4,137.10","4,137.06-4,137.1","32,761",0.001742228,1114.025625,0.65
"4,137.10","4,137.14","4,137.1-4,137.14","30,331",0.001742228,1166.869131,0.69
"4,137.14","4,137.18","4,137.14-4,137.18","28,540",0.001742228,1216.592306,0.73
"4,137.18","4,137.22","4,137.18-4,137.22","27,303",0.001742228,1264.160347,0.77
"4,137.22","4,137.26","4,137.22-4,137.26","26,411",0.001742228,1310.17432,0.81
"4,137.26","4,137.30","4,137.26-4,137.3","25,801",0.001742228,1355.125534,0.85
