"","DateTime","AirPres_kpa","AirTemp_c"
"2",2022-06-28 09:54:42,NA,NA
"3",2022-06-28 09:54:50,62.619,16.332
"4",2022-06-28 09:55:00,62.635,16.523
"5",2022-06-28 09:55:10,62.644,16.903
"6",2022-06-28 09:55:20,62.653,17.284
"7",2022-06-28 09:55:30,62.663,17.665
"8",2022-06-28 09:55:40,62.672,18.045
"9",2022-06-28 09:55:50,62.661,18.426
"10",2022-06-28 09:56:00,62.655,18.616
"11",2022-06-28 09:56:10,62.639,18.806
"12",2022-06-28 09:56:20,63.017,18.901
"13",2022-06-28 09:56:30,62.534,18.331
"14",2022-06-28 09:56:40,62.574,17.855
"15",2022-06-28 09:56:50,62.596,17.475
"16",2022-06-28 09:57:00,62.609,17.189
"17",2022-06-28 09:57:10,62.625,16.999
"18",2022-06-28 09:57:20,62.642,16.808
"19",2022-06-28 09:57:30,62.637,16.618
"20",2022-06-28 09:57:40,62.632,16.427
"21",2022-06-28 09:57:50,62.627,16.237
"22",2022-06-28 09:58:00,62.623,16.046
"23",2022-06-28 09:58:10,62.631,15.951
"24",2022-06-28 09:58:20,62.636,15.76
"25",2022-06-28 09:58:30,62.632,15.569
"26",2022-06-28 09:58:40,62.64,15.473
"27",2022-06-28 09:58:50,62.648,15.378
"28",2022-06-28 09:59:00,62.645,15.282
"29",2022-06-28 09:59:10,62.643,15.187
"30",2022-06-28 09:59:20,62.641,15.091
"31",2022-06-28 09:59:30,62.649,14.996
"32",2022-06-28 09:59:40,62.649,14.996
"33",2022-06-28 09:59:50,62.636,14.9
"34",2022-06-28 10:00:00,62.657,14.9
"35",2022-06-28 10:00:10,62.646,14.9
"36",2022-06-28 10:00:20,62.636,14.9
"37",2022-06-28 10:00:30,62.646,14.9
"38",2022-06-28 10:00:40,62.646,14.9
"39",2022-06-28 10:00:50,62.636,14.9
"40",2022-06-28 10:01:00,62.646,14.9
"41",2022-06-28 10:01:10,62.636,14.9
"42",2022-06-28 10:01:20,62.636,14.9
"43",2022-06-28 10:01:30,62.636,14.9
