Min of_Band_1,Max of_Band_1,Label,Count,area_per_square,Area_m2,Total_Surface_aream2,WaterLevel_m
"4,248.30","4,248.40","4,248.3-4,248.4","32,196",0.001420536,45.73558028,3565.73558,0.1217371
"4,248.40","4,248.50","4,248.4-4,248.5","53,197",0.001420536,75.56825891,3641.303839,0.2217371
"4,248.50","4,248.60","4,248.5-4,248.6","68,047",0.001420536,96.66322,3737.967059,0.3217371
"4,248.60","4,248.70","4,248.6-4,248.7","70,136",0.001420536,99.63071991,3837.597779,0.4217371
"4,248.70","4,248.80","4,248.7-4,248.8","57,314",0.001420536,81.41660603,3919.014385,0.5217371
"4,248.80","4,248.90","4,248.8-4,248.9","57,508",0.001420536,81.69219004,4000.706575,0.6217371
"4,248.90","4,249","4,248.9-4,249","53,462",0.001420536,75.94470098,4076.651276,0.7217371
"4,249","4,249.10","4,249-4,249.1","45,518",0.001420536,64.6599622,4141.311238,0.8217371
"4,249.10","4,249.20","4,249.1-4,249.2","55,863",0.001420536,79.35540815,4220.666646,0.9217371
"4,249.20","4,249.40","4,249.2-4,249.4","78,960",0.001420536,112.1655305,4332.832177,1.1217371
"4,249.40","4,249.50","4,249.4-4,249.5","105,521",0.001420536,149.8963898,4482.728567,1.2217371
"4,249.50","4,249.60","4,249.5-4,249.6","134,245",0.001420536,190.6998687,4673.428435,1.3217371
"4,249.60","4,249.70","4,249.6-4,249.7","135,745",0.001420536,192.8306729,4866.259108,1.4217371
"4,249.70","4,249.80","4,249.7-4,249.8","119,538",0.001420536,169.8080443,5036.067153,1.5217371
"4,249.80","4,249.90","4,249.8-4,249.9","103,387",0.001420536,146.8649658,5182.932118,1.6217371
"4,249.90","4,250","4,249.9-4,250","105,493",0.001420536,149.8566148,5332.788733,1.7217371
"4,250","4,250.10","4,250-4,250.1","91,085",0.001420536,129.3895307,5462.178264,1.8217371
"4,250.10","4,250.20","4,250.1-4,250.2","62,015",0.001420536,88.09454624,5550.27281,1.9217371
"4,250.20","4,250.30","4,250.2-4,250.3","43,867",0.001420536,62.3146571,5612.587467,2.0217371
"4,250.30","4,250.40","4,250.3-4,250.4","36,055",0.001420536,51.21742908,5663.804896,2.1217371
"4,250.40","4,250.50","4,250.4-4,250.5","22,538",0.001420536,32.01604262,5695.820939,2.2217371
"4,250.50","4,250.60","4,250.5-4,250.6","15,696",0.001420536,22.29673463,5718.117674,2.3217371
"4,250.60","4,250.70","4,250.6-4,250.7","11,097",0.001420536,15.7636891,5733.881363,2.4217371
"4,250.70","4,250.80","4,250.7-4,250.8","7,621",0.001420536,10.82590562,5744.707268,2.5217371
"4,250.80","4,250.90","4,250.8-4,250.9","6,542",0.001420536,9.293147166,5754.000415,2.6217371
"4,250.90","4,251","4,250.9-4,251","5,919",0.001420536,8.408153176,5762.408569,2.7217371
"4,251","4,251.10","4,251-4,251.1","5,761",0.001420536,8.183708472,5770.592277,2.8217371
"4,251.10","4,251.20","4,251.1-4,251.2","3,694",0.001420536,5.247460353,5775.839737,2.9217371
"4,251.20","4,251.30","4,251.2-4,251.3","3,205",0.001420536,4.5528182,5780.392556,3.0217371
"4,251.30","4,251.50","4,251.3-4,251.5","2,790",0.001420536,3.963295719,5784.355851,3.2217371
"4,251.50","4,251.60","4,251.5-4,251.6","3,105",0.001420536,4.41076459,5788.766616,3.3217371
"4,251.60","4,251.70","4,251.6-4,251.7","2,468",0.001420536,3.505883095,5792.272499,3.4217371
"4,251.70","4,251.80","4,251.7-4,251.8","2,424",0.001420536,3.443379506,5795.715879,3.5217371
"4,251.80","4,251.90","4,251.8-4,251.9","2,237",0.001420536,3.177739256,5798.893618,3.6217371
"4,251.90","4,252","4,251.9-4,252","2,057",0.001420536,2.922042758,5801.815661,3.7217371
"4,252","4,252.10","4,252-4,252.1","2,071",0.001420536,2.941930263,5804.757591,3.8217371
"4,252.10","4,252.20","4,252.1-4,252.2","2,228",0.001420536,3.164954431,5807.922545,3.9217371
"4,252.20","4,252.30","4,252.2-4,252.3","1,679",0.001420536,2.385080112,5810.307625,4.0217371
"4,252.30","4,252.40","4,252.3-4,252.4","1,401",0.001420536,1.990171076,5812.297797,4.1217371
"4,252.40","4,252.50","4,252.4-4,252.5","1,524",0.001420536,2.164897016,5814.462694,4.2217371
