Min of_Band_1,Max of_Band_1,Label,Count,Area_per_count,Total_Surface_aream2,WaterLevel_m
"4,141.98","4,142.07","4,141.98-4,142.07","39,538",0.001811354,71.61729864,0.00
"4,142.07","4,142.15","4,142.07-4,142.15","39,522",0.001811354,143.2056156,0.09
"4,142.15","4,142.24","4,142.15-4,142.24","30,969",0.001811354,199.3014253,0.17
"4,142.24","4,142.33","4,142.24-4,142.33","20,286",0.001811354,236.0465444,0.26
"4,142.33","4,142.42","4,142.33-4,142.42","8,255",0.001811354,250.9992683,0.35
"4,142.42","4,142.51","4,142.42-4,142.51","4,684",0.001811354,259.4836486,0.44
"4,142.51","4,142.59","4,142.51-4,142.59","3,986",0.001811354,266.7037041,0.53
"4,142.59","4,142.68","4,142.59-4,142.68","3,903",0.001811354,273.7734172,0.61
"4,142.68","4,142.77","4,142.68-4,142.77","5,298",0.001811354,283.3699685,0.70
"4,142.77","4,142.86","4,142.77-4,142.86","7,776",0.001811354,297.4550541,0.79
"4,142.86","4,142.94","4,142.86-4,142.94","10,619",0.001811354,316.689818,0.88
"4,142.94","4,143.03","4,142.94-4,143.03","11,432",0.001811354,337.3972124,0.96
"4,143.03","4,143.12","4,143.03-4,143.12","11,066",0.001811354,357.4416513,1.05
"4,143.12","4,143.21","4,143.12-4,143.21","11,840",0.001811354,378.8880779,1.14
"4,143.21","4,143.30","4,143.21-4,143.3","10,496",0.001811354,397.9000453,1.23
"4,143.30","4,143.38","4,143.3-4,143.38","9,590",0.001811354,415.2709263,1.32
"4,143.38","4,143.47","4,143.38-4,143.47","9,669",0.001811354,432.7849043,1.40
"4,143.47","4,143.56","4,143.47-4,143.56","10,556",0.001811354,451.9055529,1.49
"4,143.56","4,143.65","4,143.56-4,143.65","11,140",0.001811354,472.084032,1.58
"4,143.65","4,143.74","4,143.65-4,143.74","11,178",0.001811354,492.3313425,1.67
"4,143.74","4,143.82","4,143.74-4,143.82","8,920",0.001811354,508.4886166,1.76
"4,143.82","4,143.91","4,143.82-4,143.91","6,984",0.001811354,521.1391102,1.84
"4,143.91","4,144","4,143.91-4,144","6,360",0.001811354,532.6593191,1.93
"4,144","4,144.09","4,144-4,144.09","5,448",0.001811354,542.5275735,2.02
"4,144.09","4,144.18","4,144.09-4,144.18","5,473",0.001811354,552.4411117,2.11
"4,144.18","4,144.26","4,144.18-4,144.26","5,405",0.001811354,562.231478,2.20
"4,144.26","4,144.35","4,144.26-4,144.35","4,156",0.001811354,569.7594635,2.28
"4,144.35","4,144.44","4,144.35-4,144.44","3,313",0.001811354,575.760478,2.37
"4,144.44","4,144.53","4,144.44-4,144.53","3,004",0.001811354,581.2017842,2.46
"4,144.53","4,144.62","4,144.53-4,144.62","2,328",0.001811354,585.4186154,2.55
"4,144.62","4,144.70","4,144.62-4,144.7","1,661",0.001811354,588.4272737,2.64
"4,144.70","4,144.79","4,144.7-4,144.79","1,465",0.001811354,591.0809067,2.72
"4,144.79","4,144.88","4,144.79-4,144.88","1,140",0.001811354,593.1458498,2.81
"4,144.88","4,144.97","4,144.88-4,144.97","1,054",0.001811354,595.0550165,2.90
"4,144.97","4,145.06","4,144.97-4,145.06","1,798",0.001811354,598.3118303,2.99
"4,145.06","4,145.14","4,145.06-4,145.14","1,593",0.001811354,601.1973166,3.08
"4,145.14","4,145.23","4,145.14-4,145.23","1,434",0.001811354,603.7947977,3.16
"4,145.23","4,145.32","4,145.23-4,145.32",925,0.001811354,605.4702997,3.25
"4,145.32","4,145.41","4,145.32-4,145.41",698,0.001811354,606.7346246,3.34
"4,145.41","4,145.49","4,145.41-4,145.49",601,0.001811354,607.8232481,3.43
"4,145.49","4,145.58","4,145.49-4,145.58",729,0.001811354,609.1437248,3.51
"4,145.58","4,145.67","4,145.58-4,145.67",660,0.001811354,610.3392182,3.60
"4,145.67","4,145.76","4,145.67-4,145.76",311,0.001811354,610.9025492,3.69
"4,145.76","4,145.85","4,145.76-4,145.85",286,0.001811354,611.4205963,3.78
"4,145.85","4,145.93","4,145.85-4,145.93",227,0.001811354,611.8317736,3.87
"4,145.93","4,146.02","4,145.93-4,146.02",243,0.001811354,612.2719325,3.95
"4,146.02","4,146.11","4,146.02-4,146.11",149,0.001811354,612.5418242,4.04
"4,146.11","4,146.20","4,146.11-4,146.2",30,0.001811354,612.5961648,4.13
"4,146.20","4,146.29","4,146.2-4,146.29",48,0.001811354,612.6831098,4.22
"4,146.29","4,146.37","4,146.29-4,146.37",1,0.001811354,612.6849211,4.31
"4,146.37","4,146.46","4,146.37-4,146.46",0,0.001811354,612.6849211,4.39
"4,146.46","4,146.55","4,146.46-4,146.55",3,0.001811354,612.6903552,4.48
"4,146.55","4,146.64","4,146.55-4,146.64",4,0.001811354,612.6976006,4.57
"4,146.64","4,146.73","4,146.64-4,146.73",0,0.001811354,612.6976006,4.66
"4,146.73","4,146.81","4,146.73-4,146.81",2,0.001811354,612.7012233,4.75
