Min of_Band_1,Max of_Band_1,Label,Count,Area_per_count,area,Total_Surface_aream2,WaterLevel_m
"4,126.54","4,126.59","4,126.54-4,126.59",27,0.00157609,0.04255443,0.04255443,0
"4,126.59","4,126.64","4,126.59-4,126.64",13,0.00157609,0.02048917,0.0630436,0.05
"4,126.64","4,126.69","4,126.64-4,126.69",39,0.00157609,0.06146751,0.12451111,0.10
"4,126.69","4,126.74","4,126.69-4,126.74",2,0.00157609,0.00315218,0.12766329,0.15
"4,126.74","4,126.79","4,126.74-4,126.79",122,0.00157609,0.19228298,0.31994627,0.20
"4,126.79","4,126.84","4,126.79-4,126.84","1,237",0.00157609,1.94962333,2.2695696,0.25
"4,126.84","4,126.89","4,126.84-4,126.89","13,138",0.00157609,20.70667042,22.97624002,0.30
"4,126.89","4,126.93","4,126.89-4,126.93","52,451",0.00157609,82.66749659,105.6437366,0.35
"4,126.93","4,126.98","4,126.93-4,126.98","112,943",0.00157609,178.0083329,283.6520695,0.39
"4,126.98","4,127.03","4,126.98-4,127.03","62,012",0.00157609,97.73649308,381.3885626,0.44
"4,127.03","4,127.08","4,127.03-4,127.08","47,521",0.00157609,74.89737289,456.2859354,0.49
"4,127.08","4,127.13","4,127.08-4,127.13","25,310",0.00157609,39.8908379,496.1767733,0.54
"4,127.13","4,127.18","4,127.13-4,127.18","25,484",0.00157609,40.16507756,536.3418509,0.59
"4,127.18","4,127.23","4,127.18-4,127.23","33,673",0.00157609,53.07167857,589.4135295,0.64
"4,127.23","4,127.28","4,127.23-4,127.28","36,295",0.00157609,57.20418655,646.617716,0.69
"4,127.28","4,127.33","4,127.28-4,127.33","33,237",0.00157609,52.38450333,699.0022194,0.74
"4,127.33","4,127.38","4,127.33-4,127.38","29,400",0.00157609,46.337046,745.3392654,0.79
"4,127.38","4,127.43","4,127.38-4,127.43","24,261",0.00157609,38.23751949,783.5767848,0.84
"4,127.43","4,127.47","4,127.43-4,127.47","21,365",0.00157609,33.67316285,817.2499477,0.89
"4,127.47","4,127.52","4,127.47-4,127.52","19,908",0.00157609,31.37679972,848.6267474,0.93
"4,127.52","4,127.57","4,127.52-4,127.57","18,349",0.00157609,28.91967541,877.5464228,0.98
"4,127.57","4,127.62","4,127.57-4,127.62","17,496",0.00157609,27.57527064,905.1216935,1.03
"4,127.62","4,127.67","4,127.62-4,127.67","16,116",0.00157609,25.40026644,930.5219599,1.08
"4,127.67","4,127.72","4,127.67-4,127.72","16,577",0.00157609,26.12684393,956.6488038,1.13
"4,127.72","4,127.77","4,127.72-4,127.77","15,128",0.00157609,23.84308952,980.4918933,1.18
"4,127.77","4,127.82","4,127.77-4,127.82","15,214",0.00157609,23.97863326,1004.470527,1.23
"4,127.82","4,127.87","4,127.82-4,127.87","15,303",0.00157609,24.11890527,1028.589432,1.28
"4,127.87","4,127.92","4,127.87-4,127.92","15,363",0.00157609,24.21347067,1052.802903,1.33
"4,127.92","4,127.96","4,127.92-4,127.96","14,694",0.00157609,23.15906646,1075.961969,1.38
"4,127.96","4,128.01","4,127.96-4,128.01","13,885",0.00157609,21.88400965,1097.845979,1.42
"4,128.01","4,128.06","4,128.01-4,128.06","11,120",0.00157609,17.5261208,1115.372099,1.47
"4,128.06","4,128.11","4,128.06-4,128.11","10,629",0.00157609,16.75226061,1132.12436,1.52
"4,128.11","4,128.16","4,128.11-4,128.16","8,522",0.00157609,13.43143898,1145.555799,1.57
"4,128.16","4,128.21","4,128.16-4,128.21","7,372",0.00157609,11.61893548,1157.174735,1.62
"4,128.21","4,128.26","4,128.21-4,128.26","5,561",0.00157609,8.76463649,1165.939371,1.67
"4,128.26","4,128.31","4,128.26-4,128.31","5,901",0.00157609,9.30050709,1175.239878,1.72
"4,128.31","4,128.36","4,128.31-4,128.36","4,891",0.00157609,7.70865619,1182.948534,1.77
"4,128.36","4,128.41","4,128.36-4,128.41","4,593",0.00157609,7.23898137,1190.187516,1.82
"4,128.41","4,128.46","4,128.41-4,128.46","3,882",0.00157609,6.11838138,1196.305897,1.87
"4,128.46","4,128.50","4,128.46-4,128.5","2,830",0.00157609,4.4603347,1200.766232,1.92
"4,128.50","4,128.55","4,128.5-4,128.55","2,151",0.00157609,3.39016959,1204.156401,1.96
"4,128.55","4,128.60","4,128.55-4,128.6","1,422",0.00157609,2.24119998,1206.397601,2.01
"4,128.60","4,128.65","4,128.6-4,128.65","1,266",0.00157609,1.99532994,1208.392931,2.06
"4,128.65","4,128.70","4,128.65-4,128.7","1,454",0.00157609,2.29163486,1210.684566,2.11
"4,128.70","4,128.75","4,128.7-4,128.75","1,468",0.00157609,2.31370012,1212.998266,2.16
"4,128.75","4,128.80","4,128.75-4,128.8","1,114",0.00157609,1.75576426,1214.75403,2.21
"4,128.80","4,128.85","4,128.8-4,128.85","1,239",0.00157609,1.95277551,1216.706806,2.26
"4,128.85","4,128.90","4,128.85-4,128.9",672,0.00157609,1.05913248,1217.765938,2.31
"4,128.90","4,128.95","4,128.9-4,128.95",398,0.00157609,0.62728382,1218.393222,2.36
"4,128.95","4,128.99","4,128.95-4,128.99",219,0.00157609,0.34516371,1218.738386,2.41
"4,128.99","4,129.04","4,128.99-4,129.04",80,0.00157609,0.1260872,1218.864473,2.45
"4,129.04","4,129.09","4,129.04-4,129.09",109,0.00157609,0.17179381,1219.036267,2.50
"4,129.09","4,129.14","4,129.09-4,129.14",50,0.00157609,0.0788045,1219.115072,2.55
"4,129.14","4,129.19","4,129.14-4,129.19",28,0.00157609,0.04413052,1219.159202,2.60
"4,129.19","4,129.24","4,129.19-4,129.24",55,0.00157609,0.08668495,1219.245887,2.65
"4,129.24","4,129.29","4,129.24-4,129.29",8,0.00157609,0.01260872,1219.258496,2.70
"4,129.29","4,129.34","4,129.29-4,129.34",0,0.00157609,0,1219.258496,2.75
"4,129.34","4,129.39","4,129.34-4,129.39",2,0.00157609,0.00315218,1219.261648,2.80
"4,129.39","4,129.44","4,129.39-4,129.44",31,0.00157609,0.04885879,1219.310507,2.85
"4,129.44","4,129.49","4,129.44-4,129.49",15,0.00157609,0.02364135,1219.334148,2.90
"4,129.49","4,129.53","4,129.49-4,129.53",23,0.00157609,0.03625007,1219.370398,2.95
"4,129.53","4,129.58","4,129.53-4,129.58",18,0.00157609,0.02836962,1219.398768,2.99
"4,129.58","4,129.63","4,129.58-4,129.63",7,0.00157609,0.01103263,1219.4098,3.04
"4,129.63","4,129.68","4,129.63-4,129.68",15,0.00157609,0.02364135,1219.433442,3.09
