Min of_Band_1,Max of_Band_1,Label,Count,area_per_square,Area_m2,Total_Surface_aream2,Depth_m,WaterLevel_m
"3,998.28","3,998.33","3,998.28-3,998.33",17,0.010194941,0.173313995,0.173313995,0,0
"3,998.33","3,998.39","3,998.33-3,998.39",33,0.010194941,0.33643305,0.509747045,0.0500,0.0500
"3,998.39","3,998.45","3,998.39-3,998.45",556,0.010194941,5.66838714,6.178134185,0.1100,0.1100
"3,998.45","3,998.50","3,998.45-3,998.5","7,141",0.010194941,72.80207297,78.98020715,0.1700,0.1700
"3,998.50","3,998.56","3,998.5-3,998.56","8,527",0.010194941,86.93226105,165.9124682,0.2200,0.2200
"3,998.56","3,998.62","3,998.56-3,998.62","3,531",0.010194941,35.99833632,201.9108045,0.2800,0.2800
"3,998.62","3,998.67","3,998.62-3,998.67","3,756",0.010194941,38.29219802,240.2030025,0.3400,0.3400
"3,998.67","3,998.73","3,998.67-3,998.73","6,033",0.010194941,61.50607845,301.709081,0.3900,0.3900
"3,998.73","3,998.79","3,998.73-3,998.79","6,217",0.010194941,63.38194758,365.0910286,0.4500,0.4500
"3,998.79","3,998.84","3,998.79-3,998.84","6,080",0.010194941,61.98524067,427.0762692,0.5100,0.5100
"3,998.84","3,998.90","3,998.84-3,998.9","5,693",0.010194941,58.03979854,485.1160678,0.5600,0.5600
"3,998.90","3,998.96","3,998.9-3,998.96","6,284",0.010194941,64.06500862,549.1810764,0.6200,0.6200
"3,998.96","3,999.01","3,998.96-3,999.01","5,654",0.010194941,57.64219585,606.8232723,0.6800,0.6800
"3,999.01","3,999.07","3,999.01-3,999.07","5,605",0.010194941,57.14264374,663.965916,0.7300,0.7300
"3,999.07","3,999.12","3,999.07-3,999.12","5,242",0.010194941,53.4418802,717.4077962,0.7900,0.7900
"3,999.12","3,999.18","3,999.12-3,999.18","5,393",0.010194941,54.98131627,772.3891125,0.8400,0.8400
"3,999.18","3,999.24","3,999.18-3,999.24","4,837",0.010194941,49.31292913,821.7020416,0.9000,0.9000
"3,999.24","3,999.29","3,999.24-3,999.29","4,336",0.010194941,44.20526374,865.9073053,0.9600,0.9600
"3,999.29","3,999.35","3,999.29-3,999.35","3,425",0.010194941,34.91767258,900.8249779,1.0100,1.0100
"3,999.35","3,999.41","3,999.35-3,999.41","2,639",0.010194941,26.90444904,927.729427,1.0700,1.0700
"3,999.41","3,999.46","3,999.41-3,999.46","2,365",0.010194941,24.11103523,951.8404622,1.1300,1.1300
"3,999.46","3,999.52","3,999.46-3,999.52","1,922",0.010194941,19.59467641,971.4351386,1.1800,1.1800
"3,999.52","3,999.58","3,999.52-3,999.58","1,543",0.010194941,15.73079381,987.1659324,1.2400,1.2400
"3,999.58","3,999.63","3,999.58-3,999.63","1,217",0.010194941,12.40724308,999.5731755,1.3000,1.3000
"3,999.63","3,999.69","3,999.63-3,999.69",758,0.010194941,7.727765202,1007.300941,1.3500,1.3500
"3,999.69","3,999.75","3,999.69-3,999.75",564,0.010194941,5.749946668,1013.050887,1.4100,1.4100
"3,999.75","3,999.80","3,999.75-3,999.8",687,0.010194941,7.003924398,1020.054812,1.4700,1.4700
"3,999.80","3,999.86","3,999.8-3,999.86",486,0.010194941,4.954741277,1025.009553,1.5200,1.5200
"3,999.86","3,999.92","3,999.86-3,999.92",354,0.010194941,3.609009079,1028.618562,1.5800,1.5800
"3,999.92","3,999.97","3,999.92-3,999.97",321,0.010194941,3.272576029,1031.891138,1.6400,1.6400
"3,999.97","4,000.03","3,999.97-4,000.03",300,0.010194941,3.05848227,1034.94962,1.6900,1.6900
"4,000.03","4,000.09","4,000.03-4,000.09",190,0.010194941,1.937038771,1036.886659,1.7500,1.7500
"4,000.09","4,000.14","4,000.09-4,000.14",175,0.010194941,1.784114658,1038.670774,1.8100,1.8100
"4,000.14","4,000.20","4,000.14-4,000.2",223,0.010194941,2.273471821,1040.944246,1.8600,1.8600
"4,000.20","4,000.25","4,000.2-4,000.25",99,0.010194941,1.009299149,1041.953545,1.9200,1.9200
"4,000.25","4,000.31","4,000.25-4,000.31",90,0.010194941,0.917544681,1042.871089,1.9700,1.9700
"4,000.31","4,000.37","4,000.31-4,000.37",70,0.010194941,0.713645863,1043.584735,2.0300,2.0300
"4,000.37","4,000.42","4,000.37-4,000.42",33,0.010194941,0.33643305,1043.921168,2.0900,2.0900
"4,000.42","4,000.48","4,000.42-4,000.48",42,0.010194941,0.428187518,1044.349356,2.1400,2.1400
"4,000.48","4,000.54","4,000.48-4,000.54",5,0.010194941,0.050974705,1044.400331,2.2000,2.2000
"4,000.54","4,000.59","4,000.54-4,000.59",30,0.010194941,0.305848227,1044.706179,2.2600,2.2600
"4,000.59","4,000.65","4,000.59-4,000.65",63,0.010194941,0.642281277,1045.34846,2.3100,2.3100
"4,000.65","4,000.71","4,000.65-4,000.71",29,0.010194941,0.295653286,1045.644113,2.3700,2.3700
"4,000.71","4,000.76","4,000.71-4,000.76",37,0.010194941,0.377212813,1046.021326,2.4300,2.4300
"4,000.76","4,000.82","4,000.76-4,000.82",73,0.010194941,0.744230686,1046.765557,2.4800,2.4800
"4,000.82","4,000.88","4,000.82-4,000.88",12,0.010194941,0.122339291,1046.887896,2.5400,2.5400
"4,000.88","4,000.93","4,000.88-4,000.93",39,0.010194941,0.397602695,1047.285499,2.6000,2.6000
"4,000.93","4,000.99","4,000.93-4,000.99",22,0.010194941,0.2242887,1047.509788,2.6500,2.6500
"4,000.99","4,001.05","4,000.99-4,001.05",38,0.010194941,0.387407754,1047.897195,2.7100,2.7100
"4,001.05","4,001.10","4,001.05-4,001.1",8,0.010194941,0.081559527,1047.978755,2.7700,2.7700
"4,001.10","4,001.16","4,001.1-4,001.16",33,0.010194941,0.33643305,1048.315188,2.8200,2.8200
