"Plot Title: EC1"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,08/14/19 12:30:00 PM,0.5,0.2,45.48,Logged,
2,08/14/19 12:45:00 PM,6.8,7.0,36.91,,
3,08/14/19 01:00:00 PM,6.8,7.0,36.91,,
4,08/14/19 01:15:00 PM,6.7,7.8,36.99,,
5,08/14/19 01:30:00 PM,6.6,7.4,37.04,,
6,08/14/19 01:45:00 PM,6.7,7.0,37.13,,
7,08/14/19 02:00:00 PM,6.7,7.8,37.33,,
8,08/14/19 02:15:00 PM,6.8,7.8,37.36,,
9,08/14/19 02:30:00 PM,6.8,7.8,37.62,,
10,08/14/19 02:45:00 PM,6.7,7.8,37.62,,
11,08/14/19 03:00:00 PM,6.6,7.4,37.49,,
12,08/14/19 03:15:00 PM,6.6,7.4,37.40,,
13,08/14/19 03:30:00 PM,6.6,7.4,37.35,,
14,08/14/19 03:45:00 PM,6.6,7.4,37.26,,
15,08/14/19 04:00:00 PM,6.6,7.4,37.27,,
16,08/14/19 04:15:00 PM,6.6,7.4,37.44,,
17,08/14/19 04:30:00 PM,6.6,7.4,37.58,,
18,08/14/19 04:45:00 PM,6.6,7.8,37.54,,
19,08/14/19 05:00:00 PM,6.5,7.4,37.40,,
20,08/14/19 05:15:00 PM,6.5,7.4,37.26,,
21,08/14/19 05:30:00 PM,6.5,7.4,37.11,,
22,08/14/19 05:45:00 PM,6.5,7.4,37.04,,
23,08/14/19 06:00:00 PM,6.5,7.4,36.84,,
24,08/14/19 06:15:00 PM,6.5,7.4,36.73,,
25,08/14/19 06:30:00 PM,6.5,7.4,36.68,,
26,08/14/19 06:45:00 PM,6.5,7.4,36.61,,
27,08/14/19 07:00:00 PM,6.5,7.4,36.46,,
28,08/14/19 07:15:00 PM,6.5,7.8,36.36,,
29,08/14/19 07:30:00 PM,6.5,7.4,36.18,,
30,08/14/19 07:45:00 PM,6.4,7.4,36.07,,
31,08/14/19 08:00:00 PM,6.5,7.8,35.94,,
32,08/14/19 08:15:00 PM,6.5,7.8,35.74,,
33,08/14/19 08:30:00 PM,6.5,7.4,35.58,,
34,08/14/19 08:45:00 PM,6.4,7.4,35.40,,
35,08/14/19 09:00:00 PM,6.4,7.4,35.33,,
36,08/14/19 09:15:00 PM,6.4,7.4,35.28,,
