"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126)","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
1,01/21/20 12:00:00 PM,17.7,15.7,11.17,Logged,
2,01/21/20 12:15:00 PM,17.4,14.9,11.25,,
3,01/21/20 12:30:00 PM,17.0,14.5,11.31,,
4,01/21/20 12:45:00 PM,16.7,14.2,11.37,,
5,01/21/20 01:00:00 PM,16.5,13.8,11.39,,
6,01/21/20 01:15:00 PM,16.5,14.2,11.37,,
7,01/21/20 01:30:00 PM,16.6,14.5,11.34,,
8,01/21/20 01:45:00 PM,16.7,14.5,11.31,,
9,01/21/20 02:00:00 PM,17.0,14.6,11.26,,
10,01/21/20 02:15:00 PM,17.0,14.6,11.19,,
11,01/21/20 02:30:00 PM,17.2,14.6,11.15,,
12,01/21/20 02:45:00 PM,17.3,14.9,11.13,,
13,01/21/20 03:00:00 PM,17.3,14.9,11.13,,
14,01/21/20 03:15:00 PM,17.1,14.6,11.18,,
15,01/21/20 03:30:00 PM,17.0,14.6,11.23,,
16,01/21/20 03:45:00 PM,17.0,14.6,11.26,,
17,01/21/20 04:00:00 PM,17.0,14.5,11.31,,
18,01/21/20 04:15:00 PM,17.2,14.5,11.38,,
19,01/21/20 04:30:00 PM,17.3,14.9,11.38,,
20,01/21/20 04:45:00 PM,17.4,14.9,11.30,,
21,01/21/20 05:00:00 PM,17.6,15.7,11.19,,
22,01/21/20 05:15:00 PM,17.8,15.7,11.17,,
23,01/21/20 05:30:00 PM,18.1,15.3,11.14,,
24,01/21/20 05:45:00 PM,18.0,15.3,11.09,,
25,01/21/20 06:00:00 PM,18.3,16.1,10.98,,
26,01/21/20 06:15:00 PM,18.7,16.1,10.90,,
27,01/21/20 06:30:00 PM,19.0,16.4,10.79,,
28,01/21/20 06:45:00 PM,19.0,16.8,10.71,,
29,01/21/20 07:00:00 PM,19.4,16.8,10.65,,
30,01/21/20 07:15:00 PM,20.0,17.6,10.60,,
31,01/21/20 07:30:00 PM,20.7,18.3,10.53,,
32,01/21/20 07:45:00 PM,20.6,18.3,10.50,,
33,01/21/20 08:00:00 PM,17.5,15.3,10.46,,
34,01/21/20 08:15:00 PM,16.3,13.8,10.37,,
35,01/21/20 08:30:00 PM,15.8,13.8,10.28,,
36,01/21/20 08:45:00 PM,16.0,13.8,10.18,,
37,01/21/20 09:00:00 PM,16.1,13.8,10.12,,
38,01/21/20 09:15:00 PM,16.8,14.6,10.04,,
39,01/21/20 09:30:00 PM,17.3,14.6,9.94,,
40,01/21/20 09:45:00 PM,16.6,14.2,9.84,,
41,01/21/20 10:00:00 PM,16.5,14.6,9.74,,
42,01/21/20 10:15:00 PM,15.3,13.1,9.68,,
43,01/21/20 10:30:00 PM,14.6,12.7,9.64,,
44,01/21/20 10:45:00 PM,16.3,13.8,9.62,,
45,01/21/20 11:00:00 PM,17.8,15.7,9.62,,
46,01/21/20 11:15:00 PM,16.6,14.6,9.57,,
47,01/21/20 11:30:00 PM,15.1,13.1,9.56,,
48,01/21/20 11:45:00 PM,15.0,12.7,9.52,,
49,01/22/20 12:00:00 AM,14.7,12.7,9.46,,
50,01/22/20 12:15:00 AM,14.6,12.3,9.41,,
51,01/22/20 12:30:00 AM,14.4,12.3,9.39,,
52,01/22/20 12:45:00 AM,14.4,12.7,9.36,,
