"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,01/21/20 11:00:00 AM,16.5,13.7,11.84,Logged,
2,01/21/20 11:15:00 AM,16.7,14.1,12.42,,
3,01/21/20 11:30:00 AM,16.9,14.4,13.25,,
4,01/21/20 11:45:00 AM,17.1,14.8,13.93,,
5,01/21/20 12:00:00 PM,16.6,14.4,13.71,,
6,01/21/20 12:15:00 PM,16.9,14.4,13.47,,
7,01/21/20 12:30:00 PM,16.8,14.1,13.15,,
8,01/21/20 12:45:00 PM,16.7,14.1,12.83,,
9,01/21/20 01:00:00 PM,16.1,13.7,12.62,,
10,01/21/20 01:15:00 PM,15.6,13.3,12.37,,
11,01/21/20 01:30:00 PM,15.5,13.3,12.26,,
12,01/21/20 01:45:00 PM,15.8,13.7,12.26,,
13,01/21/20 02:00:00 PM,15.3,12.6,12.34,,
14,01/21/20 02:15:00 PM,15.6,13.3,12.33,,
15,01/21/20 02:30:00 PM,15.9,13.7,12.24,,
16,01/21/20 02:45:00 PM,16.0,13.3,12.13,,
17,01/21/20 03:00:00 PM,16.0,13.7,12.09,,
18,01/21/20 03:15:00 PM,15.6,13.3,12.32,,
19,01/21/20 03:30:00 PM,16.2,13.7,12.93,,
20,01/21/20 03:45:00 PM,16.5,14.1,13.05,,
21,01/21/20 04:00:00 PM,16.0,13.7,12.97,,
22,01/21/20 04:15:00 PM,15.3,12.6,12.45,,
23,01/21/20 04:30:00 PM,14.5,12.2,12.16,,
24,01/21/20 04:45:00 PM,13.4,11.5,12.05,,
25,01/21/20 05:00:00 PM,13.0,10.7,12.00,,
26,01/21/20 05:15:00 PM,12.8,10.7,11.92,,
27,01/21/20 05:30:00 PM,12.9,10.7,11.82,,
28,01/21/20 05:45:00 PM,12.8,10.7,11.71,,
29,01/21/20 06:00:00 PM,12.9,10.7,11.61,,
30,01/21/20 06:15:00 PM,12.7,11.1,11.53,,
31,01/21/20 06:30:00 PM,12.4,10.7,11.43,,
32,01/21/20 06:45:00 PM,12.2,10.0,11.37,,
33,01/21/20 07:00:00 PM,12.0,10.0,11.26,,
34,01/21/20 07:15:00 PM,11.9,10.0,11.17,,
35,01/21/20 07:30:00 PM,12.0,10.0,11.08,,
36,01/21/20 07:45:00 PM,12.1,10.0,10.95,,
37,01/21/20 08:00:00 PM,12.1,10.0,10.82,,
38,01/21/20 08:15:00 PM,12.0,10.0,10.76,,
39,01/21/20 08:30:00 PM,11.8,10.0,10.68,,
40,01/21/20 08:45:00 PM,12.5,10.7,10.50,,
41,01/21/20 09:00:00 PM,12.8,10.7,10.40,,
42,01/21/20 09:15:00 PM,12.8,10.7,10.32,,
43,01/21/20 09:30:00 PM,12.7,10.7,10.22,,
44,01/21/20 09:45:00 PM,12.4,10.4,10.04,,
45,01/21/20 10:00:00 PM,12.5,10.4,9.91,,
46,01/21/20 10:15:00 PM,12.3,10.4,9.90,,
47,01/21/20 10:30:00 PM,12.1,10.4,9.86,,
48,01/21/20 10:45:00 PM,14.4,12.3,9.82,,
49,01/21/20 11:00:00 PM,14.5,12.3,9.75,,
50,01/21/20 11:15:00 PM,13.6,11.5,9.70,,
51,01/21/20 11:30:00 PM,13.1,11.1,9.63,,
52,01/21/20 11:45:00 PM,12.6,10.8,9.58,,
53,01/22/20 12:00:00 AM,12.1,10.4,9.55,,
54,01/22/20 12:15:00 AM,11.8,10.0,9.53,,
55,01/22/20 12:30:00 AM,11.9,10.0,9.47,,
56,01/22/20 12:45:00 AM,11.9,10.0,9.45,,
57,01/22/20 01:00:00 AM,11.8,10.0,9.41,,
58,01/22/20 01:15:00 AM,11.7,10.0,9.38,,
59,01/22/20 01:30:00 AM,11.9,10.0,9.36,,
60,01/22/20 01:45:00 AM,12.5,10.8,9.30,,
61,01/22/20 02:00:00 AM,12.3,10.0,9.26,,
62,01/22/20 02:15:00 AM,12.4,10.8,9.22,,
63,01/22/20 02:30:00 AM,12.4,10.4,9.20,,
64,01/22/20 02:45:00 AM,12.2,10.0,9.16,,
65,01/22/20 03:00:00 AM,12.3,10.0,9.12,,
66,01/22/20 03:15:00 AM,12.3,10.4,9.09,,
67,01/22/20 03:30:00 AM,12.5,10.8,9.07,,
68,01/22/20 03:45:00 AM,12.9,10.8,9.04,,
