"Plot Title: EC1"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,01/21/20 11:00:00 AM,19.8,17.7,12.26,Logged,
2,01/21/20 11:15:00 AM,20.1,18.1,12.81,,
3,01/21/20 11:30:00 AM,20.5,18.5,13.87,,
4,01/21/20 11:45:00 AM,20.5,18.5,13.93,,
5,01/21/20 12:00:00 PM,20.3,18.1,13.50,,
6,01/21/20 12:15:00 PM,20.2,18.1,13.34,,
7,01/21/20 12:30:00 PM,20.0,17.7,12.93,,
8,01/21/20 12:45:00 PM,19.7,17.7,12.81,,
9,01/21/20 01:00:00 PM,19.4,17.4,12.56,,
10,01/21/20 01:15:00 PM,19.7,17.4,12.34,,
11,01/21/20 01:30:00 PM,19.6,17.4,12.40,,
12,01/21/20 01:45:00 PM,19.2,17.0,12.53,,
13,01/21/20 02:00:00 PM,19.5,17.4,12.57,,
14,01/21/20 02:15:00 PM,19.7,17.4,12.42,,
15,01/21/20 02:30:00 PM,19.7,17.4,12.32,,
16,01/21/20 02:45:00 PM,19.7,17.4,12.23,,
17,01/21/20 03:00:00 PM,19.8,17.4,12.35,,
18,01/21/20 03:15:00 PM,20.0,18.1,13.12,,
19,01/21/20 03:30:00 PM,20.0,18.1,13.29,,
20,01/21/20 03:45:00 PM,19.9,17.7,13.18,,
21,01/21/20 04:00:00 PM,19.9,17.7,12.91,,
22,01/21/20 04:15:00 PM,17.8,15.5,11.93,,
23,01/21/20 04:30:00 PM,17.7,15.9,12.30,,
24,01/21/20 04:45:00 PM,17.6,15.5,12.31,,
25,01/21/20 05:00:00 PM,17.2,15.1,12.22,,
26,01/21/20 05:15:00 PM,17.2,15.5,12.04,,
27,01/21/20 05:30:00 PM,16.5,14.4,11.89,,
28,01/21/20 05:45:00 PM,16.5,14.4,11.74,,
29,01/21/20 06:00:00 PM,16.7,14.4,11.67,,
30,01/21/20 06:15:00 PM,17.0,14.8,11.58,,
31,01/21/20 06:30:00 PM,16.4,14.4,11.48,,
32,01/21/20 06:45:00 PM,15.8,13.7,11.34,,
33,01/21/20 07:00:00 PM,15.6,13.7,11.24,,
34,01/21/20 07:15:00 PM,15.8,13.7,11.14,,
35,01/21/20 07:30:00 PM,15.8,13.7,11.01,,
36,01/21/20 07:45:00 PM,15.9,14.0,10.85,,
37,01/21/20 08:00:00 PM,15.4,13.7,10.75,,
38,01/21/20 08:15:00 PM,15.5,13.7,10.61,,
39,01/21/20 08:30:00 PM,15.7,14.0,10.49,,
40,01/21/20 08:45:00 PM,15.9,14.0,10.39,,
41,01/21/20 09:00:00 PM,15.9,14.1,10.26,,
42,01/21/20 09:15:00 PM,15.8,14.1,10.11,,
43,01/21/20 09:30:00 PM,16.0,14.4,9.97,,
44,01/21/20 09:45:00 PM,15.8,14.1,9.86,,
45,01/21/20 10:00:00 PM,15.7,14.1,9.81,,
46,01/21/20 10:15:00 PM,15.7,13.7,9.74,,
47,01/21/20 10:30:00 PM,15.6,14.1,9.73,,
48,01/21/20 10:45:00 PM,15.3,13.7,9.71,,
49,01/21/20 11:00:00 PM,15.3,13.7,9.69,,
50,01/21/20 11:15:00 PM,15.3,13.7,9.65,,
51,01/21/20 11:30:00 PM,15.2,13.3,9.62,,
52,01/21/20 11:45:00 PM,15.5,14.1,9.54,,
53,01/22/20 12:00:00 AM,15.3,13.3,9.51,,
54,01/22/20 12:15:00 AM,15.3,13.3,9.49,,
55,01/22/20 12:30:00 AM,15.2,13.3,9.45,,
56,01/22/20 12:45:00 AM,15.3,13.3,9.40,,
57,01/22/20 01:00:00 AM,15.3,13.3,9.36,,
58,01/22/20 01:15:00 AM,15.2,13.3,9.30,,
59,01/22/20 01:30:00 AM,15.2,13.3,9.29,,
60,01/22/20 01:45:00 AM,15.2,13.3,9.25,,
61,01/22/20 02:00:00 AM,15.2,13.3,9.22,,
62,01/22/20 02:15:00 AM,15.2,13.3,9.18,,
63,01/22/20 02:30:00 AM,15.3,13.7,9.14,,
64,01/22/20 02:45:00 AM,15.3,13.7,9.10,,
65,01/22/20 03:00:00 AM,15.4,13.3,9.09,,
