"Plot Title: EC Logger 2"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °F (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
1,08/14/19 01:15:00 PM,2.6,0.3,34.39,Logged,
2,08/14/19 01:30:00 PM,8.4,8.6,36.39,,
3,08/14/19 01:45:00 PM,8.2,8.6,36.86,,
4,08/14/19 02:00:00 PM,8.2,8.6,37.11,,
5,08/14/19 02:15:00 PM,8.2,8.6,37.17,,
6,08/14/19 02:30:00 PM,8.2,8.6,37.36,,
7,08/14/19 02:45:00 PM,8.2,8.6,37.42,,
8,08/14/19 03:00:00 PM,8.2,8.2,37.31,,
9,08/14/19 03:15:00 PM,8.1,8.6,37.24,,
10,08/14/19 03:30:00 PM,8.1,8.6,37.15,,
11,08/14/19 03:45:00 PM,8.1,8.6,37.08,,
12,08/14/19 04:00:00 PM,8.1,8.2,37.04,,
13,08/14/19 04:15:00 PM,8.0,8.2,37.22,,
14,08/14/19 04:30:00 PM,8.0,8.6,37.38,,
15,08/14/19 04:45:00 PM,8.0,8.2,37.38,,
16,08/14/19 05:00:00 PM,8.0,8.2,37.26,,
17,08/14/19 05:15:00 PM,8.0,8.2,37.08,,
18,08/14/19 05:30:00 PM,8.0,8.2,36.93,,
19,08/14/19 05:45:00 PM,8.0,8.6,36.84,,
20,08/14/19 06:00:00 PM,8.0,8.2,36.70,,
21,08/14/19 06:15:00 PM,8.0,9.0,36.55,,
22,08/14/19 06:30:00 PM,8.0,8.2,36.48,,
23,08/14/19 06:45:00 PM,8.0,8.2,36.41,,
24,08/14/19 07:00:00 PM,8.0,8.6,36.28,,
25,08/14/19 07:15:00 PM,7.9,8.2,36.12,,
26,08/14/19 07:30:00 PM,8.0,8.2,35.98,,
27,08/14/19 07:45:00 PM,7.9,8.2,35.91,,
28,08/14/19 08:00:00 PM,7.9,8.2,35.76,,
29,08/14/19 08:15:00 PM,7.9,9.0,35.62,,
30,08/14/19 08:30:00 PM,7.9,8.2,35.44,,
31,08/14/19 08:45:00 PM,7.9,8.2,35.24,,
32,08/14/19 09:00:00 PM,7.8,9.0,35.11,,
33,08/14/19 09:15:00 PM,7.8,9.0,35.06,,
34,08/14/19 09:30:00 PM,7.9,8.2,35.06,,
35,08/14/19 09:45:00 PM,7.9,8.2,35.08,,
36,08/14/19 10:00:00 PM,7.9,8.2,35.08,,
37,08/14/19 10:15:00 PM,7.9,8.2,35.11,,
38,08/14/19 10:30:00 PM,7.9,9.0,35.06,,
39,08/14/19 10:45:00 PM,7.9,9.0,34.83,,
40,08/14/19 11:00:00 PM,7.9,8.2,34.56,,
41,08/14/19 11:15:00 PM,7.9,8.2,34.32,,
42,08/14/19 11:30:00 PM,7.8,8.2,33.94,,
43,08/14/19 11:45:00 PM,7.8,8.2,33.96,,
44,08/15/19 12:00:00 AM,7.8,9.0,33.96,,
45,08/15/19 12:15:00 AM,7.8,9.0,34.14,,
46,08/15/19 12:30:00 AM,7.8,8.2,34.23,,
47,08/15/19 12:45:00 AM,7.9,8.2,34.30,,
48,08/15/19 01:00:00 AM,7.9,8.2,34.39,,
49,08/15/19 01:15:00 AM,7.9,8.2,34.47,,
50,08/15/19 01:30:00 AM,7.9,8.6,34.48,,
51,08/15/19 01:45:00 AM,7.9,8.2,34.52,,
52,08/15/19 02:00:00 AM,8.0,8.2,34.52,,
53,08/15/19 02:15:00 AM,8.0,8.2,34.54,,
54,08/15/19 02:30:00 AM,8.0,8.2,34.56,,
55,08/15/19 02:45:00 AM,8.0,9.0,34.54,,
56,08/15/19 03:00:00 AM,8.0,9.0,34.48,,
57,08/15/19 03:15:00 AM,8.0,8.2,34.16,,
58,08/15/19 03:30:00 AM,7.9,8.2,33.80,,
59,08/15/19 03:45:00 AM,7.8,8.2,33.49,,
60,08/15/19 04:00:00 AM,7.8,8.2,33.13,,
61,08/15/19 04:15:00 AM,7.7,8.2,32.95,,
62,08/15/19 04:30:00 AM,7.7,8.2,32.90,,
63,08/15/19 04:45:00 AM,7.6,8.2,32.81,,
64,08/15/19 05:00:00 AM,7.6,8.2,32.74,,
65,08/15/19 05:15:00 AM,7.6,8.2,32.54,,
66,08/15/19 05:30:00 AM,7.6,9.0,32.50,,
67,08/15/19 05:45:00 AM,7.6,8.2,32.50,,
68,08/15/19 06:00:00 AM,7.6,8.2,32.34,,
69,08/15/19 06:15:00 AM,7.6,8.2,32.36,,
70,08/15/19 06:30:00 AM,7.6,9.0,32.54,,
71,08/15/19 06:45:00 AM,7.7,8.2,32.61,,
72,08/15/19 07:00:00 AM,7.7,9.0,32.68,,
73,08/15/19 07:15:00 AM,7.7,8.2,32.72,,
74,08/15/19 07:30:00 AM,7.7,8.2,32.74,,
75,08/15/19 07:45:00 AM,7.8,8.2,32.76,,
76,08/15/19 08:00:00 AM,7.8,8.2,32.81,,
77,08/15/19 08:15:00 AM,7.8,8.2,32.83,,
78,08/15/19 08:30:00 AM,7.7,8.2,32.88,,
79,08/15/19 08:45:00 AM,7.8,8.2,32.94,,
80,08/15/19 09:00:00 AM,7.7,8.2,32.99,,
81,08/15/19 09:15:00 AM,7.7,8.2,33.10,,
82,08/15/19 09:30:00 AM,7.7,8.2,33.21,,
83,08/15/19 09:45:00 AM,7.7,8.2,33.40,,
84,08/15/19 10:00:00 AM,7.8,8.2,33.51,,
85,08/15/19 10:15:00 AM,7.7,8.2,33.69,,
86,08/15/19 10:30:00 AM,7.7,8.2,33.89,,
87,08/15/19 10:45:00 AM,7.7,8.2,34.18,,
88,08/15/19 11:00:00 AM,7.7,8.2,34.38,,
89,08/15/19 11:15:00 AM,7.6,8.2,34.52,,
90,08/15/19 11:30:00 AM,7.6,8.2,34.66,,
91,08/15/19 11:45:00 AM,7.7,8.2,34.83,,
92,08/15/19 12:00:00 PM,7.7,8.2,35.13,,
93,08/15/19 12:15:00 PM,7.7,8.2,35.37,,
94,08/15/19 12:30:00 PM,7.7,9.0,35.46,,
95,08/15/19 12:45:00 PM,7.7,8.2,35.80,,
96,08/15/19 01:00:00 PM,7.8,8.2,36.41,,
97,08/15/19 01:15:00 PM,7.8,9.0,36.88,,
98,08/15/19 01:30:00 PM,7.8,8.2,36.72,,
99,08/15/19 01:45:00 PM,7.7,8.2,36.77,,
100,08/15/19 02:00:00 PM,7.7,8.2,37.02,,
101,08/15/19 02:15:00 PM,7.8,8.2,38.05,,
102,08/15/19 02:30:00 PM,8.0,8.2,39.49,,
103,08/15/19 02:45:00 PM,7.9,8.6,39.40,,
104,08/15/19 03:00:00 PM,8.0,8.2,39.11,,
105,08/15/19 03:15:00 PM,7.9,9.0,38.64,,
106,08/15/19 03:30:00 PM,7.9,9.0,38.39,,
107,08/15/19 03:45:00 PM,7.8,8.2,38.07,,
108,08/15/19 04:00:00 PM,7.7,8.2,37.22,,
109,08/15/19 04:15:00 PM,7.6,8.2,36.64,,
110,08/15/19 04:30:00 PM,7.4,8.2,36.10,,
111,08/15/19 04:45:00 PM,7.4,8.2,35.80,,
112,08/15/19 05:00:00 PM,7.3,8.2,35.73,,
113,08/15/19 05:15:00 PM,7.3,8.2,35.67,,
114,08/15/19 05:30:00 PM,7.3,8.2,35.73,,
115,08/15/19 05:45:00 PM,7.3,8.2,35.83,,
116,08/15/19 06:00:00 PM,7.3,8.2,35.82,,
117,08/15/19 06:15:00 PM,7.3,8.6,35.58,,
118,08/15/19 06:30:00 PM,7.2,8.6,35.29,,
119,08/15/19 06:45:00 PM,7.1,8.6,34.90,,
120,08/15/19 07:00:00 PM,7.1,8.6,34.52,,
121,08/15/19 07:15:00 PM,7.1,8.6,34.18,,
122,08/15/19 07:30:00 PM,7.0,8.6,33.89,,
123,08/15/19 07:45:00 PM,7.0,8.6,33.51,,
124,08/15/19 08:00:00 PM,6.9,7.9,33.26,,
125,08/15/19 08:15:00 PM,6.9,8.6,33.13,,
126,08/15/19 08:30:00 PM,7.0,8.6,33.19,,
127,08/15/19 08:45:00 PM,7.0,8.6,33.17,,
128,08/15/19 09:00:00 PM,7.0,8.6,33.06,,
129,08/15/19 09:15:00 PM,7.0,7.9,33.03,,
130,08/15/19 09:30:00 PM,7.0,8.6,33.17,,
131,08/15/19 09:45:00 PM,7.1,8.6,33.33,,
132,08/15/19 10:00:00 PM,7.1,8.6,33.40,,
133,08/15/19 10:15:00 PM,7.1,8.6,33.48,,
134,08/15/19 10:30:00 PM,7.1,8.6,33.39,,
135,08/15/19 10:45:00 PM,7.1,8.6,33.39,,
136,08/15/19 11:00:00 PM,7.1,7.9,33.39,,
137,08/15/19 11:15:00 PM,7.1,8.6,33.40,,
138,08/15/19 11:30:00 PM,7.1,8.6,33.40,,
139,08/15/19 11:45:00 PM,7.1,8.6,33.40,,
140,08/16/19 12:00:00 AM,7.2,8.6,33.39,,
141,08/16/19 12:15:00 AM,7.2,8.2,33.35,,
142,08/16/19 12:30:00 AM,7.1,8.6,33.35,,
143,08/16/19 12:45:00 AM,7.1,7.9,33.28,,
144,08/16/19 01:00:00 AM,7.2,8.6,33.26,,
145,08/16/19 01:15:00 AM,7.2,8.6,33.26,,
146,08/16/19 01:30:00 AM,7.2,8.6,33.21,,
147,08/16/19 01:45:00 AM,7.1,8.6,33.10,,
148,08/16/19 02:00:00 AM,7.1,8.6,33.10,,
149,08/16/19 02:15:00 AM,7.1,8.6,33.06,,
150,08/16/19 02:30:00 AM,7.2,8.6,33.10,,
151,08/16/19 02:45:00 AM,7.2,8.6,33.10,,
152,08/16/19 03:00:00 AM,7.2,8.6,33.10,,
153,08/16/19 03:15:00 AM,7.2,8.6,33.12,,
154,08/16/19 03:30:00 AM,7.3,8.6,33.06,,
155,08/16/19 03:45:00 AM,7.3,8.6,33.03,,
156,08/16/19 04:00:00 AM,7.2,7.9,32.97,,
157,08/16/19 04:15:00 AM,7.2,8.6,32.95,,
158,08/16/19 04:30:00 AM,7.3,8.6,32.90,,
159,08/16/19 04:45:00 AM,7.2,8.6,32.94,,
160,08/16/19 05:00:00 AM,7.3,8.6,32.90,,
161,08/16/19 05:15:00 AM,7.3,8.6,32.86,,
162,08/16/19 05:30:00 AM,7.3,7.9,32.83,,
163,08/16/19 05:45:00 AM,7.3,8.6,32.83,,
164,08/16/19 06:00:00 AM,7.2,8.2,32.81,,
165,08/16/19 06:15:00 AM,7.2,8.6,32.81,,
166,08/16/19 06:30:00 AM,7.3,8.2,32.79,,
167,08/16/19 06:45:00 AM,7.3,8.6,32.74,,
168,08/16/19 07:00:00 AM,7.3,8.2,32.72,,
169,08/16/19 07:15:00 AM,7.3,8.2,32.67,,
170,08/16/19 07:30:00 AM,7.3,8.6,32.61,,
171,08/16/19 07:45:00 AM,7.3,8.6,32.65,,
172,08/16/19 08:00:00 AM,7.3,8.6,32.68,,
173,08/16/19 08:15:00 AM,7.3,8.6,32.76,,
174,08/16/19 08:30:00 AM,7.3,8.2,32.86,,
175,08/16/19 08:45:00 AM,7.3,8.2,32.99,,
176,08/16/19 09:00:00 AM,7.3,8.2,33.26,,
177,08/16/19 09:15:00 AM,7.3,8.2,33.69,,
178,08/16/19 09:30:00 AM,7.3,8.2,34.02,,
179,08/16/19 09:45:00 AM,7.4,8.2,34.34,,
180,08/16/19 10:00:00 AM,7.5,8.2,34.70,,
181,08/16/19 10:15:00 AM,7.5,8.2,35.20,,
182,08/16/19 10:30:00 AM,7.5,8.2,35.74,,
183,08/16/19 10:45:00 AM,7.6,8.2,36.27,,
184,08/16/19 11:00:00 AM,7.6,8.2,36.91,,
185,08/16/19 11:15:00 AM,7.7,8.2,37.98,,
186,08/16/19 11:30:00 AM,7.9,8.2,39.36,,
187,08/16/19 11:45:00 AM,8.0,8.2,40.75,,
188,08/16/19 12:00:00 PM,8.2,8.6,41.68,,
189,08/16/19 12:15:00 PM,8.4,8.5,42.64,,
190,08/16/19 12:30:00 PM,8.6,8.5,44.06,,
191,08/16/19 12:45:00 PM,8.8,8.5,45.64,,
192,08/16/19 01:00:00 PM,9.1,8.5,47.44,,
193,08/16/19 01:15:00 PM,9.4,8.9,49.77,,
194,08/16/19 01:30:00 PM,9.6,8.9,51.55,,
195,08/16/19 01:45:00 PM,9.8,9.2,53.15,,
196,08/16/19 02:00:00 PM,9.8,9.2,53.92,,
197,08/16/19 02:15:00 PM,9.8,8.8,54.45,,
198,08/16/19 02:30:00 PM,9.8,8.8,54.59,,
199,08/16/19 02:45:00 PM,9.7,9.2,54.36,,
200,08/16/19 03:00:00 PM,9.6,8.8,54.25,,
201,08/16/19 03:15:00 PM,9.6,9.2,54.14,,
202,08/16/19 03:30:00 PM,9.6,9.2,53.67,,
203,08/16/19 03:45:00 PM,9.5,9.2,53.01,,
204,08/16/19 04:00:00 PM,9.4,8.9,52.63,,
205,08/16/19 04:15:00 PM,9.4,8.9,52.32,,
206,08/16/19 04:30:00 PM,9.3,8.9,51.93,,
207,08/16/19 04:45:00 PM,9.3,9.2,51.67,,
208,08/16/19 05:00:00 PM,9.2,8.9,51.37,,
209,08/16/19 05:15:00 PM,9.2,9.2,51.04,,
210,08/16/19 05:30:00 PM,9.2,8.9,50.68,,
211,08/16/19 05:45:00 PM,9.2,8.9,50.31,,
212,08/16/19 06:00:00 PM,9.2,9.2,50.00,,
213,08/16/19 06:15:00 PM,9.2,8.5,49.60,,
214,08/16/19 06:30:00 PM,9.2,9.3,49.23,,
215,08/16/19 06:45:00 PM,9.2,8.5,48.81,,
216,08/16/19 07:00:00 PM,9.2,8.9,48.43,,
217,08/16/19 07:15:00 PM,9.1,9.3,48.04,,
218,08/16/19 07:30:00 PM,9.1,8.9,47.70,,
219,08/16/19 07:45:00 PM,9.1,8.5,47.32,,
220,08/16/19 08:00:00 PM,9.1,8.9,47.01,,
221,08/16/19 08:15:00 PM,9.1,8.5,46.69,,
222,08/16/19 08:30:00 PM,9.2,8.9,46.40,,
223,08/16/19 08:45:00 PM,9.1,8.5,46.15,,
224,08/16/19 09:00:00 PM,9.0,8.9,45.86,,
225,08/16/19 09:15:00 PM,9.1,8.9,45.57,,
226,08/16/19 09:30:00 PM,9.1,9.3,45.36,,
227,08/16/19 09:45:00 PM,9.1,8.5,45.12,,
228,08/16/19 10:00:00 PM,9.1,8.5,44.91,,
229,08/16/19 10:15:00 PM,9.1,8.5,44.69,,
230,08/16/19 10:30:00 PM,9.1,8.5,44.51,,
231,08/16/19 10:45:00 PM,9.1,9.3,44.35,,
232,08/16/19 11:00:00 PM,9.1,9.3,44.13,,
233,08/16/19 11:15:00 PM,9.1,8.5,43.97,,
234,08/16/19 11:30:00 PM,9.1,8.5,43.79,,
235,08/16/19 11:45:00 PM,9.1,8.9,43.59,,
236,08/17/19 12:00:00 AM,9.1,8.9,43.38,,
237,08/17/19 12:15:00 AM,9.1,8.5,43.11,,
238,08/17/19 12:30:00 AM,9.1,8.5,42.94,,
239,08/17/19 12:45:00 AM,9.1,8.5,42.71,,
240,08/17/19 01:00:00 AM,9.0,8.5,42.48,,
241,08/17/19 01:15:00 AM,9.0,8.6,42.28,,
242,08/17/19 01:30:00 AM,9.0,8.6,42.12,,
243,08/17/19 01:45:00 AM,8.9,8.6,41.90,,
244,08/17/19 02:00:00 AM,8.9,8.6,41.79,,
245,08/17/19 02:15:00 AM,8.9,9.3,41.68,,
246,08/17/19 02:30:00 AM,8.9,9.3,41.59,,
247,08/17/19 02:45:00 AM,8.9,8.6,41.52,,
248,08/17/19 03:00:00 AM,8.9,8.6,41.41,,
249,08/17/19 03:15:00 AM,9.0,8.6,41.31,,
250,08/17/19 03:30:00 AM,8.9,8.6,41.27,,
251,08/17/19 03:45:00 AM,9.0,8.6,41.23,,
252,08/17/19 04:00:00 AM,9.0,8.6,41.20,,
253,08/17/19 04:15:00 AM,8.9,8.6,41.09,,
254,08/17/19 04:30:00 AM,8.9,8.6,40.91,,
255,08/17/19 04:45:00 AM,8.9,8.6,40.89,,
256,08/17/19 05:00:00 AM,9.0,8.6,40.75,,
257,08/17/19 05:15:00 AM,8.9,8.6,40.68,,
258,08/17/19 05:30:00 AM,8.9,8.6,40.64,,
259,08/17/19 05:45:00 AM,9.0,8.6,40.55,,
260,08/17/19 06:00:00 AM,9.0,8.6,40.51,,
261,08/17/19 06:15:00 AM,9.0,8.6,40.41,,
262,08/17/19 06:30:00 AM,8.9,8.6,40.30,,
263,08/17/19 06:45:00 AM,8.9,8.6,40.17,,
264,08/17/19 07:00:00 AM,9.0,8.6,40.12,,
265,08/17/19 07:15:00 AM,8.9,8.6,40.10,,
266,08/17/19 07:30:00 AM,8.9,8.6,40.08,,
267,08/17/19 07:45:00 AM,8.9,8.6,40.08,,
268,08/17/19 08:00:00 AM,8.9,8.6,40.12,,
269,08/17/19 08:15:00 AM,9.0,8.6,40.23,,
270,08/17/19 08:30:00 AM,9.0,8.6,40.41,,
271,08/17/19 08:45:00 AM,9.0,8.6,40.60,,
272,08/17/19 09:00:00 AM,9.0,8.6,40.78,,
273,08/17/19 09:15:00 AM,9.0,8.6,41.00,,
