Serial_number:
2020430
Project ID:

Location:
Well_01
Well_01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well_01,TEMPERATURE
7/27/2022,10:00:03 am,0,66.4430,7.403
7/27/2022,10:15:03 am,0,66.4478,7.331
7/27/2022,10:30:03 am,0,66.4568,7.308
7/27/2022,10:45:03 am,0,66.4345,7.313
7/27/2022,11:00:03 am,0,66.4362,7.317
7/27/2022,11:15:03 am,0,66.4261,7.323
7/27/2022,11:30:03 am,0,66.4327,7.336
7/27/2022,11:45:03 am,0,66.4209,7.352
7/27/2022,12:00:03 pm,0,66.4121,7.366
7/27/2022,12:15:03 pm,0,66.4092,7.378
7/27/2022,12:30:03 pm,0,66.4041,7.389
7/27/2022,12:45:03 pm,0,66.3924,7.401
7/27/2022,01:00:03 pm,0,66.3843,7.412
7/27/2022,01:15:03 pm,0,66.3586,7.423
7/27/2022,01:30:03 pm,0,66.3450,7.434
7/27/2022,01:45:03 pm,0,66.3264,7.445
7/27/2022,02:00:03 pm,0,66.3189,7.455
7/27/2022,02:15:03 pm,0,66.3111,7.463
7/27/2022,02:30:03 pm,0,66.3041,7.472
7/27/2022,02:45:03 pm,0,66.2922,7.479
7/27/2022,03:00:03 pm,0,66.2655,7.487
7/27/2022,03:15:03 pm,0,66.2621,7.494
7/27/2022,03:30:03 pm,0,66.2471,7.499
7/27/2022,03:45:03 pm,0,66.2477,7.505
7/27/2022,04:00:03 pm,0,66.2392,7.510
7/27/2022,04:15:03 pm,0,66.2340,7.515
7/27/2022,04:30:03 pm,0,66.2271,7.519
7/27/2022,04:45:03 pm,0,66.2299,7.524
7/27/2022,05:00:03 pm,0,66.2373,7.528
7/27/2022,05:15:03 pm,0,66.2441,7.531
7/27/2022,05:30:03 pm,0,66.2423,7.534
7/27/2022,05:45:03 pm,0,66.2501,7.537
7/27/2022,06:00:03 pm,0,66.2495,7.541
7/27/2022,06:15:03 pm,0,66.2558,7.543
7/27/2022,06:30:03 pm,0,66.2623,7.545
7/27/2022,06:45:03 pm,0,66.2682,7.547
7/27/2022,07:00:03 pm,0,66.2807,7.550
7/27/2022,07:15:03 pm,0,66.2901,7.552
7/27/2022,07:30:03 pm,0,66.3079,7.554
7/27/2022,07:45:03 pm,0,66.3165,7.556
7/27/2022,08:00:03 pm,0,66.3421,7.557
7/27/2022,08:15:03 pm,0,66.3265,7.559
7/27/2022,08:30:03 pm,0,66.3544,7.561
7/27/2022,08:45:03 pm,0,66.3635,7.563
7/27/2022,09:00:03 pm,0,66.3792,7.563
7/27/2022,09:15:03 pm,0,66.3886,7.565
7/27/2022,09:30:03 pm,0,66.3887,7.566
7/27/2022,09:45:03 pm,0,66.3954,7.567
7/27/2022,10:00:03 pm,0,66.3860,7.565
7/27/2022,10:15:03 pm,0,66.3793,7.548
7/27/2022,10:30:03 pm,0,66.3830,7.532
7/27/2022,10:45:03 pm,0,66.3871,7.519
7/27/2022,11:00:03 pm,0,66.3922,7.503
7/27/2022,11:15:03 pm,0,66.3858,7.488
7/27/2022,11:30:03 pm,0,66.3663,7.472
7/27/2022,11:45:03 pm,0,66.3638,7.462
7/28/2022,12:00:03 am,0,66.3493,7.449
7/28/2022,12:15:03 am,0,66.3384,7.438
7/28/2022,12:30:03 am,0,66.3196,7.427
7/28/2022,12:45:03 am,0,66.2961,7.417
7/28/2022,01:00:03 am,0,66.2888,7.406
7/28/2022,01:15:03 am,0,66.2816,7.397
7/28/2022,01:30:03 am,0,66.2697,7.387
7/28/2022,01:45:03 am,0,66.2609,7.374
7/28/2022,02:00:03 am,0,66.2502,7.367
7/28/2022,02:15:03 am,0,66.2393,7.358
7/28/2022,02:30:03 am,0,66.2317,7.352
7/28/2022,02:45:03 am,0,66.2297,7.346
7/28/2022,03:00:03 am,0,66.2304,7.338
7/28/2022,03:15:03 am,0,66.2232,7.330
7/28/2022,03:30:03 am,0,66.2038,7.328
7/28/2022,03:45:03 am,0,66.1963,7.317
7/28/2022,04:00:03 am,0,66.1926,7.305
7/28/2022,04:15:03 am,0,66.1875,7.303
7/28/2022,04:30:03 am,0,66.1869,7.289
7/28/2022,04:45:03 am,0,66.1835,7.281
7/28/2022,05:00:03 am,0,66.1853,7.270
7/28/2022,05:15:03 am,0,66.1830,7.261
7/28/2022,05:30:03 am,0,66.1826,7.256
7/28/2022,05:45:03 am,0,66.2002,7.248
7/28/2022,06:00:03 am,0,66.2057,7.242
7/28/2022,06:15:03 am,0,66.2180,7.229
7/28/2022,06:30:03 am,0,66.2322,7.219
7/28/2022,06:45:03 am,0,66.2315,7.217
7/28/2022,07:00:03 am,0,66.2359,7.202
7/28/2022,07:15:03 am,0,66.2639,7.199
7/28/2022,07:30:03 am,0,66.2787,7.196
7/28/2022,07:45:03 am,0,66.2733,7.197
7/28/2022,08:00:03 am,0,66.2899,7.192
7/28/2022,08:15:03 am,0,66.3079,7.192
7/28/2022,08:30:03 am,0,66.3249,7.193
7/28/2022,08:45:03 am,0,66.3275,7.198
