Serial_number:
2020437
Project ID:

Location:
BelowLake_upstream
BelowLake_upstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_upstream,TEMPERATURE
6/9/2022,11:45:00 am,0,65.4764,7.830
6/9/2022,12:00:00 pm,0,65.4537,7.620
6/9/2022,12:15:00 pm,0,65.4533,7.551
6/9/2022,12:30:00 pm,0,65.4418,7.516
6/9/2022,12:45:00 pm,0,65.4225,7.494
6/9/2022,01:00:00 pm,0,65.4118,7.478
6/9/2022,01:15:00 pm,0,65.4122,7.466
6/9/2022,01:30:00 pm,0,65.3988,7.456
6/9/2022,01:45:00 pm,0,65.3809,7.449
6/9/2022,02:00:00 pm,0,65.3670,7.441
6/9/2022,02:15:00 pm,0,65.3567,7.437
6/9/2022,02:30:00 pm,0,65.3352,7.431
6/9/2022,02:45:00 pm,0,65.3249,7.427
6/9/2022,03:00:00 pm,0,65.3134,7.423
6/9/2022,03:15:00 pm,0,65.3015,7.420
6/9/2022,03:30:00 pm,0,65.3014,7.417
6/9/2022,03:45:00 pm,0,65.3171,7.415
6/9/2022,04:00:00 pm,0,65.3160,7.413
6/9/2022,04:15:00 pm,0,65.3149,7.413
6/9/2022,04:30:00 pm,0,65.3163,7.412
6/9/2022,04:45:00 pm,0,65.3128,7.412
6/9/2022,05:00:00 pm,0,65.3210,7.412
6/9/2022,05:15:00 pm,0,65.3080,7.413
6/9/2022,05:30:00 pm,0,65.2994,7.414
6/9/2022,05:45:00 pm,0,65.3070,7.415
6/9/2022,06:00:00 pm,0,65.3204,7.417
6/9/2022,06:15:00 pm,0,65.3319,7.419
6/9/2022,06:30:00 pm,0,65.3438,7.422
6/9/2022,06:45:00 pm,0,65.3596,7.425
6/9/2022,07:00:00 pm,0,65.3644,7.428
6/9/2022,07:15:00 pm,0,65.3593,7.431
6/9/2022,07:30:00 pm,0,65.3763,7.434
6/9/2022,07:45:00 pm,0,65.3818,7.438
6/9/2022,08:00:00 pm,0,65.3886,7.442
6/9/2022,08:15:00 pm,0,65.3994,7.445
6/9/2022,08:30:00 pm,0,65.4085,7.449
6/9/2022,08:45:00 pm,0,65.4212,7.453
6/9/2022,09:00:00 pm,0,65.4183,7.456
6/9/2022,09:15:00 pm,0,65.4271,7.460
6/9/2022,09:30:00 pm,0,65.4231,7.464
6/9/2022,09:45:00 pm,0,65.4292,7.467
6/9/2022,10:00:00 pm,0,65.4262,7.471
6/9/2022,10:15:00 pm,0,65.4252,7.475
6/9/2022,10:30:00 pm,0,65.4293,7.477
6/9/2022,10:45:00 pm,0,65.4293,7.481
6/9/2022,11:00:00 pm,0,65.4313,7.484
6/9/2022,11:15:00 pm,0,65.4276,7.486
6/9/2022,11:30:00 pm,0,65.4281,7.490
6/9/2022,11:45:00 pm,0,65.4129,7.492
6/10/2022,12:00:00 am,0,65.4070,7.493
6/10/2022,12:15:00 am,0,65.3920,7.497
6/10/2022,12:30:00 am,0,65.3895,7.498
6/10/2022,12:45:00 am,0,65.3961,7.500
6/10/2022,01:00:00 am,0,65.3879,7.502
6/10/2022,01:15:00 am,0,65.3795,7.502
6/10/2022,01:30:00 am,0,65.3742,7.503
6/10/2022,01:45:00 am,0,65.3557,7.504
6/10/2022,02:00:00 am,0,65.3422,7.504
6/10/2022,02:15:00 am,0,65.3348,7.505
6/10/2022,02:30:00 am,0,65.3169,7.506
6/10/2022,02:45:00 am,0,65.3040,7.506
6/10/2022,03:00:00 am,0,65.2958,7.505
6/10/2022,03:15:00 am,0,65.2895,7.505
6/10/2022,03:30:00 am,0,65.2876,7.504
6/10/2022,03:45:00 am,0,65.2909,7.503
6/10/2022,04:00:00 am,0,65.2960,7.503
6/10/2022,04:15:00 am,0,65.2963,7.503
6/10/2022,04:30:00 am,0,65.2864,7.502
6/10/2022,04:45:00 am,0,65.2852,7.500
6/10/2022,05:00:00 am,0,65.2847,7.499
6/10/2022,05:15:00 am,0,65.2935,7.498
6/10/2022,05:30:00 am,0,65.3066,7.496
6/10/2022,05:45:00 am,0,65.3258,7.494
6/10/2022,06:00:00 am,0,65.3335,7.494
6/10/2022,06:15:00 am,0,65.3443,7.491
6/10/2022,06:30:00 am,0,65.3521,7.490
6/10/2022,06:45:00 am,0,65.3561,7.488
6/10/2022,07:00:00 am,0,65.3602,7.485
6/10/2022,07:15:00 am,0,65.3791,7.483
6/10/2022,07:30:00 am,0,65.3894,7.481
6/10/2022,07:45:00 am,0,65.4047,7.478
6/10/2022,08:00:00 am,0,65.4214,7.475
6/10/2022,08:15:00 am,0,65.4245,7.473
6/10/2022,08:30:00 am,0,65.4290,7.470
6/10/2022,08:45:00 am,0,65.4447,7.468
6/10/2022,09:00:00 am,0,65.4675,7.464
6/10/2022,09:15:00 am,0,65.4744,7.462
6/10/2022,09:30:00 am,0,65.4715,7.458
6/10/2022,09:45:00 am,0,65.4717,7.456
6/10/2022,10:00:00 am,0,65.4761,7.453
6/10/2022,10:15:00 am,0,65.4705,7.450
6/10/2022,10:30:00 am,0,65.4632,7.447
6/10/2022,10:45:00 am,0,65.4543,7.444
6/10/2022,11:00:00 am,0,65.4432,7.441
6/10/2022,11:15:00 am,0,65.4308,7.438
6/10/2022,11:30:00 am,0,65.4217,7.435
6/10/2022,11:45:00 am,0,65.4153,7.431
6/10/2022,12:00:00 pm,0,65.4064,7.429
6/10/2022,12:15:00 pm,0,65.4023,7.426
6/10/2022,12:30:00 pm,0,65.3959,7.423
6/10/2022,12:45:00 pm,0,65.3872,7.420
6/10/2022,01:00:00 pm,0,65.3810,7.417
6/10/2022,01:15:00 pm,0,65.3725,7.415
6/10/2022,01:30:00 pm,0,65.3622,7.412
6/10/2022,01:45:00 pm,0,65.3430,7.410
6/10/2022,02:00:00 pm,0,65.3187,7.406
6/10/2022,02:15:00 pm,0,65.3024,7.405
6/10/2022,02:30:00 pm,0,65.2941,7.402
6/10/2022,02:45:00 pm,0,65.2825,7.400
6/10/2022,03:00:00 pm,0,65.2767,7.399
6/10/2022,03:15:00 pm,0,65.2627,7.397
6/10/2022,03:30:00 pm,0,65.2436,7.395
6/10/2022,03:45:00 pm,0,65.2357,7.394
6/10/2022,04:00:00 pm,0,65.2273,7.393
6/10/2022,04:15:00 pm,0,65.2345,7.392
6/10/2022,04:30:00 pm,0,65.2327,7.391
6/10/2022,04:45:00 pm,0,65.2390,7.390
6/10/2022,05:00:00 pm,0,65.2402,7.389
6/10/2022,05:15:00 pm,0,65.2408,7.389
6/10/2022,05:30:00 pm,0,65.2477,7.389
6/10/2022,05:45:00 pm,0,65.2606,7.390
6/10/2022,06:00:00 pm,0,65.2774,7.391
6/10/2022,06:15:00 pm,0,65.2938,7.391
6/10/2022,06:30:00 pm,0,65.3165,7.392
6/10/2022,06:45:00 pm,0,65.3344,7.393
6/10/2022,07:00:00 pm,0,65.3488,7.394
6/10/2022,07:15:00 pm,0,65.3610,7.396
6/10/2022,07:30:00 pm,0,65.3758,7.398
6/10/2022,07:45:00 pm,0,65.3912,7.401
6/10/2022,08:00:00 pm,0,65.3994,7.403
6/10/2022,08:15:00 pm,0,65.4039,7.405
6/10/2022,08:30:00 pm,0,65.4016,7.408
6/10/2022,08:45:00 pm,0,65.4084,7.411
6/10/2022,09:00:00 pm,0,65.4138,7.414
6/10/2022,09:15:00 pm,0,65.4114,7.417
6/10/2022,09:30:00 pm,0,65.4168,7.421
6/10/2022,09:45:00 pm,0,65.4123,7.424
6/10/2022,10:00:00 pm,0,65.4025,7.427
6/10/2022,10:15:00 pm,0,65.3936,7.430
6/10/2022,10:30:00 pm,0,65.3916,7.433
6/10/2022,10:45:00 pm,0,65.3923,7.436
6/10/2022,11:00:00 pm,0,65.3929,7.439
6/10/2022,11:15:00 pm,0,65.4000,7.442
6/10/2022,11:30:00 pm,0,65.3992,7.444
6/10/2022,11:45:00 pm,0,65.4005,7.447
6/11/2022,12:00:00 am,0,65.3888,7.449
6/11/2022,12:15:00 am,0,65.3781,7.451
6/11/2022,12:30:00 am,0,65.3608,7.453
6/11/2022,12:45:00 am,0,65.3371,7.454
6/11/2022,01:00:00 am,0,65.3247,7.455
6/11/2022,01:15:00 am,0,65.3200,7.456
6/11/2022,01:30:00 am,0,65.3142,7.457
6/11/2022,01:45:00 am,0,65.2986,7.458
6/11/2022,02:00:00 am,0,65.2823,7.459
6/11/2022,02:15:00 am,0,65.2628,7.459
6/11/2022,02:30:00 am,0,65.2508,7.459
6/11/2022,02:45:00 am,0,65.2346,7.458
6/11/2022,03:00:00 am,0,65.2233,7.457
6/11/2022,03:15:00 am,0,65.2283,7.458
6/11/2022,03:30:00 am,0,65.2332,7.457
6/11/2022,03:45:00 am,0,65.2358,7.456
6/11/2022,04:00:00 am,0,65.2303,7.455
6/11/2022,04:15:00 am,0,65.2409,7.454
6/11/2022,04:30:00 am,0,65.2515,7.452
6/11/2022,04:45:00 am,0,65.2510,7.450
6/11/2022,05:00:00 am,0,65.2465,7.449
6/11/2022,05:15:00 am,0,65.2593,7.447
6/11/2022,05:30:00 am,0,65.2683,7.445
6/11/2022,05:45:00 am,0,65.2734,7.443
6/11/2022,06:00:00 am,0,65.2818,7.440
6/11/2022,06:15:00 am,0,65.2982,7.438
6/11/2022,06:30:00 am,0,65.3053,7.436
6/11/2022,06:45:00 am,0,65.3182,7.434
6/11/2022,07:00:00 am,0,65.3302,7.431
6/11/2022,07:15:00 am,0,65.3392,7.428
6/11/2022,07:30:00 am,0,65.3527,7.425
6/11/2022,07:45:00 am,0,65.3645,7.422
6/11/2022,08:00:00 am,0,65.3778,7.419
6/11/2022,08:15:00 am,0,65.3859,7.416
6/11/2022,08:30:00 am,0,65.3927,7.413
6/11/2022,08:45:00 am,0,65.4067,7.410
6/11/2022,09:00:00 am,0,65.4287,7.406
6/11/2022,09:15:00 am,0,65.4354,7.403
6/11/2022,09:30:00 am,0,65.4383,7.400
6/11/2022,09:45:00 am,0,65.4425,7.397
6/11/2022,10:00:00 am,0,65.4519,7.393
6/11/2022,10:15:00 am,0,65.4540,7.390
6/11/2022,10:30:00 am,0,65.4612,7.386
6/11/2022,10:45:00 am,0,65.4732,7.382
6/11/2022,11:00:00 am,0,65.4681,7.380
6/11/2022,11:15:00 am,0,65.4589,7.376
6/11/2022,11:30:00 am,0,65.4564,7.373
6/11/2022,11:45:00 am,0,65.4529,7.370
6/11/2022,12:00:00 pm,0,65.4493,7.367
6/11/2022,12:15:00 pm,0,65.4406,7.364
6/11/2022,12:30:00 pm,0,65.4371,7.361
6/11/2022,12:45:00 pm,0,65.4338,7.358
6/11/2022,01:00:00 pm,0,65.4228,7.355
6/11/2022,01:15:00 pm,0,65.4071,7.352
6/11/2022,01:30:00 pm,0,65.3969,7.349
6/11/2022,01:45:00 pm,0,65.3904,7.347
6/11/2022,02:00:00 pm,0,65.3735,7.345
6/11/2022,02:15:00 pm,0,65.3659,7.342
6/11/2022,02:30:00 pm,0,65.3544,7.340
6/11/2022,02:45:00 pm,0,65.3382,7.338
6/11/2022,03:00:00 pm,0,65.3297,7.336
6/11/2022,03:15:00 pm,0,65.3204,7.334
6/11/2022,03:30:00 pm,0,65.3117,7.333
6/11/2022,03:45:00 pm,0,65.3111,7.331
6/11/2022,04:00:00 pm,0,65.3084,7.330
6/11/2022,04:15:00 pm,0,65.3067,7.329
6/11/2022,04:30:00 pm,0,65.3137,7.328
6/11/2022,04:45:00 pm,0,65.3167,7.328
6/11/2022,05:00:00 pm,0,65.3171,7.328
6/11/2022,05:15:00 pm,0,65.3280,7.328
6/11/2022,05:30:00 pm,0,65.3387,7.329
6/11/2022,05:45:00 pm,0,65.3425,7.328
6/11/2022,06:00:00 pm,0,65.3476,7.329
6/11/2022,06:15:00 pm,0,65.3659,7.329
6/11/2022,06:30:00 pm,0,65.3747,7.330
6/11/2022,06:45:00 pm,0,65.3952,7.331
6/11/2022,07:00:00 pm,0,65.4096,7.333
6/11/2022,07:15:00 pm,0,65.4172,7.334
6/11/2022,07:30:00 pm,0,65.4241,7.336
6/11/2022,07:45:00 pm,0,65.4333,7.338
6/11/2022,08:00:00 pm,0,65.4430,7.339
6/11/2022,08:15:00 pm,0,65.4465,7.341
6/11/2022,08:30:00 pm,0,65.4587,7.344
6/11/2022,08:45:00 pm,0,65.4620,7.345
6/11/2022,09:00:00 pm,0,65.4643,7.348
6/11/2022,09:15:00 pm,0,65.4658,7.349
6/11/2022,09:30:00 pm,0,65.4695,7.352
6/11/2022,09:45:00 pm,0,65.4741,7.354
6/11/2022,10:00:00 pm,0,65.4799,7.356
6/11/2022,10:15:00 pm,0,65.4717,7.358
6/11/2022,10:30:00 pm,0,65.4696,7.360
6/11/2022,10:45:00 pm,0,65.4766,7.361
6/11/2022,11:00:00 pm,0,65.4763,7.363
6/11/2022,11:15:00 pm,0,65.4811,7.364
6/11/2022,11:30:00 pm,0,65.4852,7.366
6/11/2022,11:45:00 pm,0,65.4828,7.367
6/12/2022,12:00:00 am,0,65.4720,7.368
6/12/2022,12:15:00 am,0,65.4651,7.368
6/12/2022,12:30:00 am,0,65.4535,7.368
6/12/2022,12:45:00 am,0,65.4400,7.369
6/12/2022,01:00:00 am,0,65.4280,7.369
6/12/2022,01:15:00 am,0,65.4256,7.368
6/12/2022,01:30:00 am,0,65.4162,7.368
6/12/2022,01:45:00 am,0,65.4045,7.367
6/12/2022,02:00:00 am,0,65.3953,7.366
6/12/2022,02:15:00 am,0,65.3872,7.365
6/12/2022,02:30:00 am,0,65.3779,7.364
6/12/2022,02:45:00 am,0,65.3733,7.362
6/12/2022,03:00:00 am,0,65.3721,7.361
6/12/2022,03:15:00 am,0,65.3800,7.359
6/12/2022,03:30:00 am,0,65.3744,7.357
6/12/2022,03:45:00 am,0,65.3783,7.355
6/12/2022,04:00:00 am,0,65.3802,7.353
6/12/2022,04:15:00 am,0,65.3763,7.350
6/12/2022,04:30:00 am,0,65.3756,7.347
6/12/2022,04:45:00 am,0,65.3842,7.345
6/12/2022,05:00:00 am,0,65.3879,7.341
6/12/2022,05:15:00 am,0,65.3906,7.338
6/12/2022,05:30:00 am,0,65.3972,7.334
6/12/2022,05:45:00 am,0,65.4012,7.330
6/12/2022,06:00:00 am,0,65.4048,7.326
6/12/2022,06:15:00 am,0,65.4092,7.321
6/12/2022,06:30:00 am,0,65.4179,7.317
6/12/2022,06:45:00 am,0,65.4218,7.313
6/12/2022,07:00:00 am,0,65.4240,7.309
6/12/2022,07:15:00 am,0,65.4285,7.304
6/12/2022,07:30:00 am,0,65.4336,7.300
6/12/2022,07:45:00 am,0,65.4367,7.296
6/12/2022,08:00:00 am,0,65.4492,7.290
6/12/2022,08:15:00 am,0,65.4560,7.286
6/12/2022,08:30:00 am,0,65.4639,7.282
6/12/2022,08:45:00 am,0,65.4592,7.277
6/12/2022,09:00:00 am,0,65.4738,7.273
6/12/2022,09:15:00 am,0,65.4726,7.268
6/12/2022,09:30:00 am,0,65.4745,7.264
6/12/2022,09:45:00 am,0,65.4773,7.260
6/12/2022,10:00:00 am,0,65.4849,7.256
6/12/2022,10:15:00 am,0,65.4877,7.252
6/12/2022,10:30:00 am,0,65.4857,7.248
6/12/2022,10:45:00 am,0,65.4862,7.245
6/12/2022,11:00:00 am,0,65.4752,7.241
6/12/2022,11:15:00 am,0,65.4604,7.238
6/12/2022,11:30:00 am,0,65.4543,7.233
6/12/2022,11:45:00 am,0,65.4490,7.230
6/12/2022,12:00:00 pm,0,65.4491,7.226
6/12/2022,12:15:00 pm,0,65.4449,7.224
6/12/2022,12:30:00 pm,0,65.4464,7.221
6/12/2022,12:45:00 pm,0,65.4390,7.217
6/12/2022,01:00:00 pm,0,65.4376,7.214
6/12/2022,01:15:00 pm,0,65.4285,7.212
6/12/2022,01:30:00 pm,0,65.4149,7.209
6/12/2022,01:45:00 pm,0,65.4019,7.206
6/12/2022,02:00:00 pm,0,65.3908,7.204
6/12/2022,02:15:00 pm,0,65.3793,7.202
6/12/2022,02:30:00 pm,0,65.3743,7.201
6/12/2022,02:45:00 pm,0,65.3621,7.199
6/12/2022,03:00:00 pm,0,65.3574,7.198
6/12/2022,03:15:00 pm,0,65.3478,7.197
6/12/2022,03:30:00 pm,0,65.3477,7.196
6/12/2022,03:45:00 pm,0,65.3505,7.195
6/12/2022,04:00:00 pm,0,65.3506,7.195
6/12/2022,04:15:00 pm,0,65.3487,7.195
6/12/2022,04:30:00 pm,0,65.3462,7.196
6/12/2022,04:45:00 pm,0,65.3431,7.196
6/12/2022,05:00:00 pm,0,65.3437,7.196
6/12/2022,05:15:00 pm,0,65.3370,7.197
6/12/2022,05:30:00 pm,0,65.3464,7.198
6/12/2022,05:45:00 pm,0,65.3475,7.200
6/12/2022,06:00:00 pm,0,65.3449,7.201
6/12/2022,06:15:00 pm,0,65.3568,7.203
6/12/2022,06:30:00 pm,0,65.3666,7.206
6/12/2022,06:45:00 pm,0,65.3724,7.209
6/12/2022,07:00:00 pm,0,65.3814,7.211
6/12/2022,07:15:00 pm,0,65.3923,7.214
6/12/2022,07:30:00 pm,0,65.4047,7.218
6/12/2022,07:45:00 pm,0,65.4119,7.221
6/12/2022,08:00:00 pm,0,65.4179,7.224
6/12/2022,08:15:00 pm,0,65.4280,7.228
6/12/2022,08:30:00 pm,0,65.4320,7.232
6/12/2022,08:45:00 pm,0,65.4290,7.236
6/12/2022,09:00:00 pm,0,65.4326,7.240
6/12/2022,09:15:00 pm,0,65.4424,7.245
6/12/2022,09:30:00 pm,0,65.4563,7.249
6/12/2022,09:45:00 pm,0,65.4690,7.252
6/12/2022,10:00:00 pm,0,65.4738,7.257
6/12/2022,10:15:00 pm,0,65.4719,7.260
6/12/2022,10:30:00 pm,0,65.4667,7.265
6/12/2022,10:45:00 pm,0,65.4639,7.268
6/12/2022,11:00:00 pm,0,65.4656,7.271
6/12/2022,11:15:00 pm,0,65.4545,7.275
6/12/2022,11:30:00 pm,0,65.4468,7.277
6/12/2022,11:45:00 pm,0,65.4370,7.279
6/13/2022,12:00:00 am,0,65.4306,7.281
6/13/2022,12:15:00 am,0,65.4220,7.284
6/13/2022,12:30:00 am,0,65.4136,7.286
6/13/2022,12:45:00 am,0,65.3993,7.287
6/13/2022,01:00:00 am,0,65.3960,7.288
6/13/2022,01:15:00 am,0,65.3892,7.289
6/13/2022,01:30:00 am,0,65.3756,7.290
6/13/2022,01:45:00 am,0,65.3636,7.290
6/13/2022,02:00:00 am,0,65.3507,7.291
6/13/2022,02:15:00 am,0,65.3470,7.290
6/13/2022,02:30:00 am,0,65.3307,7.290
6/13/2022,02:45:00 am,0,65.3182,7.289
6/13/2022,03:00:00 am,0,65.3148,7.288
6/13/2022,03:15:00 am,0,65.3101,7.288
6/13/2022,03:30:00 am,0,65.3036,7.287
6/13/2022,03:45:00 am,0,65.2968,7.285
6/13/2022,04:00:00 am,0,65.3010,7.284
6/13/2022,04:15:00 am,0,65.3008,7.282
6/13/2022,04:30:00 am,0,65.2970,7.279
6/13/2022,04:45:00 am,0,65.3014,7.278
6/13/2022,05:00:00 am,0,65.3029,7.277
6/13/2022,05:15:00 am,0,65.3121,7.274
6/13/2022,05:30:00 am,0,65.3215,7.271
6/13/2022,05:45:00 am,0,65.3303,7.269
6/13/2022,06:00:00 am,0,65.3366,7.267
6/13/2022,06:15:00 am,0,65.3427,7.263
6/13/2022,06:30:00 am,0,65.3480,7.260
6/13/2022,06:45:00 am,0,65.3634,7.257
6/13/2022,07:00:00 am,0,65.3808,7.254
6/13/2022,07:15:00 am,0,65.3968,7.250
6/13/2022,07:30:00 am,0,65.3992,7.247
6/13/2022,07:45:00 am,0,65.4118,7.244
6/13/2022,08:00:00 am,0,65.4203,7.240
6/13/2022,08:15:00 am,0,65.4177,7.236
6/13/2022,08:30:00 am,0,65.4313,7.233
6/13/2022,08:45:00 am,0,65.4427,7.229
6/13/2022,09:00:00 am,0,65.4550,7.225
6/13/2022,09:15:00 am,0,65.4588,7.221
6/13/2022,09:30:00 am,0,65.4607,7.217
6/13/2022,09:45:00 am,0,65.4588,7.214
6/13/2022,10:00:00 am,0,65.4571,7.210
6/13/2022,10:15:00 am,0,65.4647,7.206
6/13/2022,10:30:00 am,0,65.4720,7.203
6/13/2022,10:45:00 am,0,65.4656,7.199
6/13/2022,11:00:00 am,0,65.4671,7.195
6/13/2022,11:15:00 am,0,65.4625,7.192
6/13/2022,11:30:00 am,0,65.4544,7.188
6/13/2022,11:45:00 am,0,65.4450,7.185
6/13/2022,12:00:00 pm,0,65.4442,7.182
6/13/2022,12:15:00 pm,0,65.4442,7.178
6/13/2022,12:30:00 pm,0,65.4416,7.175
6/13/2022,12:45:00 pm,0,65.4348,7.172
6/13/2022,01:00:00 pm,0,65.4253,7.169
