Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
6/10/2022,12:30:00 pm,0,70.4594,6.690
6/10/2022,12:45:00 pm,0,70.4478,6.705
6/10/2022,01:00:00 pm,0,70.4424,6.716
6/10/2022,01:15:00 pm,0,70.4373,6.727
6/10/2022,01:30:00 pm,0,70.4209,6.737
6/10/2022,01:45:00 pm,0,70.4057,6.746
6/10/2022,02:00:00 pm,0,70.3779,6.753
6/10/2022,02:15:00 pm,0,70.3628,6.762
6/10/2022,02:30:00 pm,0,70.3585,6.769
6/10/2022,02:45:00 pm,0,70.3466,6.776
6/10/2022,03:00:00 pm,0,70.3384,6.782
6/10/2022,03:15:00 pm,0,70.3243,6.789
6/10/2022,03:30:00 pm,0,70.3028,6.795
6/10/2022,03:45:00 pm,0,70.2949,6.801
6/10/2022,04:00:00 pm,0,70.2897,6.805
6/10/2022,04:15:00 pm,0,70.2953,6.810
6/10/2022,04:30:00 pm,0,70.2946,6.814
6/10/2022,04:45:00 pm,0,70.2949,6.818
6/10/2022,05:00:00 pm,0,70.2970,6.822
6/10/2022,05:15:00 pm,0,70.3006,6.825
6/10/2022,05:30:00 pm,0,70.3075,6.828
6/10/2022,05:45:00 pm,0,70.3211,6.831
6/10/2022,06:00:00 pm,0,70.3405,6.834
6/10/2022,06:15:00 pm,0,70.3629,6.836
6/10/2022,06:30:00 pm,0,70.3824,6.839
6/10/2022,06:45:00 pm,0,70.3900,6.842
6/10/2022,07:00:00 pm,0,70.4109,6.844
6/10/2022,07:15:00 pm,0,70.4206,6.846
6/10/2022,07:30:00 pm,0,70.4339,6.847
6/10/2022,07:45:00 pm,0,70.4440,6.849
6/10/2022,08:00:00 pm,0,70.4564,6.851
6/10/2022,08:15:00 pm,0,70.4521,6.853
6/10/2022,08:30:00 pm,0,70.4574,6.854
6/10/2022,08:45:00 pm,0,70.4593,6.855
6/10/2022,09:00:00 pm,0,70.4662,6.858
6/10/2022,09:15:00 pm,0,70.4686,6.859
6/10/2022,09:30:00 pm,0,70.4625,6.860
6/10/2022,09:45:00 pm,0,70.4621,6.861
6/10/2022,10:00:00 pm,0,70.4529,6.863
