Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
7/29/2022,02:19:51 pm,0,70.4133,6.183
7/29/2022,02:34:51 pm,0,70.3989,6.188
7/29/2022,02:49:51 pm,0,70.3725,6.193
7/29/2022,03:04:51 pm,0,70.3582,6.198
7/29/2022,03:19:51 pm,0,70.3587,6.201
7/29/2022,03:34:51 pm,0,70.3549,6.205
7/29/2022,03:49:51 pm,0,70.3404,6.207
7/29/2022,04:04:51 pm,0,70.3347,6.211
7/29/2022,04:19:51 pm,0,70.3319,6.215
7/29/2022,04:34:51 pm,0,70.3275,6.219
7/29/2022,04:49:51 pm,0,70.3184,6.222
7/29/2022,05:04:51 pm,0,70.3268,6.223
7/29/2022,05:19:51 pm,0,70.3142,6.226
7/29/2022,05:34:51 pm,0,70.3176,6.228
7/29/2022,05:49:51 pm,0,70.3311,6.231
7/29/2022,06:04:51 pm,0,70.3281,6.235
7/29/2022,06:19:51 pm,0,70.3281,6.238
7/29/2022,06:34:51 pm,0,70.3227,6.239
7/29/2022,06:49:51 pm,0,70.3235,6.242
7/29/2022,07:04:51 pm,0,70.3323,6.245
7/29/2022,07:19:51 pm,0,70.3328,6.247
7/29/2022,07:34:51 pm,0,70.3290,6.248
7/29/2022,07:49:51 pm,0,70.3180,6.252
7/29/2022,08:04:51 pm,0,70.3176,6.256
7/29/2022,08:19:51 pm,0,70.3248,6.259
7/29/2022,08:34:51 pm,0,70.3407,6.263
7/29/2022,08:49:51 pm,0,70.3320,6.266
7/29/2022,09:04:51 pm,0,70.3455,6.267
7/29/2022,09:19:51 pm,0,70.3545,6.270
7/29/2022,09:34:51 pm,0,70.3712,6.271
7/29/2022,09:49:51 pm,0,70.3836,6.273
7/29/2022,10:04:51 pm,0,70.3999,6.274
7/29/2022,10:19:51 pm,0,70.3918,6.276
7/29/2022,10:34:51 pm,0,70.4003,6.276
7/29/2022,10:49:51 pm,0,70.4009,6.276
7/29/2022,11:04:51 pm,0,70.4110,6.278
7/29/2022,11:19:51 pm,0,70.4094,6.279
7/29/2022,11:34:51 pm,0,70.4114,6.280
7/29/2022,11:49:51 pm,0,70.4044,6.282
7/30/2022,12:04:51 am,0,70.3875,6.284
7/30/2022,12:19:51 am,0,70.3739,6.284
7/30/2022,12:34:51 am,0,70.3724,6.287
7/30/2022,12:49:51 am,0,70.3707,6.288
7/30/2022,01:04:51 am,0,70.3498,6.287
7/30/2022,01:19:51 am,0,70.3441,6.288
7/30/2022,01:34:51 am,0,70.3359,6.289
7/30/2022,01:49:51 am,0,70.3212,6.290
7/30/2022,02:04:51 am,0,70.3049,6.291
7/30/2022,02:19:51 am,0,70.2883,6.292
7/30/2022,02:34:51 am,0,70.2713,6.294
7/30/2022,02:49:51 am,0,70.2661,6.295
7/30/2022,03:04:51 am,0,70.2574,6.295
7/30/2022,03:19:51 am,0,70.2650,6.294
7/30/2022,03:34:51 am,0,70.2638,6.297
7/30/2022,03:49:51 am,0,70.2518,6.298
7/30/2022,04:04:51 am,0,70.2533,6.300
7/30/2022,04:19:51 am,0,70.2506,6.301
7/30/2022,04:34:51 am,0,70.2506,6.302
7/30/2022,04:49:51 am,0,70.2645,6.303
7/30/2022,05:04:51 am,0,70.2673,6.303
7/30/2022,05:19:51 am,0,70.2617,6.304
7/30/2022,05:34:51 am,0,70.2661,6.306
7/30/2022,05:49:51 am,0,70.2810,6.307
7/30/2022,06:04:51 am,0,70.2842,6.308
7/30/2022,06:19:51 am,0,70.2799,6.309
7/30/2022,06:34:51 am,0,70.2820,6.307
7/30/2022,06:49:51 am,0,70.2925,6.307
7/30/2022,07:04:51 am,0,70.3075,6.307
7/30/2022,07:19:51 am,0,70.3189,6.301
7/30/2022,07:34:51 am,0,70.3336,6.285
7/30/2022,07:49:51 am,0,70.3452,6.280
7/30/2022,08:04:51 am,0,70.3584,6.276
7/30/2022,08:19:51 am,0,70.3760,6.271
7/30/2022,08:34:51 am,0,70.3802,6.263
7/30/2022,08:49:51 am,0,70.4011,6.262
7/30/2022,09:04:51 am,0,70.4225,6.267
7/30/2022,09:19:51 am,0,70.4337,6.270
7/30/2022,09:34:51 am,0,70.4357,6.272
7/30/2022,09:49:51 am,0,70.4439,6.275
7/30/2022,10:04:51 am,0,70.4499,6.277
7/30/2022,10:19:51 am,0,70.4434,6.275
7/30/2022,10:34:51 am,0,70.4350,6.272
7/30/2022,10:49:51 am,0,70.4493,6.274
7/30/2022,11:04:51 am,0,70.4369,6.278
7/30/2022,11:19:51 am,0,70.4343,6.284
7/30/2022,11:34:51 am,0,70.4058,6.287
7/30/2022,11:49:51 am,0,70.3875,6.286
7/30/2022,12:04:51 pm,0,70.3819,6.284
7/30/2022,12:19:51 pm,0,70.3570,6.285
7/30/2022,12:34:51 pm,0,70.3397,6.286
7/30/2022,12:49:51 pm,0,70.3322,6.287
7/30/2022,01:04:51 pm,0,70.3116,6.287
7/30/2022,01:19:51 pm,0,70.2972,6.288
7/30/2022,01:34:51 pm,0,70.2785,6.288
7/30/2022,01:49:51 pm,0,70.2733,6.290
7/30/2022,02:04:51 pm,0,70.2648,6.290
7/30/2022,02:19:51 pm,0,70.2582,6.291
7/30/2022,02:34:51 pm,0,70.2479,6.291
7/30/2022,02:49:51 pm,0,70.2301,6.292
7/30/2022,03:04:51 pm,0,70.2194,6.293
7/30/2022,03:19:51 pm,0,70.2039,6.294
7/30/2022,03:34:51 pm,0,70.1809,6.295
7/30/2022,03:49:51 pm,0,70.1733,6.295
7/30/2022,04:04:51 pm,0,70.1498,6.296
7/30/2022,04:19:51 pm,0,70.1402,6.297
7/30/2022,04:34:51 pm,0,70.1392,6.297
7/30/2022,04:49:51 pm,0,70.1488,6.298
7/30/2022,05:04:51 pm,0,70.1544,6.299
7/30/2022,05:19:51 pm,0,70.1560,6.300
7/30/2022,05:34:51 pm,0,70.1503,6.301
7/30/2022,05:49:51 pm,0,70.1658,6.301
7/30/2022,06:04:51 pm,0,70.1783,6.301
7/30/2022,06:19:51 pm,0,70.1851,6.301
7/30/2022,06:34:51 pm,0,70.2053,6.302
7/30/2022,06:49:51 pm,0,70.2171,6.303
7/30/2022,07:04:51 pm,0,70.2236,6.304
7/30/2022,07:19:51 pm,0,70.2197,6.304
7/30/2022,07:34:51 pm,0,70.2219,6.304
7/30/2022,07:49:51 pm,0,70.2388,6.305
7/30/2022,08:04:51 pm,0,70.2438,6.306
7/30/2022,08:19:51 pm,0,70.2535,6.307
7/30/2022,08:34:51 pm,0,70.2734,6.307
7/30/2022,08:49:51 pm,0,70.2830,6.307
7/30/2022,09:04:51 pm,0,70.2854,6.308
7/30/2022,09:19:51 pm,0,70.2975,6.309
7/30/2022,09:34:51 pm,0,70.3052,6.308
7/30/2022,09:49:51 pm,0,70.3103,6.309
7/30/2022,10:04:51 pm,0,70.3103,6.309
7/30/2022,10:19:51 pm,0,70.3147,6.310
7/30/2022,10:34:51 pm,0,70.3140,6.311
7/30/2022,10:49:51 pm,0,70.3141,6.311
7/30/2022,11:04:51 pm,0,70.3069,6.312
7/30/2022,11:19:51 pm,0,70.2983,6.312
7/30/2022,11:34:51 pm,0,70.2945,6.313
7/30/2022,11:49:51 pm,0,70.2867,6.314
7/31/2022,12:04:51 am,0,70.2786,6.313
7/31/2022,12:19:51 am,0,70.2632,6.314
7/31/2022,12:34:51 am,0,70.2609,6.315
7/31/2022,12:49:51 am,0,70.2485,6.316
7/31/2022,01:04:51 am,0,70.2398,6.315
7/31/2022,01:19:51 am,0,70.2180,6.315
7/31/2022,01:34:51 am,0,70.1998,6.316
7/31/2022,01:49:51 am,0,70.1877,6.316
7/31/2022,02:04:51 am,0,70.1789,6.317
7/31/2022,02:19:51 am,0,70.1776,6.318
7/31/2022,02:34:51 am,0,70.1601,6.318
7/31/2022,02:49:51 am,0,70.1446,6.319
7/31/2022,03:04:51 am,0,70.1345,6.319
7/31/2022,03:19:51 am,0,70.1199,6.320
7/31/2022,03:34:51 am,0,70.1161,6.320
7/31/2022,03:49:51 am,0,70.1161,6.321
7/31/2022,04:04:51 am,0,70.1058,6.322
7/31/2022,04:19:51 am,0,70.1064,6.322
7/31/2022,04:34:51 am,0,70.1087,6.322
7/31/2022,04:49:51 am,0,70.1118,6.321
7/31/2022,05:04:51 am,0,70.1244,6.320
7/31/2022,05:19:51 am,0,70.1259,6.307
7/31/2022,05:34:51 am,0,70.1357,6.305
7/31/2022,05:49:51 am,0,70.1367,6.303
7/31/2022,06:04:51 am,0,70.1393,6.303
7/31/2022,06:19:51 am,0,70.1447,6.294
7/31/2022,06:34:51 am,0,70.1471,6.293
7/31/2022,06:49:51 am,0,70.1469,6.276
7/31/2022,07:04:51 am,0,70.1553,6.254
7/31/2022,07:19:51 am,0,70.1602,6.231
7/31/2022,07:34:51 am,0,70.1662,6.200
7/31/2022,07:49:51 am,0,70.1775,6.180
7/31/2022,08:04:51 am,0,70.1957,6.178
7/31/2022,08:19:51 am,0,70.2115,6.177
7/31/2022,08:34:51 am,0,70.2183,6.176
7/31/2022,08:49:51 am,0,70.2287,6.184
7/31/2022,09:04:51 am,0,70.2203,6.191
7/31/2022,09:19:51 am,0,70.2191,6.198
7/31/2022,09:34:51 am,0,70.2331,6.201
7/31/2022,09:49:51 am,0,70.2554,6.200
7/31/2022,10:04:51 am,0,70.2561,6.208
7/31/2022,10:19:51 am,0,70.2681,6.217
7/31/2022,10:34:51 am,0,70.2655,6.222
7/31/2022,10:49:51 am,0,70.2580,6.228
7/31/2022,11:04:51 am,0,70.2474,6.235
