start,time,time,Conductivity
12:04,10,12:04,93.8
,20,12:04,93.8
,30,12:04,93.8
,40,12:04,93.8
,50,12:04,93.8
,60,12:05,93.7
,70,12:05,93.7
,80,12:05,93.7
,90,12:05,93.6
,100,12:05,93.6
,110,12:05,93.6
,120,12:06,93.6
,130,12:06,93.6
,140,12:06,93.6
,150,12:06,93.6
,160,12:06,93.6
,170,12:06,93.6
,180,12:07,93.6
,190,12:07,93.6
,200,12:07,93.6
,210,12:07,93.6
,220,12:07,93.6
,230,12:07,93.6
,240,12:08,93.6
,250,12:08,93.6
,260,12:08,93.6
,270,12:08,93.6
,280,12:08,93.6
,290,12:08,93.6
,300,12:09,93.7
,310,12:09,93.7
,320,12:09,93.7
,330,12:09,94.5
,340,12:09,95.1
,350,12:09,95.7
,360,12:10,96.6
,370,12:10,98.1
,380,12:10,99.3
,390,12:10,100.8
,400,12:10,102.7
,410,12:10,104.7
,420,12:11,105.5
,430,12:11,107.2
,440,12:11,108.3
,450,12:11,109.9
,460,12:11,111.1
,470,12:11,112.1
,480,12:12,112.9
,490,12:12,113.4
,500,12:12,113.9
,510,12:12,114.1
,520,12:12,114.1
,530,12:12,114.1
,540,12:13,113.9
,550,12:13,113.4
,560,12:13,113.1
,570,12:13,112.6
,580,12:13,112.3
,590,12:13,111.7
,600,12:14,111.2
,610,12:14,110.6
,620,12:14,11
,630,12:14,109.5
,640,12:14,108.8
,650,12:14,108.1
,660,12:15,107.3
,670,12:15,106.8
,680,12:15,106.4
,690,12:15,105.8
,700,12:15,105.3
,710,12:15,105
,720,12:16,104.3
,730,12:16,`04
,740,12:16,103.4
,750,12:16,103
,760,12:16,102.7
,770,12:16,102.3
,780,12:17,101.8
,790,12:17,101.5
,800,12:17,100.9
,810,12:17,100.6
,820,12:17,100.3
,830,12:17,100
,840,12:18,99.7
,850,12:18,99.4
,860,12:18,99.1
,870,12:18,98.8
,880,12:18,98.5
,890,12:18,98.3
,900,12:19,98.1
,910,12:19,97.8
,920,12:19,97.6
,930,12:19,97.4
,940,12:19,97.3
,950,12:19,97
,960,12:20,96.8
,970,12:20,96.6
,980,12:20,96.6
,990,12:20,96.5
,1000,12:20,96.2
,1010,12:20,96.1
,1020,12:21,96
,1030,12:21,95.8
,1040,12:21,95.6
,1050,12:21,95.5
,1060,12:21,95.5
,1070,12:21,95.4
,1080,12:22,95.2
,1090,12:22,95.2
,1100,12:22,95.1
,1110,12:22,95.1
,1120,12:22,95
,1130,12:22,94.9
,1140,12:23,94.8
,1150,12:23,94.8
,1160,12:23,94.7
,1170,12:23,94.7
,1180,12:23,94.6
,1190,12:23,94.5
,1200,12:24,94.6
,1210,12:24,94.5
,1220,12:24,94.9
,1230,12:24,94.4
,1240,12:24,94.3
,1250,12:24,94.3
,1260,12:25,94.3
,1270,12:25,94.2
,1280,12:25,94.2
,1290,12:25,94.2
,1300,12:25,94
,1310,12:25,94.1
,1320,12:26,94.1
,1330,12:26,94.1
,1340,12:26,94.1
,1350,12:26,94
