time,Conductivity,temp
12:04,93.8,8.37
12:04,93.8,8.36
12:04,93.8,8.37
12:04,93.8,8.36
12:04,93.8,8.37
12:05,93.7,8.38
12:05,93.7,8.4
12:05,93.7,8.4
12:05,93.6,8.4
12:05,93.6,8.4
12:05,93.6,8.38
12:06,93.6,8.38
12:06,93.6,8.37
12:06,93.6,8.4
12:06,93.6,8.38
12:06,93.6,8.38
12:06,93.6,8.37
12:07,93.6,8.38
12:07,93.6,8.37
12:07,93.6,8.38
12:07,93.6,8.37
12:07,93.6,8.37
12:07,93.6,8.37
12:08,93.6,8.38
12:08,93.6,8.38
12:08,93.6,8.38
12:08,93.6,8.37
12:08,93.6,8.36
12:08,93.6,8.38
12:09,93.7,8.37
12:09,93.7,8.37
12:09,93.7,8.38
12:09,94.5,8.38
12:09,95.1,8.37
12:09,95.7,8.36
12:10,96.6,8.37
12:10,98.1,8.38
12:10,99.3,8.37
12:10,100.8,8.38
12:10,102.7,8.37
12:10,104.7,8.37
12:11,105.5,8.38
12:11,107.2,8.37
12:11,108.3,8.37
12:11,109.9,8.38
12:11,111.1,8.38
12:11,112.1,8.37
12:12,112.9,8.38
12:12,113.4,8.37
12:12,113.9,8.38
12:12,114.1,8.36
12:12,114.1,8.38
12:12,114.1,8.37
12:13,113.9,8.38
12:13,113.4,8.37
12:13,113.1,8.38
12:13,112.6,8.37
12:13,112.3,8.38
12:13,111.7,8.37
12:14,111.2,8.38
12:14,110.6,8.38
12:14,110,8.37
12:14,109.5,8.37
12:14,108.8,8.37
12:14,108.1,8.37
12:15,107.3,8.37
12:15,106.8,8.38
12:15,106.4,8.36
12:15,105.8,8.37
12:15,105.3,8.38
12:15,105,8.36
12:16,104.3,8.38
12:16,103.8,8.38
12:16,103.4,8.37
12:16,103,8.38
12:16,102.7,8.37
12:16,102.3,8.38
12:17,101.8,8.37
12:17,101.5,8.38
12:17,100.9,8.38
12:17,100.6,8.38
12:17,100.3,8.38
12:17,100,8.37
12:18,99.7,8.36
12:18,99.4,8.38
12:18,99.1,8.37
12:18,98.8,8.37
12:18,98.5,8.38
12:18,98.3,8.38
12:19,98.1,8.37
12:19,97.8,8.36
12:19,97.6,8.37
12:19,97.4,8.37
12:19,97.3,8.37
12:19,97,8.38
12:20,96.8,8.37
12:20,96.6,8.38
12:20,96.6,8.37
12:20,96.5,8.38
12:20,96.2,8.38
12:20,96.1,8.38
12:21,96,8.37
12:21,95.8,8.37
12:21,95.6,8.38
12:21,95.5,8.37
12:21,95.5,8.36
12:21,95.4,8.4
12:22,95.2,8.38
12:22,95.2,8.36
12:22,95.1,8.38
12:22,95.1,8.4
12:22,95,8.4
12:22,94.9,8.37
12:23,94.8,8.37
12:23,94.8,8.4
12:23,94.7,8.37
12:23,94.7,8.37
12:23,94.6,8.37
12:23,94.5,8.37
12:24,94.6,8.37
12:24,94.5,8.37
12:24,94.9,8.38
12:24,94.4,8.38
12:24,94.3,8.38
12:24,94.3,8.38
12:25,94.3,8.38
12:25,94.2,8.37
12:25,94.2,8.37
12:25,94.2,8.38
12:25,94,8.38
12:25,94.1,8.38
12:26,94.1,8.37
12:26,94.1,8.38
12:26,94.1,8.37
12:26,94,8.38
