Date,Name,Latitude,Longitude,Altitude (m),Notes
2022-11-29 10:07:05.52,Nov 29, 2022 at 10:07 AM,-0.327247562818534,-78.19988094277512,4108.982200456342,"Horizontal Accuracy: ± 16 ft
Vertical Accuracy: ± 10 ft"
2022-11-30 10:48:38.97,14,-0.3277153149250221,-78.19945740520787,4108.670556372704,"(null)"
2022-11-30 09:53:31.18,13,-0.3282019263136463,-78.19985797636043,4108.324962506916,"(null)"
2022-11-30 08:56:29.31,12,-0.3282655868682342,-78.20016810677778,4105.854962621719,"(null)"
2022-11-29 11:42:42.98,11,-0.32671258784861,-78.19979796193373,4103.777187347412,"(null)"
2022-11-29 10:50:36.71,10,-0.3280940931293443,-78.20023206069898,4096.003261566162,"(null)"
2022-11-29 10:06:25.06,09,-0.3272485267373987,-78.19988463081252,4106.289473179307,"(null)"
2022-11-29 09:54:47.97,08,-0.3271883865821428,-78.19932849153709,4102.629564753144,"(null)"
2022-11-29 09:50:13.59,07,-0.3270406555387443,-78.19938565611672,4103.813553790571,"(null)"
2022-11-29 09:44:07.52,06,-0.3267845045778218,-78.19940107881855,4103.089687347412,"(null)"
2022-11-29 09:38:18.07,05,-0.3264767210933626,-78.19944416180086,4108.667812347412,"(null)"
2022-11-29 09:32:18.41,04,-0.3263238351795136,-78.19988681010734,4107.051113128662,"(null)"
2022-11-29 09:27:27.47,03,-0.3262813808399497,-78.20010507486593,4103.039882659912,"(null)"
2022-11-29 09:20:32.87,02,-0.3270663460719651,-78.20043808787894,4092.13500141848,"(null)"
2022-11-29 09:09:22.85,01,-0.3279267484325244,-78.20042241372001,4098.258770978942,"(null)"
2022-11-29 09:10:03.85,01,-0.3279267484325244,-78.20042241372001,4097.957442162505,"(null)"
