Date,Time_Start,Time_End,Site,Site2,Lat,Lon,Altitude,Bottle_no1,ppm_NOTcorrected,AirPress,AirTemp,notes,Plateu
11/28/22,11:16,12:20,Chakanas,Resotered outlet,,,,185,2035.256477,65.1585375,33.22836364,,yes
11/28/22,11:16,12:20,Chakanas,Resotered outlet,,,,187,2035.256477,65.1585375,33.22836364,,yes
11/28/22,12:30,15:08,Chakanas, Not restored outle,,,,292,856.1830961,65.46178125,25.17345455,end time determined by co2 data,yes
11/28/22,12:30,15:08,Chakanas, Not restored outle,,,,217,856.1830961,65.46178125,25.17345455,end time determined by co2 data,yes
11/29/22,9:11,10:30,Gavilan,Waypt01,-0.327926748,-78.20042241,4098.258771,256,4306,62.3876,17.349,,yes
11/29/22,9:11,10:30,Gavilan,Waypt01,-0.327926748,-78.20042241,4098.258771,257,4306,62.3876,17.349,,yes
11/29/22,10:50,11:21,Gavilan,waypt10,-0.328094093,-78.20023206,4096.003262,183,5659,62.378,16.163,this was not quite at platue when sensor was removed,no
11/29/22,10:50,11:21,Gavilan,waypt10,-0.328094093,-78.20023206,4096.003262,230,5659,62.378,16.163,this was not quite at platue when sensor was removed,no
11/29/22,11:43,12:30,Gavilan,waypt11,-0.326712588,-78.19979796,4103.777187,201,4953.3,62.2874,19.409,this was not quite at platue when sensor was removed,no
11/29/22,11:43,12:30,Gavilan,waypt11,-0.326712588,-78.19979796,4103.777187,224,4953.3,62.2874,19.409,this was not quite at platue when sensor was removed,no
11/29/22,12:18,13:18,Gavilan,Waypt03,-0.326281381,-78.20010507,4103.039883,175,3161,62.2779,16.649,"start time unknown, assumed 1hr before end time",no
11/29/22,12:18,13:18,Gavilan,Waypt03,-0.326281381,-78.20010507,4103.039883,266,3161,62.2779,16.649,"start time unknown, assumed 1hr before end time",no
11/29/22,13:30,14:30,Gavilan,waypy04,-0.326323835,-78.19988681,4107.051113,200,604.6,62.2045,20.388,"end time unkonwn, assumed 1 hr after start time",yes
11/29/22,13:30,14:30,Gavilan,waypy04,-0.326323835,-78.19988681,4107.051113,188,604.6,62.2045,20.388,"end time unkonwn, assumed 1 hr after start time",yes
11/29/22,,,Gavilan,Waypoint2,-0.327066346,-78.20043809,4092.135001,,,,,"no sample collected, and very litle water, but it was flagged so kept in case it helps with geolocation",NA
11/30/22,8:53,9:46,Gavilan,waypt12,-0.328265587,-78.20016811,4105.854963,159,2313,62.41286,20.8678,,yes
11/30/22,8:53,9:46,Gavilan,waypt12,-0.328265587,-78.20016811,4105.854963,209,2313,62.41286,20.8678,,yes
11/30/22,9:51,10:42,Gavilan,waypt13,-0.328201926,-78.19985798,4108.324963,269,5196,62.3799,21.6452,,no
11/30/22,9:51,10:42,Gavilan,waypt13,-0.328201926,-78.19985798,4108.324963,152,5196,62.3799,21.6452,,no
11/30/22,10:47,11:32,Gavilan,waypt14,-0.328201926,-78.19985798,4108.324963,149,2830,62.35184,22.71589,,no
11/30/22,10:47,11:32,Gavilan,waypt14,-0.328201926,-78.19985798,4108.324963,274,2830,62.35184,22.71589,,no
11/30/22,11:37,12:25,Gavilan,waypt08,-0.327188387,-78.19932849,4102.629565,156,776,62.32653,25.4558,,yes
11/30/22,11:37,12:25,Gavilan,waypt08,-0.327188387,-78.19932849,4102.629565,275,776,62.32653,25.4558,,yes
11/30/22,12:28,13:30,Gavilan,waypt07,-0.327040656,-78.19938566,4103.813554,258,917,62.29207,26.567,,yes
11/30/22,12:28,13:30,Gavilan,waypt07,-0.327040656,-78.19938566,4103.813554,172,917,62.29207,26.567,,yes
11/30/22,13:40,14:41,Gavilan,waypt06,-0.326784505,-78.19940108,4103.089687,231,1781,62.22477,24.67767,"I believe the date was wrong. 11/29 was written, I think 11/30 is correct",yes
11/30/22,13:40,14:41,Gavilan,waypt06,-0.326784505,-78.19940108,4103.089687,182,1781,62.22477,24.67767,"I believe the date was wrong. 11/29 was written, I think 11/30 is correct",yes
12/1/22,8:54,11:02,Gavilan,waypt05,-0.326476721,-78.19944416,4108.667812,178,4957.9,62.32975,17.02409,,no
12/1/22,8:54,11:02,Gavilan,waypt05,-0.326476721,-78.19944416,4108.667812,205,4957.9,62.32975,17.02409,,no
12/1/22,11:14,14:23,Gavilan,waypt09,-0.327248527,-78.19988463,4106.289473,245,7431.9,62.37455,29.69025,,yes
12/1/22,11:14,14:23,Gavilan,waypt09,-0.327248527,-78.19988463,4106.289473,276,7431.9,62.37455,29.69025,,yes
