"","Sample.Name","Site","Site2","Lat","Lon","Date","time","DateTime","Watertemp_c","AirPress_kpa","AirTemp_C","CO2_ppm","CO2_umol.L","CH4_umol.L","CH4_sat"
"1",256,"Gavilan","Waypt01",-0.327926748,-78.20042241,"11/29/22","10:30",2022-11-29 10:30:00,7.356,62.3881,6.743,10449.169322947,606.799133912203,5.2388,223897.2836
"2",257,"Gavilan","Waypt01",-0.327926748,-78.20042241,"11/29/22","10:30",2022-11-29 10:30:00,7.356,62.3881,6.743,10449.169322947,606.799133912203,2.2586,96529.4305
"3",183,"Gavilan","waypt10",-0.328094093,-78.20023206,"11/29/22","11:21",2022-11-29 11:15:00,7.334,62.3653,6.741,13732.6248426205,798.009743492535,0.2985,12751.5812
"4",230,"Gavilan","waypt10",-0.328094093,-78.20023206,"11/29/22","11:21",2022-11-29 11:15:00,7.334,62.3653,6.741,13732.6248426205,798.009743492535,0.3024,12919.1698
"5",201,"Gavilan","waypt11",-0.326712588,-78.19979796,"11/29/22","12:30",2022-11-29 12:30:00,7.304,62.2956,6.737,12020.6293064534,699.164472391231,0.8299,35457.1804
"6",224,"Gavilan","waypt11",-0.326712588,-78.19979796,"11/29/22","12:30",2022-11-29 12:30:00,7.304,62.2956,6.737,12020.6293064534,699.164472391231,0.8543,36495.7128
"7",175,"Gavilan","Waypt03",-0.326281381,-78.20010507,"11/29/22","13:18",2022-11-29 13:15:00,7.291,62.2576,6.73,7671.2700035195,446.366606063078,0.3492,14924.0301
"8",266,"Gavilan","Waypt03",-0.326281381,-78.20010507,"11/29/22","13:18",2022-11-29 13:15:00,7.291,62.2576,6.73,7671.2700035195,446.366606063078,0.2214,9459.775
"9",200,"Gavilan","waypy04",-0.326323835,-78.19988681,"11/29/22","14:30",2022-11-29 14:30:00,7.278,62.1824,6.725,1467.3411644377,85.4137570237745,0,0
"10",188,"Gavilan","waypy04",-0.326323835,-78.19988681,"11/29/22","14:30",2022-11-29 14:30:00,7.278,62.1824,6.725,1467.3411644377,85.4137570237745,0,0
"11",NA,"Gavilan","Waypoint2",-0.327066346,-78.20043809,"11/29/22","",NA,NA,NA,NA,NA,NA,NA,NA
"12",159,"Gavilan","waypt12",-0.328265587,-78.20016811,"11/30/22","9:46",2022-11-30 09:45:00,7.538,62.3872,6.724,5612.8523199435,324.143595642931,9.6714,414985.9361
"13",209,"Gavilan","waypt12",-0.328265587,-78.20016811,"11/30/22","9:46",2022-11-30 09:45:00,7.538,62.3872,6.724,5612.8523199435,324.143595642931,8.2002,351859.4234
"14",269,"Gavilan","waypt13",-0.328201926,-78.19985798,"11/30/22","10:42",2022-11-30 10:45:00,7.507,62.3582,6.739,12609.123844602,728.868034379759,2.555,109546.7525
"15",152,"Gavilan","waypt13",-0.328201926,-78.19985798,"11/30/22","10:42",2022-11-30 10:45:00,7.507,62.3582,6.739,12609.123844602,728.868034379759,2.5151,107835.4148
"16",149,"Gavilan","waypt14",-0.328201926,-78.19985798,"11/30/22","11:32",2022-11-30 11:30:00,7.486,62.3242,6.743,6867.700234585,397.240233734433,0.1893,8116.4834
"17",274,"Gavilan","waypt14",-0.328201926,-78.19985798,"11/30/22","11:32",2022-11-30 11:30:00,7.486,62.3242,6.743,6867.700234585,397.240233734433,0.1789,7668.8159
"18",156,"Gavilan","waypt08",-0.327188387,-78.19932849,"11/30/22","12:25",2022-11-30 12:30:00,7.464,62.2761,6.748,1883.213367212,109.001533782846,1.2702,54459.1484
"19",275,"Gavilan","waypt08",-0.327188387,-78.19932849,"11/30/22","12:25",2022-11-30 12:30:00,7.464,62.2761,6.748,1883.213367212,109.001533782846,1.5216,65237.7957
"20",258,"Gavilan","waypt07",-0.327040656,-78.19938566,"11/30/22","13:30",2022-11-30 13:30:00,7.451,62.227,6.745,2225.4627145415,128.862183899637,3.6229,155376.7667
"21",172,"Gavilan","waypt07",-0.327040656,-78.19938566,"11/30/22","13:30",2022-11-30 13:30:00,7.451,62.227,6.745,2225.4627145415,128.862183899637,3.8544,165307.8096
"22",231,"Gavilan","waypt06",-0.326784505,-78.19940108,"11/30/22","14:41",2022-11-30 14:45:00,7.454,62.1573,6.736,4322.4861976595,250.264394864401,0.8845,37824.5423
"23",182,"Gavilan","waypt06",-0.326784505,-78.19940108,"11/30/22","14:41",2022-11-30 14:45:00,7.454,62.1573,6.736,4322.4861976595,250.264394864401,0.9108,38952.6758
"24",178,"Gavilan","waypt05",-0.326476721,-78.19944416,"12/1/22","11:02",2022-12-01 11:00:00,8.234,62.3281,6.864,12031.5508524861,680.284209205142,20.0253,872465.0007
"25",205,"Gavilan","waypt05",-0.326476721,-78.19944416,"12/1/22","11:02",2022-12-01 11:00:00,8.234,62.3281,6.864,12031.5508524861,680.284209205142,16.7675,730525.3403
"26",245,"Gavilan","waypt09",-0.327248527,-78.19988463,"12/1/22","14:23",2022-12-01 14:30:00,8.182,62.1925,6.863,18036.825547609,1021.4416264932,1.7017,74065.9065
"27",276,"Gavilan","waypt09",-0.327248527,-78.19988463,"12/1/22","14:23",2022-12-01 14:30:00,8.182,62.1925,6.863,18036.825547609,1021.4416264932,1.65,71814.7042
