"","Reference","Site_Name","Location","latitude","longitude","Study.Years","CH4_umol.L","CO2_umol.L","Area_ha","Watertemp_c"
"1","Barber et al. (1988)","Mrazek Pond","Florida",27.7731,-82.64,"1984-1985","2.21","na",0.5,"25"
"2","Barber et al. (1988)","Arrow Lake","Florida",27.7731,-82.64,"1984-1985","1.34","na",4.4,"27"
"3","Barber et al. (1988)","Crescent Lake","Florida",27.7731,-82.64,"1984-1985","3.11","na",8,"28"
"4","Barber et al. (1988)","Lake Maggiore","Florida",27.7731,-82.64,"1984-1985","2.35","na",154,"28"
"5","Barber et al. (1988)","Mirror Lake","Florida",27.7731,-82.64,"1984-1985","1.29","na",4.4,"26"
"6","Bartlett et al. (1992)","Nunavakpak","Alaska",60.800159,-162.627975,"1988","0.21","na",13726.9,"12.5"
"7","Bartlett et al. (1992)","Kayigyalik","Alaska",61.037789,-162.53862,"1988","0.05","na",13985.9,"12.5"
"8","Bartlett et al. (1992)","Nunavakanukasklak Lake","Alaska",60.943962,-162.352844,"1988","0.09","na",7510.97,"12.5"
"9","Bastviken et al (2002)","Illersjön","Sweden",58.575735,14.991624,"1999-2000","0.55","na",3.9,"na"
"10","Bastviken et al (2002)","Ma_rn","Sweden",58.58247,15.861912,"1999-2000","0.1","na",4.5,"na"
"11","Bastviken et al (2002)","Lillsjön","Sweden",58.659082,16.143506,"1999-2000","0.1","na",2,"na"
"12","Bastviken et al. (2004)","Brown","WI + MN",46.21769,-89.475043,"2001","0.82","na",32.9,"na"
"13","Bastviken et al. (2004)","Crampton","WI + MN",46.209652,-89.473671,"2001","0.41","na",25.8,"na"
"14","Bastviken et al. (2004)","East Long","WI + MN",46.2166,-89.533,"2001","0.66","na",2.3,"na"
"15","Bastviken et al. (2004)","Hummingbird","WI + MN",46.2166,-89.533,"2001","0.68","na",0.8,"na"
"16","Bastviken et al. (2004)","Morris","WI + MN",46.2166,-89.533,"2001","1.22","na",5.9,"na"
"17","Bastviken et al. (2004)","North Gate","WI + MN",46.2166,-89.533,"2001","0.34","na",0.3,"na"
"18","Bastviken et al. (2004)","Paul","WI + MN",46.251541,-89.503676,"2001","2.15","na",1.7,"na"
"19","Bastviken et al. (2004)","Peter","WI + MN",46.253025,-89.503859,"2001","1.31","na",2.7,"na"
"20","Bastviken et al. (2004)","Roach","WI + MN",46.227719,-89.549608,"2001","0.27","na",45,"na"
"21","Bastviken et al. (2004)","Tuesday","WI + MN",46.251296,-89.497679,"2001","2.32","na",0.9,"na"
"22","Bastviken et al. (2004)","Ward","WI + MN",46.25493,-89.517476,"2001","1.22","na",2.7,"na"
"23","Bastviken et al. (2004)","Bisen","Sweden",59.959037,15.504268,"2000","0.11","na",43.3,"na"
"24","Bastviken et al. (2004)","L Sa_ngaren","Sweden",59.899823,15.392516,"2000","0.18","na",24,"na"
"25","Bastviken et al. (2004)","Ljustjärn","Sweden",59.923674,15.452679,"2000","0.47","na",13,"na"
"26","Bastviken et al. (2004)","Lövtjärn","Sweden",59.912857,15.406412,"2000","0.61","na",8.5,"na"
"27","Bastviken et al. (2004)","Ra_gåstjärnt","Sweden",59.914353,15.464101,"2000","1.1","na",4,"na"
"28","Bastviken et al. (2004)","Skottjärn","Sweden",59.941796,15.397125,"2000","1.84","na",2.8,"na"
"29","Bastviken et al. (2004)","Svarttjärn","Sweden",59.890571,15.257622,"2000","1.89","na",0.7,"na"
"30","Bastviken et al. (2004)","Fiolen","Sweden",57.082212,14.532362,"2000","0.08","na",150,"na"
