"","Site","Date","n","pCO2_w_uatm_sd","pCO2_w_uatm","pCO2_ppm","Watertemp_c","AirPress_kpa","pCO2_air_ppm","pCO2_air_uatm","KH_CO2_mol.L.atm","CO2_umol.L","CO2_sat_precent"
"1","S1","2022-07-07",2,0.645007209139727,223.027507061994,365.893123748147,5.037,61.64864,418.53,254.70686376308,0.0631910167487104,14.0933349341776,87.562425200071
"2","S1","2022-07-14",3,33.3453240090445,307.241975803183,502.079079208699,6.268,61.89142,418.53,255.709931022705,0.0608343065697903,18.6908525471189,120.152539470946
"3","S1","2022-07-25",3,42.4530521553795,375.280028345933,613.805695383353,6.877,61.83665,418.53,255.48364387463,0.0597084765177927,22.4073987600897,146.890040651718
"4","S10","2022-07-05",1,NA,3836.29936239464,6088.5119014167,7.36585,63.72989,418.53,263.305734074038,0.0588233073065493,225.663816314059,1456.97524434311
"5","S10","2022-07-08",1,NA,2692.68492014376,4268.3870988327,7.28,63.80642,418.53,263.62192460612,0.0589775796157716,158.808039257966,1021.41918740898
"6","S10","2022-07-18",1,NA,2986.14565335513,4733.3770712254,7.582,63.80909,418.53,263.632955949655,0.05843708537215,174.501648478789,1132.69057830744
"7","S10","2022-10-16",1,NA,2542.07218728985,4129.14640303177,8.481,62.2664,418.53,257.259194392892,0.0568639188376262,144.552186537437,988.136573034407
"8","S11","2022-07-05",3,689.320509921343,1813.08651692379,2878.41654609599,7.179,63.70984,418.53,263.222895707799,0.0591597160378301,107.26168349323,688.802739612926
"9","S11","2022-07-08",3,398.157464504978,1733.91053945737,2749.03532780739,7.381,63.79533,418.53,263.576105280355,0.0587961344860409,101.947237264699,657.840564725349
"10","S11","2022-07-18",3,614.284360491425,2170.93476338072,3442.96196408494,8.282,63.77594,418.53,263.49599376308,0.0572076004522085,124.193968551294,823.896687147623
"11","S11","2022-10-16",2,56.8632292595829,1970.64878909709,3201.27307332815,8.978,62.2605,418.53,257.234818015795,0.0560166484757324,110.38914048798,766.089444771855
"12","S12","2022-07-05",3,2878.70873674074,6289.68145450814,9978.10496741779,6.978,63.75624,418.53,263.41460145311,0.0595242545835881,374.388600147815,2387.74973741453
"13","S12","2022-07-08",3,1997.82946203952,7566.70761886359,11988.0451387143,7.079,63.84128,418.53,263.765951810464,0.0593407332200717,449.013978165268,2868.72038143151
"14","S12","2022-07-18",3,453.159147772655,4523.7601684082,7173.4462127808,7.079,63.78435,418.53,263.530740429418,0.0593407332200717,268.443245305098,1716.59676629635
"15","S12","2022-10-16",2,39.8795068054745,2531.86293114579,4111.62708093466,8.382,62.2806,418.53,257.317862961501,0.057034576534321,144.403730120845,983.94371148831
"16","S2","2022-07-07",2,1.91116584022191,205.682952727329,337.103652673081,4.5814,61.7099,418.53,254.959964925962,0.0640916858969392,13.182567200555,80.6726470907137
"17","S2","2022-07-14",3,37.9471055895294,282.091065009119,460.71030418219,7.0384,61.92754,418.53,255.859164029615,0.059414421168314,16.76027734427,110.25247662283
