"","vaisala","air_co2_ppm","pre_plateau_co2_ppm","plateau_co2_ppm","post_plateau_co2_ppm"
"1","xn10m",341.557834619173,5760.71862340403,5697.2062904989,5630.61992193821
"2","x10m",320.024172834305,5548.0903341129,6533.03016739784,5945.65318065422
"3","x50m",NA,2373.1536716284,2650.78046783388,2456.93327278314
