"","vaisala","air_co2_ppm","pre_plateau_co2_ppm","plateau_co2_ppm","post_plateau_co2_ppm"
"1","xn10m",245.737419479645,1153.72142220911,1160.89834127636,NA
"2","x0m",431.543775301403,1221.04233159494,7894.93759501299,1167.32243197208
"3","x15m",336.108839023408,593.907305585,3754.76481415969,801.364091790086
"4","x30m",312.941609419539,1019.58840595213,2272.22697791653,1056.89263679654
