x,depth_in,depth,velocity,segment,Q,Qtotal
15,-,,-,0.15,,0.0090424
17,9,22.86,0.06,0.21,0.00082296,
25,10,25.4,0.1,0.275,0.001651,
30,10,25.4,0.08,0.325,0.001016,
35,10,25.4,0.07,0.375,0.000889,
40,10,25.4,0.09,0.425,0.001143,
45,10,25.4,0.09,0.475,0.001143,
50,10,25.4,0.08,0.55,0.001524,
60,8,20.32,0.06,0.62,0.00085344,
64,,,,,,
