x,depth,velocity,segment,Q,Qtotal
12,-,-,0.12,,0.01237
20,25,0.07,0.25,0.002275,
30,22,0.15,0.325,0.002475,
35,18,0.15,0.375,0.00135,
40,17,0.1,0.425,0.00085,
45,16,0.11,0.475,0.00088,
50,17,0.16,0.525,0.00136,
55,16,0.22,0.6,0.00264,
65,12,0.06,0.675,0.00054,
70,,,,,
