"DateTime","AirPress_kpa","AirTemp_C","Stn01_WL_m","Stn01_WLTemp_C","Stn02_WL_m","Stn02_WLTemp_C","Stn03_WL_m","Stn03_WLTemp_C","Stn04_WL_m","Stn04_WLTemp_C","Stn05_WL_m","Stn05_WLTemp_C","Stn06_WL_m","Stn06_WLTemp_C"
2021-06-11 10:45:00,62.5984,11.709,0.1457995656,8.751,0.132828727200001,8.978,0.2557049872,7.782,0.0711356672000001,7.481,NA,NA,NA,NA
2021-06-11 11:00:00,62.5464,9.425,0.1474209204,8.774,0.1376214112,9.176,0.2574385112,7.882,0.0741948272000002,7.582,NA,NA,NA,NA
2021-06-11 11:15:00,62.5531,8.688,0.1477982168,8.807,0.1395894708,9.275,NA,NA,0.0752451387999996,7.782,NA,NA,NA,NA
2021-06-11 11:30:00,62.5587,8.386,0.147390328799999,8.865,0.1416696996,9.373,NA,NA,NA,NA,NA,NA,NA,NA
2021-06-11 11:45:00,62.5293,8.241,0.1486139928,8.933,0.1418124604,9.571,NA,NA,0.0804253163999998,8.879,NA,NA,NA,NA
2021-06-11 12:00:00,62.5381,8.165,0.1483794572,8.977,0.1415269388,9.768,0.2593045988,8.282,0.0783042987999997,8.382,NA,NA,NA,NA
2021-06-11 12:15:00,62.5267,8.126,0.1486649788,9.006,0.1426894196,9.768,0.2604670796,8.282,0.0779371995999999,8.282,NA,NA,NA,NA
2021-06-11 12:30:00,62.5208,8.104,0.148318274,9.04,0.1420673904,9.768,0.2600489944,8.382,0.0773151704000002,8.282,NA,NA,NA,NA
2021-06-11 12:45:00,62.5238,8.089,0.1483590628,9.073,0.1432910544,9.866,0.259947022399999,8.481,0.0772131983999997,8.382,NA,NA,0.3794582064,9.275
2021-06-11 13:00:00,62.517,8.076,0.1485426124,9.101,0.141639108,9.866,0.259314796,8.481,0.0766829439999995,8.382,0.444597919999999,10.553,0.37576682,7.682
2021-06-11 13:15:00,62.5134,8.066,0.148318274,9.109,0.1423121232,9.965,0.259987811200001,8.581,0.0770500432000001,8.382,0.4391526152,7.782,0.3772556112,7.682
2021-06-11 13:30:00,62.5,8.062,0.1478899916,9.107,0.142148968,9.866,0.2600286,8.581,0.0786204120000001,8.481,0.438581572,7.582,0.377500344,7.682
2021-06-11 13:45:00,62.4853,8.059,0.148664978799999,9.12,0.1409966844,9.768,0.2605078684,8.68,0.0788957363999998,8.481,0.438143092399999,7.682,0.3766539764,7.682
2021-06-11 14:00:00,62.4727,8.053,0.148399851599999,9.13,0.1435051956,9.768,0.2592434156,8.68,0.0779371995999999,8.581,0.4374904716,7.782,0.3779388236,7.682
2021-06-11 14:15:00,62.4573,8.054,0.1488893172,9.135,0.1419144324,9.866,0.2594881484,8.68,0.0772641844000007,8.68,0.4367154844,7.782,0.375328340400001,7.882
2021-06-11 14:30:00,62.4556,8.055,0.1486649788,9.161,0.1432094768,9.866,0.2599674168,8.779,0.0776414808000002,8.779,0.4360730608,7.882,0.3766233848,7.882
2021-06-11 14:45:00,62.4388,8.055,0.1486853732,9.203,0.1417614744,9.965,0.2593351904,8.879,0.0783348904,8.879,0.4354408344,8.182,0.3753793264,8.082
2021-06-11 15:00:00,62.4258,8.056,0.148573204,9.248,0.1421693624,10.063,0.259335190399999,8.879,0.0787427783999998,8.978,0.4367664704,8.182,0.3757872144,8.182
2021-06-11 15:15:00,62.405,8.054,0.1491646416,9.292,0.143372632,10.161,0.260436488,8.978,0.0798440760000001,9.077,0.43695002,8.282,0.376990484,8.282
