,Date,Time,ms,LEVEL,TEMPERATURE,LEVEL_m,discharge_m3perS
1,8/14/2019,1:00:00 PM,0,2.4324,2.528,0.258036693,0.017862914
2,8/14/2019,1:15:00 PM,0,2.3426,2.559,0.248879607,0.015681197
3,8/14/2019,1:30:00 PM,0,2.2232,2.649,0.23670415,0.013033058
4,8/14/2019,1:45:00 PM,0,2.1378,2.704,0.227995742,0.011315949
5,8/14/2019,2:00:00 PM,0,2.2584,2.647,0.240293565,0.013783763
6,8/14/2019,2:15:00 PM,0,2.2096,2.595,0.235317331,0.012749728
7,8/14/2019,2:30:00 PM,0,2.2348,2.559,0.237887026,0.01327768
8,8/14/2019,2:45:00 PM,0,2.1878,2.523,0.233094342,0.012303374
9,8/14/2019,3:00:00 PM,0,2.2079,2.489,0.235143979,0.012714575
10,8/14/2019,3:15:00 PM,0,2.1611,2.564,0.230371689,0.011769795
11,8/14/2019,3:30:00 PM,0,2.1799,2.671,0.232288763,0.012143996
12,8/14/2019,3:45:00 PM,0,2.1453,2.671,0.228760532,0.011460837
13,8/14/2019,4:00:00 PM,0,2.1627,2.61,0.230534844,0.011801363
14,8/14/2019,4:15:00 PM,0,2.1645,2.515,0.230718394,0.01183694
15,8/14/2019,4:30:00 PM,0,2.1164,2.441,0.225813541,0.010908789
16,8/14/2019,4:45:00 PM,0,2.1107,2.378,0.2252323,0.010801903
17,8/14/2019,5:00:00 PM,0,2.0933,2.308,0.223457988,0.010479686
18,8/14/2019,5:15:00 PM,0,2.0707,2.231,0.22115342,0.01007032
19,8/14/2019,5:30:00 PM,0,2.0527,2.191,0.219317924,0.00975167
20,8/14/2019,5:45:00 PM,0,2.0575,2.156,0.21980739,0.009836003
21,8/14/2019,6:00:00 PM,0,2.0675,2.098,0.22082711,0.010013192
22,8/14/2019,6:15:00 PM,0,2.0063,2.013,0.214586424,0.008960494
23,8/14/2019,6:30:00 PM,0,1.9693,1.935,0.21081346,0.00836082
24,8/14/2019,6:45:00 PM,0,1.96,1.874,0.20986512,0.008214448
25,8/14/2019,7:00:00 PM,0,1.9666,1.813,0.210538135,0.008318145
26,8/14/2019,7:15:00 PM,0,1.9888,1.724,0.212801914,0.008673412
27,8/14/2019,7:30:00 PM,0,1.9316,1.627,0.206969115,0.007778293
28,8/14/2019,7:45:00 PM,0,1.9645,1.535,0.210323994,0.008285054
29,8/14/2019,8:00:00 PM,0,1.9504,1.456,0.208886189,0.008065189
30,8/14/2019,8:15:00 PM,0,1.9439,1.426,0.208223371,0.007965187
31,8/14/2019,8:30:00 PM,0,1.9474,1.431,0.208580273,0.008018928
32,8/14/2019,8:45:00 PM,0,1.9468,1.439,0.20851909,0.008009698
33,8/14/2019,9:00:00 PM,0,1.9444,1.446,0.208274357,0.00797285
34,8/14/2019,9:15:00 PM,0,1.8995,1.445,0.203695814,0.007304964
35,8/14/2019,9:30:00 PM,0,1.8855,1.427,0.202268206,0.007105058
36,8/14/2019,9:45:00 PM,0,1.8978,1.273,0.203522462,0.007280479
37,8/14/2019,10:00:00 PM,0,1.9142,1.142,0.205194802,0.007519135
38,8/14/2019,10:15:00 PM,0,1.8995,1.003,0.203695814,0.007304964
39,8/14/2019,10:30:00 PM,0,1.9218,0.825,0.20596979,0.007631577
40,8/14/2019,10:45:00 PM,0,1.9195,0.839,0.205735254,0.007597425
41,8/14/2019,11:00:00 PM,0,1.9268,0.85,0.20647965,0.007706189
42,8/14/2019,11:15:00 PM,0,1.9348,0.919,0.207295426,0.007826621
43,8/14/2019,11:30:00 PM,0,1.9498,0.976,0.208825006,0.008055922
44,8/14/2019,11:45:00 PM,0,1.9667,1.026,0.210548332,0.008319722
45,8/15/2019,12:00:00 AM,0,1.9406,1.064,0.207886863,0.007914745
46,8/15/2019,12:15:00 AM,0,1.9248,1.093,0.206275706,0.007676284
47,8/15/2019,12:30:00 AM,0,1.9338,1.115,0.207193454,0.007811497
48,8/15/2019,12:45:00 AM,0,1.9519,1.121,0.209039147,0.008088388
49,8/15/2019,1:00:00 AM,0,1.9424,1.127,0.208070413,0.007942232
50,8/15/2019,1:15:00 AM,0,1.954,1.132,0.209253288,0.008120942
51,8/15/2019,1:30:00 AM,0,1.9327,1.141,0.207081284,0.007794883
52,8/15/2019,1:45:00 AM,0,1.938,1.139,0.207621736,0.007875157
53,8/15/2019,2:00:00 AM,0,1.9387,1.118,0.207693116,0.007885802
54,8/15/2019,2:15:00 AM,0,1.9022,0.937,0.203971138,0.007343974
55,8/15/2019,2:30:00 AM,0,1.8851,0.726,0.202227417,0.007099405
56,8/15/2019,2:45:00 AM,0,1.8792,0.563,0.201625782,0.007016394
57,8/15/2019,3:00:00 AM,0,1.8857,0.385,0.2022886,0.007107886
58,8/15/2019,3:15:00 AM,0,1.8933,0.281,0.203063588,0.007215945
59,8/15/2019,3:30:00 AM,0,1.8746,0.259,0.201156711,0.006952163
60,8/15/2019,3:45:00 AM,0,1.8817,0.203,0.201880712,0.007051482
61,8/15/2019,4:00:00 AM,0,1.8868,0.167,0.20240077,0.007123454
62,8/15/2019,4:15:00 AM,0,1.8613,0.055,0.199800484,0.006768858
63,8/15/2019,4:30:00 AM,0,1.8301,0.044,0.196618957,0.006352899
64,8/15/2019,4:45:00 AM,0,1.8402,0.037,0.197648874,0.006485396
65,8/15/2019,5:00:00 AM,0,1.8153,-0.072,0.195109772,0.006162473
66,8/15/2019,5:15:00 AM,0,1.818,-0.047,0.195385096,0.006196882
67,8/15/2019,5:30:00 AM,0,1.8386,0.064,0.197485719,0.006464269
68,8/15/2019,5:45:00 AM,0,1.8548,0.109,0.199137666,0.006680576
69,8/15/2019,6:00:00 AM,0,1.8466,0.141,0.198301495,0.006570423
70,8/15/2019,6:15:00 AM,0,1.8635,0.159,0.200024822,0.006798932
71,8/15/2019,6:30:00 AM,0,1.8522,0.172,0.198872538,0.006645502
72,8/15/2019,6:45:00 AM,0,1.8741,0.183,0.201105725,0.006945207
73,8/15/2019,7:00:00 AM,0,1.8738,0.202,0.201075134,0.006941036
74,8/15/2019,7:15:00 AM,0,1.8515,0.223,0.198801158,0.006636083
75,8/15/2019,7:30:00 AM,0,1.8523,0.238,0.198882736,0.006646849
76,8/15/2019,7:45:00 AM,0,1.87,0.266,0.20068764,0.006888359
77,8/15/2019,8:00:00 AM,0,1.8662,0.302,0.200300146,0.006835975
78,8/15/2019,8:15:00 AM,0,1.8408,0.348,0.197710058,0.006493332
79,8/15/2019,8:30:00 AM,0,1.8655,0.43,0.200228766,0.006826357
80,8/15/2019,8:45:00 AM,0,1.8553,0.517,0.199188652,0.006687336
81,8/15/2019,9:00:00 AM,0,1.8485,0.583,0.198495242,0.006595825
82,8/15/2019,9:15:00 AM,0,1.8564,0.661,0.199300821,0.006702228
83,8/15/2019,9:30:00 AM,0,1.8666,0.777,0.200340935,0.006841475
84,8/15/2019,9:45:00 AM,0,1.88,0.941,0.20170736,0.007027608
85,8/15/2019,10:00:00 AM,0,1.8855,1.031,0.202268206,0.007105058
86,8/15/2019,10:15:00 AM,0,1.891,1.105,0.202829052,0.00718312
87,8/15/2019,10:30:00 AM,0,1.877,1.194,0.201401444,0.006985621
88,8/15/2019,10:45:00 AM,0,1.8895,1.279,0.202676094,0.007161769
89,8/15/2019,11:00:00 AM,0,1.8988,1.452,0.203624434,0.007294875
90,8/15/2019,11:15:00 AM,0,1.9181,1.567,0.205592493,0.007576689
91,8/15/2019,11:30:00 AM,0,1.9402,1.615,0.207846074,0.007908645
92,8/15/2019,11:45:00 AM,0,1.9412,1.797,0.207948046,0.0079239
93,8/15/2019,12:00:00 PM,0,1.976,2.118,0.211496672,0.008467356
94,8/15/2019,12:15:00 PM,0,1.9706,2.386,0.210946023,0.00838142
95,8/15/2019,12:30:00 PM,0,1.9596,2.301,0.209824331,0.008208191
96,8/15/2019,12:45:00 PM,0,1.9571,2.337,0.209569401,0.008169162
97,8/15/2019,1:00:00 PM,0,1.95,2.451,0.2088454,0.00805901
98,8/15/2019,1:15:00 PM,0,1.9665,2.979,0.210527938,0.008316567
99,8/15/2019,1:30:00 PM,0,1.9968,3.788,0.21361769,0.008803881
100,8/15/2019,1:45:00 PM,0,1.9946,3.741,0.213393351,0.008767873
101,8/15/2019,2:00:00 PM,0,1.9822,3.589,0.212128898,0.00856675
102,8/15/2019,2:15:00 PM,0,1.9699,3.327,0.210874643,0.008370324
103,8/15/2019,2:30:00 PM,0,1.9602,3.225,0.209885514,0.008217577
104,8/15/2019,2:45:00 PM,0,1.9455,3.015,0.208386526,0.007989724
105,8/15/2019,3:00:00 PM,0,1.921,2.589,0.205888212,0.007619686
106,8/15/2019,3:15:00 PM,0,1.8906,2.265,0.202788263,0.007177422
107,8/15/2019,3:30:00 PM,0,1.8885,1.964,0.202574122,0.007147561
108,8/15/2019,3:45:00 PM,0,1.8816,1.807,0.201870515,0.007050076
109,8/15/2019,4:00:00 PM,0,1.8733,1.773,0.201024148,0.006934088
110,8/15/2019,4:15:00 PM,0,1.8726,1.743,0.200952767,0.006924369
111,8/15/2019,4:30:00 PM,0,1.8799,1.775,0.201697163,0.007026206
112,8/15/2019,4:45:00 PM,0,1.8782,1.847,0.20152381,0.007002394
113,8/15/2019,5:00:00 PM,0,1.8602,1.822,0.199688314,0.006753858
114,8/15/2019,5:15:00 PM,0,1.8535,1.692,0.199005102,0.006663022
115,8/15/2019,5:30:00 PM,0,1.8557,1.531,0.19922944,0.006692749
116,8/15/2019,5:45:00 PM,0,1.8444,1.315,0.198077157,0.006541102
117,8/15/2019,6:00:00 PM,0,1.8636,1.114,0.200035019,0.006800302
118,8/15/2019,6:15:00 PM,0,1.8464,0.926,0.198281101,0.006567754
119,8/15/2019,6:30:00 PM,0,1.8541,0.778,0.199066285,0.006671119
120,8/15/2019,6:45:00 PM,0,1.8302,0.575,0.196629154,0.006354201
121,8/15/2019,7:00:00 PM,0,1.8392,0.443,0.197546902,0.006472186
122,8/15/2019,7:15:00 PM,0,1.8412,0.392,0.197750846,0.006498627
123,8/15/2019,7:30:00 PM,0,1.833,0.412,0.196914676,0.006390731
124,8/15/2019,7:45:00 PM,0,1.8441,0.402,0.198046565,0.006537111
125,8/15/2019,8:00:00 PM,0,1.8189,0.337,0.195476871,0.006208385
126,8/15/2019,8:15:00 PM,0,1.8329,0.336,0.196904479,0.006389424
127,8/15/2019,8:30:00 PM,0,1.8315,0.419,0.196761718,0.006371142
128,8/15/2019,8:45:00 PM,0,1.8247,0.492,0.196068308,0.006282905
129,8/15/2019,9:00:00 PM,0,1.8396,0.535,0.197587691,0.006477467
130,8/15/2019,9:15:00 PM,0,1.8343,0.548,0.19704724,0.006407746
131,8/15/2019,9:30:00 PM,0,1.8267,0.511,0.196272252,0.00630876
132,8/15/2019,9:45:00 PM,0,1.8305,0.514,0.196659746,0.006358107
133,8/15/2019,10:00:00 PM,0,1.8251,0.523,0.196109097,0.00628807
134,8/15/2019,10:15:00 PM,0,1.8134,0.53,0.194916025,0.006138347
135,8/15/2019,10:30:00 PM,0,1.8062,0.529,0.194181826,0.006047587
136,8/15/2019,10:45:00 PM,0,1.7979,0.525,0.193335459,0.005944262
137,8/15/2019,11:00:00 PM,0,1.7942,0.513,0.192958162,0.00589865
138,8/15/2019,11:15:00 PM,0,1.7921,0.504,0.192744021,0.005872886
139,8/15/2019,11:30:00 PM,0,1.777,0.489,0.191204244,0.005690257
140,8/15/2019,11:45:00 PM,0,1.7836,0.473,0.191877259,0.005769514
141,8/16/2019,12:00:00 AM,0,1.7788,0.457,0.191387794,0.005711785
142,8/16/2019,12:15:00 AM,0,1.7585,0.448,0.189317762,0.005472794
143,8/16/2019,12:30:00 AM,0,1.7666,0.436,0.190143735,0.005567155
144,8/16/2019,12:45:00 AM,0,1.7596,0.37,0.189429931,0.005485531
145,8/16/2019,1:00:00 AM,0,1.7649,0.358,0.189970383,0.005547241
146,8/16/2019,1:15:00 AM,0,1.7622,0.353,0.189695058,0.005515732
147,8/16/2019,1:30:00 AM,0,1.7672,0.36,0.190204918,0.005574198
148,8/16/2019,1:45:00 AM,0,1.7625,0.367,0.18972565,0.005519226
149,8/16/2019,2:00:00 AM,0,1.7628,0.368,0.189756242,0.005522722
150,8/16/2019,2:15:00 AM,0,1.7584,0.371,0.189307565,0.005471637
151,8/16/2019,2:30:00 AM,0,1.7482,0.352,0.18826745,0.005354722
152,8/16/2019,2:45:00 AM,0,1.7405,0.324,0.187482266,0.005267856
153,8/16/2019,3:00:00 AM,0,1.7402,0.296,0.187451674,0.005264496
154,8/16/2019,3:15:00 AM,0,1.726,0.275,0.186003672,0.005107535
155,8/16/2019,3:30:00 AM,0,1.7264,0.261,0.186044461,0.0051119
156,8/16/2019,3:45:00 AM,0,1.7279,0.257,0.186197419,0.0051283
157,8/16/2019,4:00:00 AM,0,1.713,0.252,0.184678036,0.004967416
158,8/16/2019,4:15:00 AM,0,1.7042,0.237,0.183780682,0.004874507
159,8/16/2019,4:30:00 AM,0,1.7013,0.227,0.183484964,0.004844232
160,8/16/2019,4:45:00 AM,0,1.6857,0.214,0.1818942,0.004684297
161,8/16/2019,5:00:00 AM,0,1.6864,0.209,0.181965581,0.004691368
162,8/16/2019,5:15:00 AM,0,1.6766,0.202,0.180966255,0.004593275
163,8/16/2019,5:30:00 AM,0,1.6674,0.194,0.180028113,0.004502956
164,8/16/2019,5:45:00 AM,0,1.6573,0.175,0.178998196,0.004405774
165,8/16/2019,6:00:00 AM,0,1.6591,0.152,0.179181745,0.004422943
166,8/16/2019,6:15:00 AM,0,1.6596,0.13,0.179232731,0.004427723
167,8/16/2019,6:30:00 AM,0,1.6577,0.11,0.179038984,0.004409584
168,8/16/2019,6:45:00 AM,0,1.6422,0.107,0.177458418,0.004264332
169,8/16/2019,7:00:00 AM,0,1.6297,0.134,0.176183768,0.004150735
170,8/16/2019,7:15:00 AM,0,1.6401,0.16,0.177244277,0.004245027
171,8/16/2019,7:30:00 AM,0,1.6439,0.234,0.177631771,0.004280026
172,8/16/2019,7:45:00 AM,0,1.6296,0.283,0.176173571,0.004149839
173,8/16/2019,8:00:00 AM,0,1.6327,0.406,0.176489684,0.00417771
174,8/16/2019,8:15:00 AM,0,1.6536,0.622,0.178620899,0.004370689
175,8/16/2019,8:30:00 AM,0,1.6612,0.807,0.179395886,0.004443055
176,8/16/2019,8:45:00 AM,0,1.6962,0.981,0.182964906,0.004791404
177,8/16/2019,9:00:00 AM,0,1.6948,1.174,0.182822146,0.004776994
178,8/16/2019,9:15:00 AM,0,1.7277,1.415,0.186177024,0.005126111
179,8/16/2019,9:30:00 AM,0,1.7498,1.709,0.188430606,0.005372922
180,8/16/2019,9:45:00 AM,0,1.7653,2,0.190011172,0.005551921
181,8/16/2019,10:00:00 AM,0,1.7983,2.32,0.193376248,0.005949209
182,8/16/2019,10:15:00 AM,0,1.8242,2.879,0.196017322,0.006276454
183,8/16/2019,10:30:00 AM,0,1.8479,3.664,0.198434059,0.006587796
184,8/16/2019,10:45:00 AM,0,1.8719,4.407,0.200881387,0.006914661
185,8/16/2019,11:00:00 AM,0,1.8905,4.927,0.202778066,0.007175998
186,8/16/2019,11:15:00 AM,0,1.8499,5.504,0.198638003,0.006614589
187,8/16/2019,11:30:00 AM,0,1.8858,6.245,0.202298798,0.0071093
