"Plot Title: DO_01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °F (LGR S/N: 20645539, SEN S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","Coupler Detached (LGR S/N: 20645539)","Stopped (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
1,07/12/19 05:00:00 PM,5.30,55.11,,,,,
2,07/12/19 05:15:00 PM,5.28,54.79,,,,,
3,07/12/19 05:30:00 PM,5.20,54.46,,,,,
4,07/12/19 05:45:00 PM,5.04,54.00,,,,,
5,07/12/19 06:00:00 PM,4.92,53.53,,,,,
6,07/12/19 06:15:00 PM,4.80,53.10,,,,,
7,07/12/19 06:30:00 PM,4.67,52.66,,,,,
8,07/12/19 06:45:00 PM,4.54,52.23,,,,,
9,07/12/19 07:00:00 PM,4.43,51.87,,,,,
10,07/12/19 07:15:00 PM,4.34,51.51,,,,,
11,07/12/19 07:30:00 PM,4.24,51.22,,,,,
12,07/12/19 07:45:00 PM,4.15,50.94,,,,,
13,07/12/19 08:00:00 PM,4.08,50.68,,,,,
14,07/12/19 08:15:00 PM,4.01,50.47,,,,,
15,07/12/19 08:30:00 PM,3.95,50.22,,,,,
16,07/12/19 08:45:00 PM,3.88,50.00,,,,,
17,07/12/19 09:00:00 PM,3.83,49.86,,,,,
18,07/12/19 09:15:00 PM,3.79,49.60,,,,,
19,07/12/19 09:30:00 PM,3.74,49.39,,,,,
20,07/12/19 09:45:00 PM,3.71,49.21,,,,,
21,07/12/19 10:00:00 PM,3.67,49.06,,,,,
22,07/12/19 10:15:00 PM,3.62,48.92,,,,,
23,07/12/19 10:30:00 PM,3.59,48.74,,,,,
24,07/12/19 10:45:00 PM,3.56,48.60,,,,,
25,07/12/19 11:00:00 PM,3.53,48.49,,,,,
26,07/12/19 11:15:00 PM,3.50,48.38,,,,,
27,07/12/19 11:30:00 PM,3.47,48.27,,,,,
28,07/12/19 11:45:00 PM,3.46,48.13,,,,,
29,07/13/19 12:00:00 AM,3.45,48.06,,,,,
30,07/13/19 12:15:00 AM,3.45,47.95,,,,,
31,07/13/19 12:30:00 AM,3.44,47.84,,,,,
32,07/13/19 12:45:00 AM,3.44,47.73,,,,,
33,07/13/19 01:00:00 AM,3.43,47.66,,,,,
