Fecha,Valor,M‡ximo,M’nimo
1/1/19,1.4,1.5,1.3
1/1/19,1.32,1.4,1.3
1/1/19,1.3,1.3,1.3
1/1/19,1.2,1.2,1.2
1/1/19,1.18,1.2,1.1
1/1/19,1.22,1.3,1.1
1/1/19,1.18,1.3,1.1
1/1/19,1.02,1.1,1
1/1/19,1,1.1,0.9
1/1/19,0.92,1,0.9
1/1/19,1.04,1.1,1
1/1/19,0.96,1.1,0.9
1/1/19,1.04,1.1,1
1/1/19,0.88,1,0.8
1/1/19,0.72,0.8,0.7
1/1/19,0.6,0.6,0.6
1/1/19,0.52,0.6,0.4
1/1/19,0.42,0.5,0.4
1/1/19,0.4,0.4,0.4
1/1/19,0.4,0.4,0.4
1/1/19,0.34,0.4,0.3
1/1/19,0.36,0.4,0.3
1/1/19,0.32,0.4,0.3
1/1/19,0.24,0.3,0.2
1/1/19,0.1,0.1,0.1
1/1/19,0.14,0.2,0.1
1/1/19,0.2,0.2,0.2
1/1/19,0.12,0.2,0.1
1/1/19,0.24,0.3,0.2
1/1/19,0.22,0.3,0.2
1/1/19,0.12,0.2,0.1
1/1/19,0.14,0.2,0.1
1/1/19,0.14,0.2,0.1
1/1/19,0.1,0.1,0.1
1/1/19,0.16,0.2,0.1
1/1/19,0.3,0.3,0.3
1/1/19,0.24,0.3,0.2
1/1/19,0.34,0.4,0.3
1/1/19,0.44,0.5,0.4
1/1/19,0.62,0.7,0.5
1/1/19,0.7,0.7,0.7
1/1/19,0.6,0.6,0.6
1/1/19,0.64,0.7,0.6
1/1/19,0.66,0.7,0.6
1/1/19,0.7,0.7,0.7
1/1/19,0.66,0.7,0.6
1/1/19,0.74,0.8,0.7
1/1/19,0.7,0.7,0.7
1/1/19,0.7,0.7,0.7
1/1/19,0.76,0.8,0.7
1/1/19,0.7,0.7,0.7
1/1/19,0.7,0.7,0.7
1/1/19,0.72,0.8,0.7
1/1/19,0.8,0.8,0.8
1/1/19,0.74,0.8,0.7
1/1/19,0.84,0.9,0.8
1/1/19,0.9,0.9,0.9
1/1/19,0.98,1,0.9
1/1/19,1.02,1.1,1
1/1/19,1.1,1.1,1.1
1/1/19,1.1,1.1,1.1
1/1/19,1.16,1.2,1.1
1/1/19,1.22,1.3,1.2
1/1/19,1.22,1.3,1.2
1/1/19,1.2,1.2,1.2
1/1/19,1.16,1.2,1.1
1/1/19,1.22,1.3,1.2
1/1/19,1.3,1.3,1.3
1/1/19,1.3,1.3,1.3
1/1/19,1.3,1.3,1.3
1/1/19,1.32,1.4,1.3
1/1/19,1.36,1.4,1.3
1/1/19,1.4,1.4,1.4
1/1/19,1.46,1.6,1.4
1/1/19,1.58,1.6,1.5
1/1/19,1.54,1.6,1.5
1/1/19,1.58,1.6,1.5
1/1/19,1.56,1.6,1.5
1/1/19,1.62,1.7,1.5
1/1/19,1.68,1.7,1.6
1/1/19,1.8,1.8,1.8
1/1/19,1.8,1.8,1.8
1/1/19,2.02,2.1,1.9
1/1/19,1.96,2,1.9
1/1/19,2,2.1,1.9
1/1/19,2.08,2.2,2
1/1/19,2.14,2.2,2.1
1/1/19,2.1,2.1,2.1
1/1/19,2.12,2.2,2.1
1/1/19,2.1,2.2,2
1/1/19,2,2.1,1.9
1/1/19,1.9,2,1.8
1/1/19,1.88,1.9,1.8
1/1/19,1.92,2,1.9
1/1/19,2.08,2.1,2
1/1/19,1.84,1.9,1.8
1/1/19,1.9,1.9,1.9
1/1/19,1.82,1.9,1.8
1/1/19,1.86,1.9,1.8
1/1/19,1.8,1.8,1.8
1/1/19,1.9,1.9,1.9
1/1/19,1.94,2,1.9
1/1/19,2.06,2.1,2
1/1/19,1.88,2,1.8
1/1/19,2,2.1,1.9
1/1/19,1.88,2,1.8
1/1/19,1.88,2,1.8
1/1/19,1.78,1.8,1.7
1/1/19,1.58,1.7,1.5
1/1/19,1.68,1.7,1.6
1/1/19,1.76,1.8,1.7
1/1/19,1.72,1.8,1.7
1/1/19,1.86,2,1.8
1/1/19,2.06,2.2,2
1/1/19,2.24,2.3,2.2
1/1/19,2.38,2.5,2.3
1/1/19,2.56,2.6,2.5
1/1/19,2.56,2.6,2.5
1/1/19,2.68,2.8,2.6
1/1/19,2.68,2.7,2.6
1/1/19,2.7,2.7,2.7
1/1/19,2.86,3,2.8
1/1/19,2.98,3.2,2.8
1/1/19,3.26,3.4,3.1
1/1/19,3.18,3.3,2.9
1/1/19,2.92,3,2.8
1/1/19,2.84,3,2.7
1/1/19,2.58,2.6,2.5
1/1/19,2.8,2.9,2.7
1/1/19,2.92,3,2.9
1/1/19,3.24,3.4,3
1/1/19,3.44,3.5,3.4
1/1/19,3.4,3.5,3.2
1/1/19,3.22,3.3,3.1
1/1/19,3.54,3.7,3.4
1/1/19,4,4.5,3.6
1/1/19,4.28,4.5,4.1
1/1/19,4.42,4.5,4.3
1/1/19,4.18,4.4,4
1/1/19,4.34,4.6,4
1/1/19,5.06,5.1,4.9
1/1/19,5.06,5.3,4.8
1/1/19,4.82,5.1,4.5
1/1/19,4.88,5.1,4.7
1/1/19,4.52,4.7,4.3
1/1/19,5.02,5.7,4.6
1/1/19,5.72,5.9,5.5
1/1/19,5.54,5.8,5.3
1/1/19,5.1,5.3,4.9
1/1/19,5.38,5.6,5.2
1/1/19,5.7,5.8,5.6
1/1/19,5.7,6,5.4
1/1/19,5.52,5.8,5.3
1/1/19,5.66,5.7,5.5
1/1/19,5.92,6.3,5.6
1/1/19,6.64,6.9,6.3
1/1/19,6.26,6.4,6.1
1/1/19,6,6.2,5.8
1/1/19,6.3,6.6,6.1
1/1/19,6.66,7,6.5
1/1/19,6.24,6.5,6
1/1/19,6.42,6.7,6.1
1/1/19,6.02,6.3,5.6
1/1/19,6.44,6.7,6.2
1/1/19,7.24,7.5,6.9
1/1/19,6.72,7.5,6
1/1/19,6.38,6.9,6
1/1/19,6.12,6.6,5.8
1/1/19,6.06,6.6,5.8
1/1/19,6.68,6.8,6.5
1/1/19,6.04,6.4,5.6
1/1/19,5.84,5.9,5.7
1/1/19,5.64,5.8,5.5
1/1/19,5.54,5.7,5.4
1/1/19,4.98,5.2,4.8
1/1/19,4.78,4.9,4.6
1/1/19,4.02,4.3,3.8
1/1/19,3.64,3.7,3.6
1/1/19,3.46,3.6,3.4
1/1/19,3.32,3.4,3.3
1/1/19,3.36,3.4,3.3
1/1/19,3.46,3.5,3.4
1/1/19,3.56,3.6,3.5
1/1/19,3.62,3.7,3.5
1/1/19,3.84,4,3.7
1/1/19,3.96,4,3.9
1/1/19,4.24,4.4,4
1/1/19,4.3,4.4,4.2
1/1/19,4.02,4.2,3.9
1/1/19,3.74,3.8,3.7
1/1/19,3.78,3.8,3.7
1/1/19,3.8,3.8,3.8
1/1/19,3.92,4,3.9
1/1/19,3.8,3.8,3.8
1/1/19,3.96,4.1,3.8
1/1/19,3.96,4,3.9
1/1/19,3.98,4,3.9
1/1/19,4.04,4.1,4
1/1/19,3.96,4,3.9
1/1/19,3.84,3.9,3.8
1/1/19,3.7,3.7,3.7
1/1/19,3.66,3.7,3.6
1/1/19,3.6,3.6,3.6
1/1/19,3.62,3.7,3.6
1/1/19,3.56,3.6,3.5
1/1/19,3.5,3.5,3.5
1/1/19,3.5,3.5,3.5
1/1/19,3.5,3.5,3.5
1/1/19,3.52,3.6,3.5
1/1/19,3.5,3.5,3.5
1/1/19,3.42,3.5,3.4
1/1/19,3.38,3.4,3.3
1/1/19,3.3,3.3,3.3
1/1/19,3.34,3.4,3.3
1/1/19,3.44,3.5,3.4
1/1/19,3.38,3.5,3.3
1/1/19,3.26,3.3,3.2
1/1/19,3.2,3.2,3.2
1/1/19,3.24,3.3,3.2
1/1/19,3.3,3.3,3.3
1/1/19,3.3,3.3,3.3
1/1/19,3.34,3.4,3.3
1/1/19,3.38,3.4,3.3
1/1/19,3.3,3.3,3.3
1/1/19,3.26,3.3,3.2
1/1/19,3.26,3.3,3.2
1/1/19,3.22,3.3,3.2
1/1/19,3.26,3.3,3.2
1/1/19,3.26,3.3,3.2
1/1/19,3.2,3.2,3.2
1/1/19,3.18,3.2,3.1
1/1/19,3.18,3.3,3.1
1/1/19,3.08,3.1,3
1/1/19,3.12,3.2,3.1
1/1/19,3.1,3.1,3.1
1/1/19,3.02,3.1,3
1/1/19,3.04,3.1,3
1/1/19,3.14,3.2,3.1
1/1/19,3.14,3.2,3.1
1/1/19,3.12,3.2,3.1
1/1/19,3.2,3.2,3.2
1/1/19,3.12,3.2,3.1
1/1/19,3.1,3.1,3.1
1/1/19,3.16,3.2,3.1
1/1/19,3.14,3.2,3.1
1/1/19,3.18,3.2,3.1
1/1/19,3.1,3.1,3.1
1/1/19,3.16,3.2,3.1
1/1/19,3.1,3.1,3.1
1/1/19,3.12,3.2,3.1
1/1/19,3.1,3.1,3.1
1/1/19,3.02,3.1,3
1/1/19,3.06,3.1,3
1/1/19,3.04,3.1,3
1/1/19,3,3,3
1/1/19,3,3,3
1/1/19,2.92,3,2.9
1/1/19,2.82,2.9,2.8
1/1/19,2.78,2.8,2.7
1/1/19,2.82,2.9,2.8
1/1/19,2.82,2.9,2.8
1/1/19,2.8,2.8,2.8
1/1/19,2.8,2.8,2.8
1/1/19,2.8,2.8,2.8
1/1/19,2.8,2.8,2.8
1/1/19,2.8,2.8,2.8
1/1/19,2.78,2.8,2.7
1/1/19,2.76,2.8,2.7
1/1/19,2.72,2.8,2.7
1/1/19,2.7,2.7,2.7
1/1/19,2.7,2.7,2.7
1/1/19,2.7,2.7,2.7
1/1/19,2.7,2.7,2.7
1/1/19,2.7,2.7,2.7
1/1/19,2.7,2.7,2.7
1/1/19,2.68,2.7,2.6
1/1/19,2.66,2.7,2.6
1/1/19,2.68,2.7,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.6,2.6,2.6
1/1/19,2.5,2.5,2.5
1/1/19,2.54,2.6,2.5
1/1/19,2.54,2.6,2.5
1/2/19,2.5,2.5,2.5
1/2/19,2.5,2.5,2.5
1/2/19,2.4,2.4,2.4
1/2/19,2.4,2.4,2.4
1/2/19,2.48,2.5,2.4
1/2/19,2.44,2.5,2.4
1/2/19,2.44,2.5,2.4
1/2/19,2.4,2.4,2.4
1/2/19,2.5,2.5,2.5
1/2/19,2.4,2.4,2.4
1/2/19,2.36,2.4,2.3
1/2/19,2.44,2.5,2.4
1/2/19,2.52,2.6,2.5
1/2/19,2.5,2.5,2.5
1/2/19,2.5,2.5,2.5
1/2/19,2.46,2.5,2.4
1/2/19,2.5,2.5,2.5
1/2/19,2.54,2.6,2.5
1/2/19,2.6,2.6,2.6
1/2/19,2.6,2.6,2.6
1/2/19,2.6,2.6,2.6
1/2/19,2.5,2.6,2.4
1/2/19,2.56,2.6,2.5
1/2/19,2.52,2.6,2.5
1/2/19,2.5,2.5,2.5
1/2/19,2.44,2.5,2.4
1/2/19,2.46,2.5,2.4
1/2/19,2.54,2.6,2.5
1/2/19,2.62,2.7,2.5
1/2/19,2.6,2.6,2.6
1/2/19,2.6,2.6,2.6
1/2/19,2.64,2.7,2.6
1/2/19,2.72,2.8,2.7
1/2/19,2.88,2.9,2.8
1/2/19,2.9,2.9,2.9
1/2/19,2.98,3.1,2.9
1/2/19,3.14,3.2,3.1
1/2/19,3.16,3.2,3.1
1/2/19,3.22,3.3,3.2
