"","vaisala","air_co2_ppm","pre_plateau_co2_ppm","plateau_co2_ppm","post_plateau_co2_ppm"
"1","xn10m",280.448226886465,1734.68828129291,1630.0279442161,1630.5291297904
"2","x0m",409.8761622719,1866.54208967149,2658.11993392453,1631.48902301998
"3","x25m",335.37216802206,NA,1549.59411717778,960.627182989625
"4","x50m",313.703957193461,1423.80409720799,1973.9637302965,1296.32132346372
