Time ,10:55,,
Date,7/22/2022,,
,,,
distance upstream (m),width (cm),x (cm),depth (cm)
0,70,40,12
0,70,50,20
0,70,60,30
0,70,70,26
0,70,80,16
0,70,90,10
3,75,60,4
3,75,75,12
3,75,90,4
3,75,105,2
3,75,120,4
5,65,50,4
5,65,63,10
5,65,76,4
5,65,89,4
5,65,102,4
7,55,60,4
7,55,71,6
7,55,82,12
7,55,93,12
7,55,104,4
9,65,60,6
9,65,73,10
9,65,86,14
9,65,99,10
9,65,112,4
11,45,50,7
11,45,59,12
11,45,68,10
11,45,77,9
11,45,86,6
13,40,45,4
13,40,52,10
13,40,60,12
13,40,68,12
13,40,76,8
14,25,60,10
14,25,65,14
14,25,70,14
14,25,75,12
14,25,80,6
