Time ,10:10,,
Date,7/22/2022,,
,,,
distance upstream (m),width (cm),x (cm),depth (cm)
0,90,60,6
0,90,70,8
0,90,80,18
0,90,90,18
0,90,110,14
1,55,50,28
1,55,61,24
1,55,72,13
1,55,83,16
1,55,94,10
2,45,50,9
2,45,59,16
2,45,68,30
2,45,77,34
2,45,86,15
4,25,35,3
4,25,40,4
4,25,45,5
4,25,50,5
4,25,55,3
5,40,35,12
5,40,43,16
5,40,51,18
5,40,59,17
5,40,67,16
6,45,40,12
6,45,47,10
6,45,54,12
6,45,61,13
6,45,68,10
8,25,40,23
8,25,45,10
8,25,50,5
8,25,55,6
8,25,60,4
9,30,26,9
9,30,32,9
9,30,38,14
9,30,44,22
9,30,50,15
