"Plot Title: Injection_Conductivity_x15m_2022-06-20"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Full Range, μS/cm (LGR S/N: 20954781, SEN S/N: 20954781)","Temp, °C (LGR S/N: 20954781, SEN S/N: 20954781)","Coupler Detached (LGR S/N: 20954781)","Coupler Attached (LGR S/N: 20954781)","Host Connected (LGR S/N: 20954781)","Stopped (LGR S/N: 20954781)","End Of File (LGR S/N: 20954781)"
1,06/20/22 12:15:00 PM,16.6,14.0,6.42,Logged,,,,
2,06/20/22 12:15:10 PM,16.6,13.6,6.39,,,,,
3,06/20/22 12:15:20 PM,16.5,13.6,6.40,,,,,
4,06/20/22 12:15:30 PM,16.6,14.0,6.40,,,,,
5,06/20/22 12:15:40 PM,16.6,13.6,6.39,,,,,
6,06/20/22 12:15:50 PM,16.6,13.2,6.39,,,,,
7,06/20/22 12:16:00 PM,16.6,13.6,6.38,,,,,
8,06/20/22 12:16:10 PM,16.6,13.2,6.37,,,,,
9,06/20/22 12:16:20 PM,16.6,13.6,6.37,,,,,
10,06/20/22 12:16:30 PM,16.6,13.6,6.38,,,,,
11,06/20/22 12:16:40 PM,16.5,13.2,6.37,,,,,
12,06/20/22 12:16:50 PM,16.6,13.6,6.37,,,,,
13,06/20/22 12:17:00 PM,16.6,13.6,6.37,,,,,
14,06/20/22 12:17:10 PM,16.6,13.6,6.36,,,,,
15,06/20/22 12:17:20 PM,16.5,13.6,6.36,,,,,
16,06/20/22 12:17:30 PM,16.6,13.6,6.37,,,,,
17,06/20/22 12:17:40 PM,16.6,13.6,6.34,,,,,
18,06/20/22 12:17:50 PM,16.6,13.6,6.36,,,,,
19,06/20/22 12:18:00 PM,16.6,13.6,6.36,,,,,
20,06/20/22 12:18:10 PM,16.6,13.6,6.34,,,,,
21,06/20/22 12:18:20 PM,16.6,13.6,6.34,,,,,
22,06/20/22 12:18:30 PM,16.6,13.6,6.36,,,,,
23,06/20/22 12:18:40 PM,16.6,13.6,6.34,,,,,
24,06/20/22 12:18:50 PM,16.6,13.6,6.36,,,,,
25,06/20/22 12:19:00 PM,16.6,13.6,6.34,,,,,
26,06/20/22 12:19:10 PM,16.5,13.6,6.34,,,,,
27,06/20/22 12:19:20 PM,16.5,13.6,6.34,,,,,
28,06/20/22 12:19:30 PM,16.6,13.6,6.34,,,,,
29,06/20/22 12:19:40 PM,16.6,13.6,6.34,,,,,
30,06/20/22 12:19:50 PM,16.5,13.6,6.36,,,,,
31,06/20/22 12:20:00 PM,16.5,13.6,6.36,,,,,
32,06/20/22 12:20:10 PM,16.5,13.6,6.34,,,,,
33,06/20/22 12:20:20 PM,16.5,13.6,6.36,,,,,
34,06/20/22 12:20:30 PM,16.5,13.6,6.36,,,,,
35,06/20/22 12:20:40 PM,16.5,13.6,6.34,,,,,
36,06/20/22 12:20:50 PM,16.5,13.6,6.34,,,,,
37,06/20/22 12:21:00 PM,16.5,13.6,6.34,,,,,
38,06/20/22 12:21:10 PM,16.5,13.2,6.36,,,,,
39,06/20/22 12:21:20 PM,16.4,13.6,6.34,,,,,
40,06/20/22 12:21:30 PM,16.5,13.6,6.36,,,,,
41,06/20/22 12:21:40 PM,16.5,13.2,6.36,,,,,
42,06/20/22 12:21:50 PM,16.5,13.6,6.36,,,,,
43,06/20/22 12:22:00 PM,16.5,13.6,6.36,,,,,
44,06/20/22 12:22:10 PM,16.5,13.2,6.36,,,,,
45,06/20/22 12:22:20 PM,16.5,13.6,6.34,,,,,
46,06/20/22 12:22:30 PM,16.5,13.6,6.36,,,,,
47,06/20/22 12:22:40 PM,16.6,13.6,6.36,,,,,
48,06/20/22 12:22:50 PM,16.5,13.6,6.38,,,,,
49,06/20/22 12:23:00 PM,16.5,13.6,6.38,,,,,
50,06/20/22 12:23:10 PM,16.5,13.6,6.37,,,,,
51,06/20/22 12:23:20 PM,16.5,13.6,6.37,,,,,
52,06/20/22 12:23:30 PM,16.4,13.6,6.38,,,,,
53,06/20/22 12:23:40 PM,16.5,13.2,6.37,,,,,
54,06/20/22 12:23:50 PM,16.5,13.6,6.40,,,,,
55,06/20/22 12:24:00 PM,16.5,13.6,6.38,,,,,
56,06/20/22 12:24:10 PM,16.5,13.2,6.38,,,,,
57,06/20/22 12:24:20 PM,16.5,13.2,6.39,,,,,
58,06/20/22 12:24:30 PM,16.5,13.6,6.38,,,,,
59,06/20/22 12:24:40 PM,16.5,13.6,6.39,,,,,
60,06/20/22 12:24:50 PM,16.5,13.6,6.38,,,,,
