"","vaisala","air_co2_ppm","pre_plateau_co2_ppm","plateau_co2_ppm","post_plateau_co2_ppm"
"1","xn10m",273.111472296272,946.400309237087,941.957613578546,945.332280726012
"2","x0m",NA,1051.828191192,5972.69417576526,1015.94069923883
"3","x15m",NA,390.13583533875,2597.17615198246,377.2647540966
"4","x30m",301.031711364412,869.954278567715,1899.03616521762,NA
