"Título de trazado: WL_03"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, kPa (LGR S/N: 20028184, SEN S/N: 20028184)","Temp, °C (LGR S/N: 20028184, SEN S/N: 20028184)","Acoplador separado (LGR S/N: 20028184)","Acoplador adjunto (LGR S/N: 20028184)","Host conectado (LGR S/N: 20028184)","Parado (LGR S/N: 20028184)","Final de archivo (LGR S/N: 20028184)"
1,10/12/22 12:00:00 PM,63.777,9.275,Registrado,,,,
2,10/12/22 12:15:00 PM,63.751,9.275,,,,,
3,10/12/22 12:30:00 PM,63.769,9.472,,,,,
4,10/12/22 12:45:00 PM,63.754,9.373,,,,,
5,10/12/22 01:00:00 PM,63.721,9.571,,,,,
6,10/12/22 01:15:00 PM,63.692,9.965,,,,,
7,10/12/22 01:30:00 PM,63.687,10.259,,,,,
8,10/12/22 01:45:00 PM,63.667,9.965,,,,,
9,10/12/22 02:00:00 PM,63.664,10.357,,,,,
10,10/12/22 02:15:00 PM,63.641,10.455,,,,,
11,10/12/22 02:30:00 PM,63.616,10.455,,,,,
12,10/12/22 02:45:00 PM,63.601,10.357,,,,,
13,10/12/22 03:00:00 PM,63.594,10.063,,,,,
14,10/12/22 03:15:00 PM,63.566,9.965,,,,,
15,10/12/22 03:30:00 PM,63.561,9.768,,,,,
16,10/12/22 03:45:00 PM,63.579,9.472,,,,,
17,10/12/22 04:00:00 PM,63.572,9.176,,,,,
18,10/12/22 04:15:00 PM,63.580,8.978,,,,,
19,10/12/22 04:30:00 PM,63.587,8.779,,,,,
20,10/12/22 04:45:00 PM,63.582,8.581,,,,,
21,10/12/22 05:00:00 PM,63.590,8.382,,,,,
22,10/12/22 05:15:00 PM,63.600,8.282,,,,,
23,10/12/22 05:30:00 PM,63.583,8.082,,,,,
24,10/12/22 05:45:00 PM,63.591,7.882,,,,,
25,10/12/22 06:00:00 PM,63.599,7.682,,,,,
26,10/12/22 06:15:00 PM,63.596,7.582,,,,,
27,10/12/22 06:30:00 PM,63.606,7.481,,,,,
28,10/12/22 06:45:00 PM,63.617,7.381,,,,,
29,10/12/22 07:00:00 PM,63.639,7.280,,,,,
30,10/12/22 07:15:00 PM,63.650,7.179,,,,,
31,10/12/22 07:30:00 PM,63.675,7.179,,,,,
32,10/12/22 07:45:00 PM,63.698,7.079,,,,,
33,10/12/22 08:00:00 PM,63.670,6.978,,,,,
34,10/12/22 08:15:00 PM,63.680,6.877,,,,,
35,10/12/22 08:30:00 PM,63.690,6.775,,,,,
36,10/12/22 08:45:00 PM,63.713,6.674,,,,,
37,10/12/22 09:00:00 PM,63.708,6.471,,,,,
38,10/12/22 09:15:00 PM,63.719,6.370,,,,,
39,10/12/22 09:30:00 PM,63.741,6.268,,,,,
40,10/12/22 09:45:00 PM,63.752,6.166,,,,,
41,10/12/22 10:00:00 PM,63.749,6.064,,,,,
42,10/12/22 10:15:00 PM,63.777,6.166,,,,,
43,10/12/22 10:30:00 PM,63.762,6.064,,,,,
44,10/12/22 10:45:00 PM,63.762,6.064,,,,,
45,10/12/22 11:00:00 PM,63.762,6.064,,,,,
46,10/12/22 11:15:00 PM,63.762,6.064,,,,,
47,10/12/22 11:30:00 PM,63.762,6.064,,,,,
48,10/12/22 11:45:00 PM,63.747,5.962,,,,,
49,10/13/22 12:00:00 AM,63.732,5.860,,,,,
50,10/13/22 12:15:00 AM,63.729,5.757,,,,,
51,10/13/22 12:30:00 AM,63.714,5.655,,,,,
52,10/13/22 12:45:00 AM,63.674,5.552,,,,,
53,10/13/22 01:00:00 AM,63.674,5.552,,,,,
54,10/13/22 01:15:00 AM,63.633,5.450,,,,,
55,10/13/22 01:30:00 AM,63.633,5.450,,,,,
56,10/13/22 01:45:00 AM,63.633,5.450,,,,,
57,10/13/22 02:00:00 AM,63.621,5.450,,,,,
58,10/13/22 02:15:00 AM,63.608,5.450,,,,,
59,10/13/22 02:30:00 AM,63.608,5.450,,,,,
60,10/13/22 02:45:00 AM,63.596,5.450,,,,,
61,10/13/22 03:00:00 AM,63.596,5.450,,,,,
62,10/13/22 03:15:00 AM,63.583,5.450,,,,,
63,10/13/22 03:30:00 AM,63.611,5.552,,,,,
64,10/13/22 03:45:00 AM,63.598,5.552,,,,,
65,10/13/22 04:00:00 AM,63.583,5.450,,,,,
66,10/13/22 04:15:00 AM,63.596,5.450,,,,,
67,10/13/22 04:30:00 AM,63.583,5.450,,,,,
68,10/13/22 04:45:00 AM,63.580,5.347,,,,,
69,10/13/22 05:00:00 AM,63.578,5.244,,,,,
70,10/13/22 05:15:00 AM,63.588,5.141,,,,,
71,10/13/22 05:30:00 AM,63.588,5.141,,,,,
72,10/13/22 05:45:00 AM,63.586,5.037,,,,,
73,10/13/22 06:00:00 AM,63.598,5.037,,,,,
