Serial_number:
2020433
Project ID:

Location:

Well02
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well02,TEMPERATURE
10/12/2022,12:15:00 pm,0,63.7873,6.258
10/12/2022,12:30:00 pm,0,63.7853,6.266
10/12/2022,12:45:00 pm,0,63.7821,6.305
10/12/2022,01:00:00 pm,0,63.7604,6.367
10/12/2022,01:15:00 pm,0,63.7419,6.447
10/12/2022,01:30:00 pm,0,63.7433,6.547
10/12/2022,01:45:00 pm,0,63.7391,6.658
10/12/2022,02:00:00 pm,0,63.7323,6.772
10/12/2022,02:15:00 pm,0,63.7182,6.888
10/12/2022,02:30:00 pm,0,63.6973,7.018
10/12/2022,02:45:00 pm,0,63.6994,7.149
10/12/2022,03:00:00 pm,0,63.6926,7.273
10/12/2022,03:15:00 pm,0,63.6870,7.399
10/12/2022,03:30:00 pm,0,63.6852,7.521
10/12/2022,03:45:00 pm,0,63.7045,7.630
10/12/2022,04:00:00 pm,0,63.7064,7.726
10/12/2022,04:15:00 pm,0,63.7124,7.802
10/12/2022,04:30:00 pm,0,63.7053,7.855
10/12/2022,04:45:00 pm,0,63.7162,7.890
10/12/2022,05:00:00 pm,0,63.7294,7.911
10/12/2022,05:15:00 pm,0,63.7259,7.917
10/12/2022,05:30:00 pm,0,63.7271,7.906
10/12/2022,05:45:00 pm,0,63.7217,7.885
10/12/2022,06:00:00 pm,0,63.7296,7.852
10/12/2022,06:15:00 pm,0,63.7286,7.804
10/12/2022,06:30:00 pm,0,63.7272,7.753
10/12/2022,06:45:00 pm,0,63.7315,7.695
10/12/2022,07:00:00 pm,0,63.7468,7.642
10/12/2022,07:15:00 pm,0,63.7517,7.588
10/12/2022,07:30:00 pm,0,63.7684,7.534
10/12/2022,07:45:00 pm,0,63.7735,7.474
10/12/2022,08:00:00 pm,0,63.7658,7.421
10/12/2022,08:15:00 pm,0,63.7637,7.356
10/12/2022,08:30:00 pm,0,63.7696,7.285
10/12/2022,08:45:00 pm,0,63.7712,7.203
10/12/2022,09:00:00 pm,0,63.7851,7.120
10/12/2022,09:15:00 pm,0,63.7874,7.049
10/12/2022,09:30:00 pm,0,63.7873,6.971
10/12/2022,09:45:00 pm,0,63.8018,6.890
10/12/2022,10:00:00 pm,0,63.7964,6.831
10/12/2022,10:15:00 pm,0,63.8074,6.792
10/12/2022,10:30:00 pm,0,63.8039,6.750
10/12/2022,10:45:00 pm,0,63.8063,6.694
10/12/2022,11:00:00 pm,0,63.7966,6.653
10/12/2022,11:15:00 pm,0,63.7947,6.617
10/12/2022,11:30:00 pm,0,63.7862,6.575
10/12/2022,11:45:00 pm,0,63.7727,6.533
10/13/2022,12:00:00 am,0,63.7653,6.480
10/13/2022,12:15:00 am,0,63.7520,6.459
10/13/2022,12:30:00 am,0,63.7411,6.446
10/13/2022,12:45:00 am,0,63.7211,6.398
10/13/2022,01:00:00 am,0,63.7056,6.364
10/13/2022,01:15:00 am,0,63.6924,6.354
10/13/2022,01:30:00 am,0,63.6732,6.327
10/13/2022,01:45:00 am,0,63.6699,6.334
10/13/2022,02:00:00 am,0,63.6576,6.313
