Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Station01,TEMPERATURE
5/30/2022,10:45:00 pm,0,64.0821,5.951
5/30/2022,11:00:00 pm,0,64.0824,5.931
5/30/2022,11:15:00 pm,0,64.0938,5.915
5/30/2022,11:30:00 pm,0,64.0939,5.887
5/30/2022,11:45:00 pm,0,64.0779,5.844
5/31/2022,12:00:00 am,0,64.0603,5.746
5/31/2022,12:15:00 am,0,64.0470,5.626
5/31/2022,12:30:00 am,0,64.0281,5.517
5/31/2022,12:45:00 am,0,64.0137,5.417
5/31/2022,01:00:00 am,0,63.9909,5.330
5/31/2022,01:15:00 am,0,63.9709,5.255
5/31/2022,01:30:00 am,0,63.9697,5.183
5/31/2022,01:45:00 am,0,63.9698,5.146
5/31/2022,02:00:00 am,0,63.9499,5.182
5/31/2022,02:15:00 am,0,63.9386,5.216
5/31/2022,02:30:00 am,0,63.9140,5.234
5/31/2022,02:45:00 am,0,63.9068,5.233
5/31/2022,03:00:00 am,0,63.9031,5.213
5/31/2022,03:15:00 am,0,63.8931,5.192
5/31/2022,03:30:00 am,0,63.8899,5.169
5/31/2022,03:45:00 am,0,63.8846,5.153
5/31/2022,04:00:00 am,0,63.8827,5.138
5/31/2022,04:15:00 am,0,63.8851,5.120
5/31/2022,04:30:00 am,0,63.8920,5.092
5/31/2022,04:45:00 am,0,63.8860,5.062
5/31/2022,05:00:00 am,0,63.8886,5.041
5/31/2022,05:15:00 am,0,63.8969,5.030
5/31/2022,05:30:00 am,0,63.8963,5.025
5/31/2022,05:45:00 am,0,63.8992,4.979
5/31/2022,06:00:00 am,0,63.9024,4.925
5/31/2022,06:15:00 am,0,63.9024,4.887
5/31/2022,06:30:00 am,0,63.9229,4.891
5/31/2022,06:45:00 am,0,63.9392,4.917
5/31/2022,07:00:00 am,0,63.9387,4.959
5/31/2022,07:15:00 am,0,63.9473,5.020
5/31/2022,07:30:00 am,0,63.9616,5.117
5/31/2022,07:45:00 am,0,63.9733,5.222
5/31/2022,08:00:00 am,0,63.9729,5.358
5/31/2022,08:15:00 am,0,63.9923,5.524
5/31/2022,08:30:00 am,0,64.0110,5.716
5/31/2022,08:45:00 am,0,64.0324,5.904
5/31/2022,09:00:00 am,0,64.0427,6.125
5/31/2022,09:15:00 am,0,64.0587,6.379
5/31/2022,09:30:00 am,0,64.0743,6.560
5/31/2022,09:45:00 am,0,64.0862,6.716
5/31/2022,10:00:00 am,0,64.0797,6.792
5/31/2022,10:15:00 am,0,64.0789,6.925
5/31/2022,10:30:00 am,0,64.0605,7.143
5/31/2022,10:45:00 am,0,64.0661,7.530
5/31/2022,11:00:00 am,0,64.0605,7.857
5/31/2022,11:15:00 am,0,64.0513,7.931
5/31/2022,11:30:00 am,0,64.0404,8.168
5/31/2022,11:45:00 am,0,64.0454,8.600
5/31/2022,12:00:00 pm,0,64.0444,8.742
5/31/2022,12:15:00 pm,0,64.0383,8.992
5/31/2022,12:30:00 pm,0,64.0278,9.457
5/31/2022,12:45:00 pm,0,64.0213,9.833
5/31/2022,01:00:00 pm,0,64.0096,10.086
5/31/2022,01:15:00 pm,0,63.9905,10.227
5/31/2022,01:30:00 pm,0,63.9921,10.816
5/31/2022,01:45:00 pm,0,63.9892,11.450
5/31/2022,02:00:00 pm,0,63.9823,12.003
5/31/2022,02:15:00 pm,0,63.9677,12.424
5/31/2022,02:30:00 pm,0,63.9549,12.722
5/31/2022,02:45:00 pm,0,63.9387,12.610
5/31/2022,03:00:00 pm,0,63.9137,12.416
5/31/2022,03:15:00 pm,0,63.8908,12.382
5/31/2022,03:30:00 pm,0,63.8779,12.355
5/31/2022,03:45:00 pm,0,63.8706,12.317
5/31/2022,04:00:00 pm,0,63.8742,12.209
5/31/2022,04:15:00 pm,0,63.8638,11.916
5/31/2022,04:30:00 pm,0,63.8623,11.737
5/31/2022,04:45:00 pm,0,63.8787,11.487
5/31/2022,05:00:00 pm,0,63.8741,11.231
5/31/2022,05:15:00 pm,0,63.8740,10.995
5/31/2022,05:30:00 pm,0,63.8661,10.795
5/31/2022,05:45:00 pm,0,63.8685,10.537
5/31/2022,06:00:00 pm,0,63.8711,10.280
5/31/2022,06:15:00 pm,0,63.8828,10.031
5/31/2022,06:30:00 pm,0,63.8967,9.818
5/31/2022,06:45:00 pm,0,63.8991,9.647
5/31/2022,07:00:00 pm,0,63.9007,9.460
5/31/2022,07:15:00 pm,0,63.9056,9.268
5/31/2022,07:30:00 pm,0,63.9022,9.099
5/31/2022,07:45:00 pm,0,63.9104,8.945
5/31/2022,08:00:00 pm,0,63.9228,8.805
5/31/2022,08:15:00 pm,0,63.9229,8.678
5/31/2022,08:30:00 pm,0,63.9354,8.554
5/31/2022,08:45:00 pm,0,63.9325,8.438
5/31/2022,09:00:00 pm,0,63.9374,8.348
5/31/2022,09:15:00 pm,0,63.9367,8.274
5/31/2022,09:30:00 pm,0,63.9254,8.206
5/31/2022,09:45:00 pm,0,63.9375,8.134
5/31/2022,10:00:00 pm,0,63.9436,8.069
5/31/2022,10:15:00 pm,0,63.9467,8.005
5/31/2022,10:30:00 pm,0,63.9531,7.954
5/31/2022,10:45:00 pm,0,63.9478,7.910
5/31/2022,11:00:00 pm,0,63.9586,7.873
5/31/2022,11:15:00 pm,0,63.9634,7.838
5/31/2022,11:30:00 pm,0,63.9628,7.788
