Serial_number:
2020430
Project ID:

Location:
Well_01
Well_01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well_01,TEMPERATURE
3/16/2022,01:30:00 pm,0,65.7400,7.488
3/16/2022,01:45:00 pm,0,65.7241,7.500
3/16/2022,02:00:00 pm,0,65.7063,7.512
3/16/2022,02:15:00 pm,0,65.6943,7.523
3/16/2022,02:30:00 pm,0,65.6836,7.534
3/16/2022,02:45:00 pm,0,65.6654,7.544
3/16/2022,03:00:00 pm,0,65.6459,7.554
3/16/2022,03:15:00 pm,0,65.6286,7.565
3/16/2022,03:30:00 pm,0,65.6116,7.574
3/16/2022,03:45:00 pm,0,65.6012,7.583
3/16/2022,04:00:00 pm,0,65.5950,7.591
3/16/2022,04:15:00 pm,0,65.5923,7.600
3/16/2022,04:30:00 pm,0,65.5800,7.609
3/16/2022,04:45:00 pm,0,65.5786,7.618
3/16/2022,05:00:00 pm,0,65.5793,7.627
3/16/2022,05:15:00 pm,0,65.5833,7.637
3/16/2022,05:30:00 pm,0,65.5917,7.649
3/16/2022,05:45:00 pm,0,65.5994,7.672
3/16/2022,06:00:00 pm,0,65.6099,7.667
3/16/2022,06:15:00 pm,0,65.6199,7.675
3/16/2022,06:30:00 pm,0,65.6253,7.677
3/16/2022,06:45:00 pm,0,65.6415,7.685
3/16/2022,07:00:00 pm,0,65.6605,7.692
3/16/2022,07:15:00 pm,0,65.6728,7.700
3/16/2022,07:30:00 pm,0,65.6794,7.709
3/16/2022,07:45:00 pm,0,65.6978,7.720
3/16/2022,08:00:00 pm,0,65.7146,7.720
3/16/2022,08:15:00 pm,0,65.7267,7.724
3/16/2022,08:30:00 pm,0,65.7364,7.736
3/16/2022,08:45:00 pm,0,65.7529,7.737
3/16/2022,09:00:00 pm,0,65.7603,7.739
3/16/2022,09:15:00 pm,0,65.7677,7.746
3/16/2022,09:30:00 pm,0,65.7734,7.754
3/16/2022,09:45:00 pm,0,65.7840,7.761
3/16/2022,10:00:00 pm,0,65.7884,7.755
3/16/2022,10:15:00 pm,0,65.7996,7.764
3/16/2022,10:30:00 pm,0,65.8014,7.769
3/16/2022,10:45:00 pm,0,65.8119,7.778
3/16/2022,11:00:00 pm,0,65.8149,7.781
3/16/2022,11:15:00 pm,0,65.8082,7.786
3/16/2022,11:30:00 pm,0,65.8018,7.789
3/16/2022,11:45:00 pm,0,65.7976,7.791
3/17/2022,12:00:00 am,0,65.7865,7.749
3/17/2022,12:15:00 am,0,65.7753,7.739
3/17/2022,12:30:00 am,0,65.7636,7.733
3/17/2022,12:45:00 am,0,65.7377,7.725
3/17/2022,01:00:00 am,0,65.7188,7.718
3/17/2022,01:15:00 am,0,65.7054,7.709
3/17/2022,01:30:00 am,0,65.6946,7.696
3/17/2022,01:45:00 am,0,65.6727,7.688
3/17/2022,02:00:00 am,0,65.6572,7.678
3/17/2022,02:15:00 am,0,65.6418,7.663
3/17/2022,02:30:00 am,0,65.6293,7.650
3/17/2022,02:45:00 am,0,65.6141,7.636
3/17/2022,03:00:00 am,0,65.6071,7.617
3/17/2022,03:15:00 am,0,65.5974,7.601
3/17/2022,03:30:00 am,0,65.5900,7.584
3/17/2022,03:45:00 am,0,65.5764,7.567
3/17/2022,04:00:00 am,0,65.5693,7.550
3/17/2022,04:15:00 am,0,65.5687,7.533
3/17/2022,04:30:00 am,0,65.5735,7.518
3/17/2022,04:45:00 am,0,65.5773,7.503
3/17/2022,05:00:00 am,0,65.5805,7.491
3/17/2022,05:15:00 am,0,65.5872,7.479
3/17/2022,05:30:00 am,0,65.5945,7.468
3/17/2022,05:45:00 am,0,65.6002,7.457
3/17/2022,06:00:00 am,0,65.6032,7.447
3/17/2022,06:15:00 am,0,65.6170,7.440
3/17/2022,06:30:00 am,0,65.6249,7.433
3/17/2022,06:45:00 am,0,65.6291,7.427
3/17/2022,07:00:00 am,0,65.6368,7.425
3/17/2022,07:15:00 am,0,65.6418,7.422
3/17/2022,07:30:00 am,0,65.6443,7.421
3/17/2022,07:45:00 am,0,65.6621,7.421
3/17/2022,08:00:00 am,0,65.6772,7.432
3/17/2022,08:15:00 am,0,65.6987,7.437
3/17/2022,08:30:00 am,0,65.7139,7.444
3/17/2022,08:45:00 am,0,65.7295,7.450
3/17/2022,09:00:00 am,0,65.7365,7.456
3/17/2022,09:15:00 am,0,65.7462,7.465
3/17/2022,09:30:00 am,0,65.7570,7.473
3/17/2022,09:45:00 am,0,65.7606,7.482
3/17/2022,10:00:00 am,0,65.7641,7.494
3/17/2022,10:15:00 am,0,65.7619,7.508
3/17/2022,10:30:00 am,0,65.7602,7.523
3/17/2022,10:45:00 am,0,65.7585,7.540
3/17/2022,11:00:00 am,0,65.7502,7.553
3/17/2022,11:15:00 am,0,65.7438,7.568
3/17/2022,11:30:00 am,0,65.7406,7.581
3/17/2022,11:45:00 am,0,65.7302,7.594
3/17/2022,12:00:00 pm,0,65.7220,7.606
3/17/2022,12:15:00 pm,0,65.7115,7.617
3/17/2022,12:30:00 pm,0,65.6910,7.628
3/17/2022,12:45:00 pm,0,65.6689,7.638
3/17/2022,01:00:00 pm,0,65.6485,7.648
3/17/2022,01:15:00 pm,0,65.6310,7.657
3/17/2022,01:30:00 pm,0,65.6142,7.665
3/17/2022,01:45:00 pm,0,65.5963,7.673
3/17/2022,02:00:00 pm,0,65.5833,7.680
3/17/2022,02:15:00 pm,0,65.5727,7.688
3/17/2022,02:30:00 pm,0,65.5622,7.695
3/17/2022,02:45:00 pm,0,65.5466,7.702
3/17/2022,03:00:00 pm,0,65.5309,7.711
3/17/2022,03:15:00 pm,0,65.5147,7.718
3/17/2022,03:30:00 pm,0,65.5048,7.731
3/17/2022,03:45:00 pm,0,65.4977,7.732
3/17/2022,04:00:00 pm,0,65.4872,7.739
3/17/2022,04:15:00 pm,0,65.4799,7.744
3/17/2022,04:30:00 pm,0,65.4782,7.750
3/17/2022,04:45:00 pm,0,65.4752,7.755
3/17/2022,05:00:00 pm,0,65.4722,7.762
3/17/2022,05:15:00 pm,0,65.4706,7.771
3/17/2022,05:30:00 pm,0,65.4752,7.773
3/17/2022,05:45:00 pm,0,65.4761,7.776
3/17/2022,06:00:00 pm,0,65.4746,7.780
3/17/2022,06:15:00 pm,0,65.4807,7.780
3/17/2022,06:30:00 pm,0,65.4854,7.785
3/17/2022,06:45:00 pm,0,65.4947,7.791
3/17/2022,07:00:00 pm,0,65.5064,7.795
3/17/2022,07:15:00 pm,0,65.5206,7.799
3/17/2022,07:30:00 pm,0,65.5331,7.803
3/17/2022,07:45:00 pm,0,65.5432,7.806
3/17/2022,08:00:00 pm,0,65.5531,7.810
3/17/2022,08:15:00 pm,0,65.5660,7.815
3/17/2022,08:30:00 pm,0,65.5780,7.818
3/17/2022,08:45:00 pm,0,65.5951,7.821
3/17/2022,09:00:00 pm,0,65.6108,7.825
3/17/2022,09:15:00 pm,0,65.6224,7.828
3/17/2022,09:30:00 pm,0,65.6383,7.831
3/17/2022,09:45:00 pm,0,65.6486,7.835
3/17/2022,10:00:00 pm,0,65.6564,7.837
3/17/2022,10:15:00 pm,0,65.6624,7.841
3/17/2022,10:30:00 pm,0,65.6731,7.846
3/17/2022,10:45:00 pm,0,65.6709,7.850
3/17/2022,11:00:00 pm,0,65.6672,7.811
3/17/2022,11:15:00 pm,0,65.6632,7.799
3/17/2022,11:30:00 pm,0,65.6502,7.775
3/17/2022,11:45:00 pm,0,65.6398,7.763
3/18/2022,12:00:00 am,0,65.6246,7.753
3/18/2022,12:15:00 am,0,65.6101,7.731
3/18/2022,12:30:00 am,0,65.5974,7.714
3/18/2022,12:45:00 am,0,65.5874,7.693
3/18/2022,01:00:00 am,0,65.5627,7.675
3/18/2022,01:15:00 am,0,65.5542,7.657
3/18/2022,01:30:00 am,0,65.5483,7.641
3/18/2022,01:45:00 am,0,65.5447,7.625
3/18/2022,02:00:00 am,0,65.5358,7.608
3/18/2022,02:15:00 am,0,65.5248,7.590
3/18/2022,02:30:00 am,0,65.5182,7.574
3/18/2022,02:45:00 am,0,65.5096,7.559
3/18/2022,03:00:00 am,0,65.5040,7.543
3/18/2022,03:15:00 am,0,65.5035,7.524
3/18/2022,03:30:00 am,0,65.5012,7.513
3/18/2022,03:45:00 am,0,65.4926,7.501
3/18/2022,04:00:00 am,0,65.4878,7.510
3/18/2022,04:15:00 am,0,65.4746,7.494
3/18/2022,04:30:00 am,0,65.4733,7.470
3/18/2022,04:45:00 am,0,65.4758,7.451
3/18/2022,05:00:00 am,0,65.4823,7.436
3/18/2022,05:15:00 am,0,65.4813,7.423
3/18/2022,05:30:00 am,0,65.4809,7.410
3/18/2022,05:45:00 am,0,65.4854,7.397
3/18/2022,06:00:00 am,0,65.4925,7.383
3/18/2022,06:15:00 am,0,65.5001,7.371
3/18/2022,06:30:00 am,0,65.5100,7.358
3/18/2022,06:45:00 am,0,65.5241,7.346
3/18/2022,07:00:00 am,0,65.5368,7.334
3/18/2022,07:15:00 am,0,65.5528,7.324
3/18/2022,07:30:00 am,0,65.5605,7.317
3/18/2022,07:45:00 am,0,65.5684,7.310
3/18/2022,08:00:00 am,0,65.5764,7.305
3/18/2022,08:15:00 am,0,65.5815,7.312
3/18/2022,08:30:00 am,0,65.5887,7.325
3/18/2022,08:45:00 am,0,65.6017,7.328
3/18/2022,09:00:00 am,0,65.6133,7.333
3/18/2022,09:15:00 am,0,65.6307,7.338
3/18/2022,09:30:00 am,0,65.6361,7.350
3/18/2022,09:45:00 am,0,65.6372,7.360
3/18/2022,10:00:00 am,0,65.6378,7.373
3/18/2022,10:15:00 am,0,65.6271,7.389
3/18/2022,10:30:00 am,0,65.6285,7.397
3/18/2022,10:45:00 am,0,65.6260,7.408
3/18/2022,11:00:00 am,0,65.6249,7.424
3/18/2022,11:15:00 am,0,65.6198,7.423
3/18/2022,11:30:00 am,0,65.6170,7.438
3/18/2022,11:45:00 am,0,65.6122,7.460
3/18/2022,12:00:00 pm,0,65.6070,7.465
3/18/2022,12:15:00 pm,0,65.6004,7.483
3/18/2022,12:30:00 pm,0,65.5936,7.499
3/18/2022,12:45:00 pm,0,65.5814,7.513
3/18/2022,01:00:00 pm,0,65.5672,7.527
3/18/2022,01:15:00 pm,0,65.5543,7.540
3/18/2022,01:30:00 pm,0,65.5364,7.552
3/18/2022,01:45:00 pm,0,65.5141,7.564
3/18/2022,02:00:00 pm,0,65.4920,7.575
3/18/2022,02:15:00 pm,0,65.4698,7.585
3/18/2022,02:30:00 pm,0,65.4534,7.596
3/18/2022,02:45:00 pm,0,65.4328,7.606
3/18/2022,03:00:00 pm,0,65.4160,7.615
3/18/2022,03:15:00 pm,0,65.3984,7.624
3/18/2022,03:30:00 pm,0,65.3874,7.632
3/18/2022,03:45:00 pm,0,65.3750,7.640
3/18/2022,04:00:00 pm,0,65.3641,7.648
3/18/2022,04:15:00 pm,0,65.3614,7.656
3/18/2022,04:30:00 pm,0,65.3548,7.663
3/18/2022,04:45:00 pm,0,65.3515,7.670
3/18/2022,05:00:00 pm,0,65.3562,7.676
3/18/2022,05:15:00 pm,0,65.3630,7.684
3/18/2022,05:30:00 pm,0,65.3659,7.693
3/18/2022,05:45:00 pm,0,65.3670,7.710
