"Título de trazado: WL_04"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, kPa (LGR S/N: 20968507, SEN S/N: 20968507)","Temp, °C (LGR S/N: 20968507, SEN S/N: 20968507)","Acoplador separado (LGR S/N: 20968507)","Acoplador adjunto (LGR S/N: 20968507)","Host conectado (LGR S/N: 20968507)","Parado (LGR S/N: 20968507)","Final de archivo (LGR S/N: 20968507)"
1,10/12/22 11:15:00 AM,63.590,8.481,Registrado,,,,
2,10/12/22 11:30:00 AM,63.541,7.481,,,,,
3,10/12/22 11:45:00 AM,63.521,7.682,,,,,
4,10/12/22 12:00:00 PM,63.516,7.983,,,,,
5,10/12/22 12:15:00 PM,63.501,8.382,,,,,
6,10/12/22 12:30:00 PM,63.519,8.581,,,,,
7,10/12/22 12:45:00 PM,63.487,8.779,,,,,
8,10/12/22 01:00:00 PM,63.482,9.077,,,,,
9,10/12/22 01:15:00 PM,63.464,9.373,,,,,
10,10/12/22 01:30:00 PM,63.449,9.768,,,,,
11,10/12/22 01:45:00 PM,63.447,9.669,,,,,
12,10/12/22 02:00:00 PM,63.444,10.063,,,,,
13,10/12/22 02:15:00 PM,63.422,10.161,,,,,
14,10/12/22 02:30:00 PM,63.388,10.259,,,,,
15,10/12/22 02:45:00 PM,63.375,10.259,,,,,
16,10/12/22 03:00:00 PM,63.371,10.063,,,,,
17,10/12/22 03:15:00 PM,63.344,9.965,,,,,
18,10/12/22 03:30:00 PM,63.341,9.866,,,,,
19,10/12/22 03:45:00 PM,63.347,9.571,,,,,
20,10/12/22 04:00:00 PM,63.342,9.373,,,,,
21,10/12/22 04:15:00 PM,63.349,9.176,,,,,
22,10/12/22 04:30:00 PM,63.332,8.978,,,,,
23,10/12/22 04:45:00 PM,63.354,8.879,,,,,
24,10/12/22 05:00:00 PM,63.374,8.680,,,,,
25,10/12/22 05:15:00 PM,63.345,8.481,,,,,
26,10/12/22 05:30:00 PM,63.352,8.282,,,,,
27,10/12/22 05:45:00 PM,63.350,8.182,,,,,
28,10/12/22 06:00:00 PM,63.369,7.983,,,,,
29,10/12/22 06:15:00 PM,63.355,7.882,,,,,
30,10/12/22 06:30:00 PM,63.377,7.782,,,,,
31,10/12/22 06:45:00 PM,63.386,7.682,,,,,
32,10/12/22 07:00:00 PM,63.384,7.582,,,,,
33,10/12/22 07:15:00 PM,63.406,7.481,,,,,
34,10/12/22 07:30:00 PM,63.416,7.381,,,,,
