Location,Station/Location,serial number,
Gavilan,1,2020421,
Gavilan,Baro,2106253,
Gavilan,Well 1,2020442,
Below Lake,Upstream,2020437,
Below Lake,Downstream,2020435,
Across From Lake ,Lower,2020431,** middle of wetland areaish
