Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
3/16/2022,11:30:00 am,0,70.4137,6.505
3/16/2022,11:45:00 am,0,70.4055,6.516
3/16/2022,12:00:00 pm,0,70.3997,6.523
3/16/2022,12:15:00 pm,0,70.3953,6.536
3/16/2022,12:30:00 pm,0,70.3892,6.544
3/16/2022,12:45:00 pm,0,70.3786,6.553
3/16/2022,01:00:00 pm,0,70.3650,6.560
3/16/2022,01:15:00 pm,0,70.3472,6.566
3/16/2022,01:30:00 pm,0,70.3305,6.573
3/16/2022,01:45:00 pm,0,70.3194,6.584
3/16/2022,02:00:00 pm,0,70.3027,6.587
3/16/2022,02:15:00 pm,0,70.2929,6.592
3/16/2022,02:30:00 pm,0,70.2854,6.597
3/16/2022,02:45:00 pm,0,70.2687,6.604
3/16/2022,03:00:00 pm,0,70.2534,6.611
3/16/2022,03:15:00 pm,0,70.2292,6.617
3/16/2022,03:30:00 pm,0,70.2104,6.623
3/16/2022,03:45:00 pm,0,70.1984,6.630
3/16/2022,04:00:00 pm,0,70.1915,6.633
3/16/2022,04:15:00 pm,0,70.1875,6.639
3/16/2022,04:30:00 pm,0,70.1783,6.645
3/16/2022,04:45:00 pm,0,70.1729,6.646
3/16/2022,05:00:00 pm,0,70.1750,6.652
3/16/2022,05:15:00 pm,0,70.1795,6.655
3/16/2022,05:30:00 pm,0,70.1845,6.663
3/16/2022,05:45:00 pm,0,70.1861,6.664
3/16/2022,06:00:00 pm,0,70.1984,6.671
3/16/2022,06:15:00 pm,0,70.2044,6.675
3/16/2022,06:30:00 pm,0,70.2131,6.682
3/16/2022,06:45:00 pm,0,70.2219,6.686
3/16/2022,07:00:00 pm,0,70.2407,6.689
3/16/2022,07:15:00 pm,0,70.2493,6.691
3/16/2022,07:30:00 pm,0,70.2599,6.694
3/16/2022,07:45:00 pm,0,70.2757,6.697
3/16/2022,08:00:00 pm,0,70.2904,6.697
3/16/2022,08:15:00 pm,0,70.3061,6.704
3/16/2022,08:30:00 pm,0,70.3134,6.710
3/16/2022,08:45:00 pm,0,70.3274,6.717
3/16/2022,09:00:00 pm,0,70.3348,6.719
3/16/2022,09:15:00 pm,0,70.3421,6.719
3/16/2022,09:30:00 pm,0,70.3497,6.721
3/16/2022,09:45:00 pm,0,70.3539,6.726
3/16/2022,10:00:00 pm,0,70.3643,6.735
3/16/2022,10:15:00 pm,0,70.3693,6.737
3/16/2022,10:30:00 pm,0,70.3773,6.736
3/16/2022,10:45:00 pm,0,70.3874,6.740
3/16/2022,11:00:00 pm,0,70.3925,6.741
3/16/2022,11:15:00 pm,0,70.3864,6.743
3/16/2022,11:30:00 pm,0,70.3777,6.746
3/16/2022,11:45:00 pm,0,70.3742,6.748
3/17/2022,12:00:00 am,0,70.3693,6.752
3/17/2022,12:15:00 am,0,70.3590,6.756
3/17/2022,12:30:00 am,0,70.3416,6.760
3/17/2022,12:45:00 am,0,70.3161,6.765
3/17/2022,01:00:00 am,0,70.2907,6.770
3/17/2022,01:15:00 am,0,70.2747,6.771
3/17/2022,01:30:00 am,0,70.2649,6.769
3/17/2022,01:45:00 am,0,70.2418,6.750
3/17/2022,02:00:00 am,0,70.2233,6.702
3/17/2022,02:15:00 am,0,70.2133,6.703
3/17/2022,02:30:00 am,0,70.1995,6.693
3/17/2022,02:45:00 am,0,70.1856,6.675
3/17/2022,03:00:00 am,0,70.1792,6.664
3/17/2022,03:15:00 am,0,70.1724,6.653
3/17/2022,03:30:00 am,0,70.1616,6.641
3/17/2022,03:45:00 am,0,70.1504,6.635
3/17/2022,04:00:00 am,0,70.1462,6.615
3/17/2022,04:15:00 am,0,70.1446,6.606
3/17/2022,04:30:00 am,0,70.1496,6.599
3/17/2022,04:45:00 am,0,70.1569,6.594
3/17/2022,05:00:00 am,0,70.1587,6.583
3/17/2022,05:15:00 am,0,70.1624,6.571
3/17/2022,05:30:00 am,0,70.1746,6.573
3/17/2022,05:45:00 am,0,70.1781,6.573
3/17/2022,06:00:00 am,0,70.1822,6.577
3/17/2022,06:15:00 am,0,70.1970,6.559
3/17/2022,06:30:00 am,0,70.2052,6.559
3/17/2022,06:45:00 am,0,70.2085,6.561
3/17/2022,07:00:00 am,0,70.2151,6.541
3/17/2022,07:15:00 am,0,70.2200,6.545
3/17/2022,07:30:00 am,0,70.2238,6.542
3/17/2022,07:45:00 am,0,70.2399,6.537
3/17/2022,08:00:00 am,0,70.2557,6.539
3/17/2022,08:15:00 am,0,70.2797,6.547
3/17/2022,08:30:00 am,0,70.2946,6.553
3/17/2022,08:45:00 am,0,70.3068,6.557
