"Date","Lat","Lon","Site","Site2","Location","AirPressure_kPa","WaterTemp_c","pCO2_ppm","pCH4_ppm","CO2_umol.L","CH4_umol.L"
2022-11-30,-0.328265587,-78.20016811,"Gavilan","waypt12","margins",62.3872,7.538,5612.8523199435,4512.37760638537,202.59195153032,8.9358
2022-11-30,-0.328201926,-78.19985798,"Gavilan","waypt13","margins",62.3582,7.507,12609.123844602,1279.33735905534,455.336054011312,2.53505
2022-11-30,-0.328201926,-78.19985798,"Gavilan","waypt14","margins",62.3242,7.486,6867.700234585,92.8682093167265,248.027524234692,0.1841
2022-11-29,-0.328094093,-78.20023206,"Gavilan","waypt10","margins",62.3653,7.334,13732.6248426205,151.09276357836,498.586709027344,0.30045
2022-11-29,-0.327926748,-78.20042241,"Gavilan","Waypt01","margins",62.3881,7.356,10449.169322947,1886.02065384315,379.259047614911,3.7487
2022-12-01,-0.327248527,-78.19988463,"Gavilan","waypt09","margins",62.1925,8.182,18036.825547609,857.38140533733,636.418724413462,1.67585
2022-11-30,-0.327188387,-78.19932849,"Gavilan","waypt08","margins",62.2761,7.464,1883.213367212,703.839228422264,68.0055692271965,1.3959
2022-11-29,-0.327066346,-78.20043809,"Gavilan","Waypoint2","margins",NA,NA,NA,NA,NA,NA
2022-11-30,-0.327040656,-78.19938566,"Gavilan","waypt07","margins",62.227,7.451,2225.4627145415,1884.60026785422,80.3332530093454,3.73865
2022-11-30,-0.326784505,-78.19940108,"Gavilan","waypt06","margins",62.1573,7.454,4322.4861976595,452.520177991483,155.841448654748,0.89765
2022-11-29,-0.326712588,-78.19979796,"Gavilan","waypt11","margins",62.2956,7.304,12020.6293064534,423.223834540567,436.341956845308,0.8421
2022-12-01,-0.326476721,-78.19944416,"Gavilan","waypt05","margins",62.3281,8.234,12031.5508524861,9421.67689199764,424.780109549093,18.3964
2022-11-29,-0.326323835,-78.19988681,"Gavilan","waypy04","margins",62.1824,7.278,1467.3411644377,0,53.2092083814107,0
2022-11-29,-0.326281381,-78.20010507,"Gavilan","Waypt03","margins",62.2576,7.291,7671.2700035195,143.348571165418,278.403530143785,0.2853
