Fecha,Valor,M‡ximo,M’nimo
2019-01-01 0:00:00,1.4,1.5,1.3
2019-01-01 0:05:00,1.32,1.4,1.3
2019-01-01 0:10:00,1.3,1.3,1.3
2019-01-01 0:15:00,1.2,1.2,1.2
2019-01-01 0:20:00,1.18,1.2,1.1
2019-01-01 0:25:00,1.22,1.3,1.1
2019-01-01 0:30:00,1.18,1.3,1.1
2019-01-01 0:35:00,1.02,1.1,1
2019-01-01 0:40:00,1,1.1,0.9
2019-01-01 0:45:00,0.92,1,0.9
2019-01-01 0:50:00,1.04,1.1,1
2019-01-01 0:55:00,0.96,1.1,0.9
2019-01-01 1:00:00,1.04,1.1,1
2019-01-01 1:05:00,0.88,1,0.8
2019-01-01 1:10:00,0.72,0.8,0.7
2019-01-01 1:15:00,0.6,0.6,0.6
2019-01-01 1:20:00,0.52,0.6,0.4
2019-01-01 1:25:00,0.42,0.5,0.4
2019-01-01 1:30:00,0.4,0.4,0.4
2019-01-01 1:35:00,0.4,0.4,0.4
2019-01-01 1:40:00,0.34,0.4,0.3
2019-01-01 1:45:00,0.36,0.4,0.3
2019-01-01 1:50:00,0.32,0.4,0.3
2019-01-01 1:55:00,0.24,0.3,0.2
2019-01-01 2:00:00,0.1,0.1,0.1
2019-01-01 2:05:00,0.14,0.2,0.1
2019-01-01 2:10:00,0.2,0.2,0.2
2019-01-01 2:15:00,0.12,0.2,0.1
2019-01-01 2:20:00,0.24,0.3,0.2
2019-01-01 2:25:00,0.22,0.3,0.2
2019-01-01 2:30:00,0.12,0.2,0.1
2019-01-01 2:35:00,0.14,0.2,0.1
2019-01-01 2:40:00,0.14,0.2,0.1
2019-01-01 2:45:00,0.1,0.1,0.1
2019-01-01 2:50:00,0.16,0.2,0.1
2019-01-01 2:55:00,0.3,0.3,0.3
2019-01-01 3:00:00,0.24,0.3,0.2
2019-01-01 3:05:00,0.34,0.4,0.3
2019-01-01 3:10:00,0.44,0.5,0.4
2019-01-01 3:15:00,0.62,0.7,0.5
2019-01-01 3:20:00,0.7,0.7,0.7
2019-01-01 3:25:00,0.6,0.6,0.6
2019-01-01 3:30:00,0.64,0.7,0.6
2019-01-01 3:35:00,0.66,0.7,0.6
2019-01-01 3:40:00,0.7,0.7,0.7
2019-01-01 3:45:00,0.66,0.7,0.6
2019-01-01 3:50:00,0.74,0.8,0.7
2019-01-01 3:55:00,0.7,0.7,0.7
2019-01-01 4:00:00,0.7,0.7,0.7
2019-01-01 4:05:00,0.76,0.8,0.7
2019-01-01 4:10:00,0.7,0.7,0.7
2019-01-01 4:15:00,0.7,0.7,0.7
2019-01-01 4:20:00,0.72,0.8,0.7
2019-01-01 4:25:00,0.8,0.8,0.8
2019-01-01 4:30:00,0.74,0.8,0.7
2019-01-01 4:35:00,0.84,0.9,0.8
2019-01-01 4:40:00,0.9,0.9,0.9
2019-01-01 4:45:00,0.98,1,0.9
2019-01-01 4:50:00,1.02,1.1,1
2019-01-01 4:55:00,1.1,1.1,1.1
2019-01-01 5:00:00,1.1,1.1,1.1
2019-01-01 5:05:00,1.16,1.2,1.1
2019-01-01 5:10:00,1.22,1.3,1.2
2019-01-01 5:15:00,1.22,1.3,1.2
2019-01-01 5:20:00,1.2,1.2,1.2
2019-01-01 5:25:00,1.16,1.2,1.1
2019-01-01 5:30:00,1.22,1.3,1.2
2019-01-01 5:35:00,1.3,1.3,1.3
2019-01-01 5:40:00,1.3,1.3,1.3
2019-01-01 5:45:00,1.3,1.3,1.3
2019-01-01 5:50:00,1.32,1.4,1.3
2019-01-01 5:55:00,1.36,1.4,1.3
2019-01-01 6:00:00,1.4,1.4,1.4
2019-01-01 6:05:00,1.46,1.6,1.4
2019-01-01 6:10:00,1.58,1.6,1.5
2019-01-01 6:15:00,1.54,1.6,1.5
2019-01-01 6:20:00,1.58,1.6,1.5
2019-01-01 6:25:00,1.56,1.6,1.5
2019-01-01 6:30:00,1.62,1.7,1.5
2019-01-01 6:35:00,1.68,1.7,1.6
2019-01-01 6:40:00,1.8,1.8,1.8
2019-01-01 6:45:00,1.8,1.8,1.8
2019-01-01 6:50:00,2.02,2.1,1.9
2019-01-01 6:55:00,1.96,2,1.9
2019-01-01 7:00:00,2,2.1,1.9
2019-01-01 7:05:00,2.08,2.2,2
2019-01-01 7:10:00,2.14,2.2,2.1
2019-01-01 7:15:00,2.1,2.1,2.1
2019-01-01 7:20:00,2.12,2.2,2.1
2019-01-01 7:25:00,2.1,2.2,2
2019-01-01 7:30:00,2,2.1,1.9
2019-01-01 7:35:00,1.9,2,1.8
2019-01-01 7:40:00,1.88,1.9,1.8
2019-01-01 7:45:00,1.92,2,1.9
2019-01-01 7:50:00,2.08,2.1,2
2019-01-01 7:55:00,1.84,1.9,1.8
2019-01-01 8:00:00,1.9,1.9,1.9
2019-01-01 8:05:00,1.82,1.9,1.8
2019-01-01 8:10:00,1.86,1.9,1.8
2019-01-01 8:15:00,1.8,1.8,1.8
2019-01-01 8:20:00,1.9,1.9,1.9
2019-01-01 8:25:00,1.94,2,1.9
2019-01-01 8:30:00,2.06,2.1,2
2019-01-01 8:35:00,1.88,2,1.8
2019-01-01 8:40:00,2,2.1,1.9
2019-01-01 8:45:00,1.88,2,1.8
2019-01-01 8:50:00,1.88,2,1.8
2019-01-01 8:55:00,1.78,1.8,1.7
2019-01-01 9:00:00,1.58,1.7,1.5
2019-01-01 9:05:00,1.68,1.7,1.6
2019-01-01 9:10:00,1.76,1.8,1.7
2019-01-01 9:15:00,1.72,1.8,1.7
2019-01-01 9:20:00,1.86,2,1.8
2019-01-01 9:25:00,2.06,2.2,2
2019-01-01 9:30:00,2.24,2.3,2.2
2019-01-01 9:35:00,2.38,2.5,2.3
2019-01-01 9:40:00,2.56,2.6,2.5
2019-01-01 9:45:00,2.56,2.6,2.5
2019-01-01 9:50:00,2.68,2.8,2.6
2019-01-01 9:55:00,2.68,2.7,2.6
2019-01-01 10:00:00,2.7,2.7,2.7
2019-01-01 10:05:00,2.86,3,2.8
2019-01-01 10:10:00,2.98,3.2,2.8
2019-01-01 10:15:00,3.26,3.4,3.1
2019-01-01 10:20:00,3.18,3.3,2.9
2019-01-01 10:25:00,2.92,3,2.8
2019-01-01 10:30:00,2.84,3,2.7
2019-01-01 10:35:00,2.58,2.6,2.5
2019-01-01 10:40:00,2.8,2.9,2.7
2019-01-01 10:45:00,2.92,3,2.9
2019-01-01 10:50:00,3.24,3.4,3
2019-01-01 10:55:00,3.44,3.5,3.4
