Nombre Dispositivo:;;OM-CP-VOLT101A
Descripción del dispositivo:;;Registrador de Voltaje
Número de Serie:;;S02590
ID Dispositivo:;;Stn3
;;
;;Canal 1
Fecha ;Tiempo;Voltaje (ppm)
16 oct 2022;13:12:01;346
16 oct 2022;13:12:02;351
16 oct 2022;13:12:03;356
16 oct 2022;13:12:04;356
16 oct 2022;13:12:05;356
16 oct 2022;13:12:06;361
16 oct 2022;13:12:07;366
16 oct 2022;13:12:08;371
16 oct 2022;13:12:09;371
16 oct 2022;13:12:10;376
16 oct 2022;13:12:11;381
16 oct 2022;13:12:12;381
16 oct 2022;13:12:13;386
16 oct 2022;13:12:14;391
16 oct 2022;13:12:15;391
16 oct 2022;13:12:16;396
16 oct 2022;13:12:17;401
16 oct 2022;13:12:18;406
16 oct 2022;13:12:19;406
16 oct 2022;13:12:20;411
16 oct 2022;13:12:21;416
16 oct 2022;13:12:22;416
16 oct 2022;13:12:23;421
16 oct 2022;13:12:24;421
16 oct 2022;13:12:25;426
16 oct 2022;13:12:26;421
16 oct 2022;13:12:27;426
16 oct 2022;13:12:28;426
16 oct 2022;13:12:29;431
16 oct 2022;13:12:30;431
16 oct 2022;13:12:31;431
16 oct 2022;13:12:32;431
16 oct 2022;13:12:33;436
16 oct 2022;13:12:34;436
16 oct 2022;13:12:35;441
16 oct 2022;13:12:36;441
16 oct 2022;13:12:37;441
16 oct 2022;13:12:38;446
16 oct 2022;13:12:39;456
16 oct 2022;13:12:40;456
16 oct 2022;13:12:41;456
16 oct 2022;13:12:42;466
16 oct 2022;13:12:43;466
16 oct 2022;13:12:44;471
16 oct 2022;13:12:45;476
16 oct 2022;13:12:46;476
16 oct 2022;13:12:47;481
16 oct 2022;13:12:48;486
16 oct 2022;13:12:49;486
16 oct 2022;13:12:50;491
16 oct 2022;13:12:51;491
16 oct 2022;13:12:52;491
16 oct 2022;13:12:53;496
16 oct 2022;13:12:54;501
16 oct 2022;13:12:55;501
16 oct 2022;13:12:56;506
16 oct 2022;13:12:57;506
16 oct 2022;13:12:58;506
16 oct 2022;13:12:59;511
16 oct 2022;13:13:00;516
16 oct 2022;13:13:01;516
16 oct 2022;13:13:02;516
16 oct 2022;13:13:03;521
16 oct 2022;13:13:04;526
16 oct 2022;13:13:05;526
16 oct 2022;13:13:06;526
16 oct 2022;13:13:07;531
16 oct 2022;13:13:08;531
16 oct 2022;13:13:09;536
16 oct 2022;13:13:10;536
16 oct 2022;13:13:11;541
16 oct 2022;13:13:12;541
16 oct 2022;13:13:13;541
16 oct 2022;13:13:14;541
16 oct 2022;13:13:15;546
16 oct 2022;13:13:16;546
16 oct 2022;13:13:17;546
16 oct 2022;13:13:18;551
16 oct 2022;13:13:19;551
16 oct 2022;13:13:20;551
16 oct 2022;13:13:21;556
16 oct 2022;13:13:22;556
16 oct 2022;13:13:23;556
16 oct 2022;13:13:24;556
16 oct 2022;13:13:25;556
16 oct 2022;13:13:26;556
16 oct 2022;13:13:27;556
16 oct 2022;13:13:28;561
16 oct 2022;13:13:29;561
16 oct 2022;13:13:30;561
16 oct 2022;13:13:31;561
16 oct 2022;13:13:32;566
16 oct 2022;13:13:33;561
16 oct 2022;13:13:34;566
16 oct 2022;13:13:35;566
16 oct 2022;13:13:36;571
16 oct 2022;13:13:37;571
16 oct 2022;13:13:38;571
16 oct 2022;13:13:39;571
16 oct 2022;13:13:40;576
16 oct 2022;13:13:41;576
16 oct 2022;13:13:42;576
16 oct 2022;13:13:43;581
16 oct 2022;13:13:44;581
16 oct 2022;13:13:45;581
16 oct 2022;13:13:46;581
16 oct 2022;13:13:47;586
16 oct 2022;13:13:48;586
16 oct 2022;13:13:49;586
16 oct 2022;13:13:50;586
16 oct 2022;13:13:51;591
16 oct 2022;13:13:52;591
16 oct 2022;13:13:53;591
16 oct 2022;13:13:54;596
16 oct 2022;13:13:55;596
16 oct 2022;13:13:56;596
16 oct 2022;13:13:57;596
16 oct 2022;13:13:58;596
16 oct 2022;13:13:59;596
16 oct 2022;13:14:00;596
16 oct 2022;13:14:01;596
16 oct 2022;13:14:02;596
16 oct 2022;13:14:03;596
16 oct 2022;13:14:04;596
16 oct 2022;13:14:05;596
16 oct 2022;13:14:06;596
16 oct 2022;13:14:07;596
16 oct 2022;13:14:08;596
16 oct 2022;13:14:09;596
16 oct 2022;13:14:10;596
16 oct 2022;13:14:11;596
16 oct 2022;13:14:12;601
16 oct 2022;13:14:13;601
16 oct 2022;13:14:14;596
16 oct 2022;13:14:15;601
16 oct 2022;13:14:16;606
16 oct 2022;13:14:17;611
16 oct 2022;13:14:18;611
16 oct 2022;13:14:19;611
16 oct 2022;13:14:20;616
16 oct 2022;13:14:21;621
